player_sr_link,player_name,number,class,pos,height,school,season
https://www.sports-reference.com/cbb/players/dalesia-booth-1.html,Dalesia Booth,22,JR,G,5-9,texas-am-corpus-christi,2019
https://www.sports-reference.com/cbb/players/alexes-bryant-1.html,Alexes Bryant,2,JR,F,6-3,texas-am-corpus-christi,2019
https://www.sports-reference.com/cbb/players/emma-young-1.html,Emma Young,21,JR,G,5-10,texas-am-corpus-christi,2019
https://www.sports-reference.com/cbb/players/dae-dae-evans-1.html,Dae Dae Evans,12,JR,G,5-7,texas-am-corpus-christi,2019
https://www.sports-reference.com/cbb/players/tiara-matthews-1.html,Tiara Matthews,34,JR,F,5-11,texas-am-corpus-christi,2019
https://www.sports-reference.com/cbb/players/lajaneira-robinson-1.html,La'Janeira Robinson,11,JR,G,5-7,texas-am-corpus-christi,2019
https://www.sports-reference.com/cbb/players/makinna-serrata-1.html,Makinna Serrata,20,FR,G,6-0,texas-am-corpus-christi,2019
https://www.sports-reference.com/cbb/players/torrionna-nesbitt-1.html,Torrionna Nesbitt,3,FR,G,5-8,texas-am-corpus-christi,2019
https://www.sports-reference.com/cbb/players/brianna-jackson-2.html,Brianna Jackson,10,SR,G,5-6,texas-am-corpus-christi,2019
https://www.sports-reference.com/cbb/players/uri-jolivette-1.html,Uri Jolivette,5,SR,F,5-10,texas-am-corpus-christi,2019
https://www.sports-reference.com/cbb/players/tasia-foman-1.html,Tasia Foman,24,SR,G,5-8,texas-am-corpus-christi,2019
https://www.sports-reference.com/cbb/players/arhianna-sims-jackson-1.html,Arhianna Sims-Jackson,33,JR,F,6-5,texas-am-corpus-christi,2019
https://www.sports-reference.com/cbb/players/giana-wright-1.html,Giana Wright,1,SO,F,5-11,texas-am-corpus-christi,2019
https://www.sports-reference.com/cbb/players/laderica-paul-1.html,LaDerica Paul,23,JR,G,5-8,texas-am-corpus-christi,2019
https://www.sports-reference.com/cbb/players/sydney-anne-cottrell-1.html,Sydney-Anne Cottrell,30,JR,G,5-4,texas-am-corpus-christi,2019
https://www.sports-reference.com/cbb/players/heaven-thompson-1.html,Heaven Thompson,4,FR,G,5-6,texas-am-corpus-christi,2019
