player_sr_link,player_name,number,class,pos,height,school,season
https://www.sports-reference.com/cbb/players/jade-edwards-1.html,Jade Edwards,10,SO,G,5-9,american,2020
https://www.sports-reference.com/cbb/players/kaitlyn-marenyi-1.html,Kaitlyn Marenyi,22,SR,G,5-8,american,2020
https://www.sports-reference.com/cbb/players/indeya-sanders-1.html,Indeya Sanders,12,JR,G,5-6,american,2020
https://www.sports-reference.com/cbb/players/morgan-bartner-1.html,Morgan Bartner,2,SR,F,6-2,american,2020
https://www.sports-reference.com/cbb/players/emily-fisher-1.html,Emily Fisher,4,SO,G,5-7,american,2020
https://www.sports-reference.com/cbb/players/maddie-doring-1.html,Maddie Doring,21,SO,G,5-11,american,2020
https://www.sports-reference.com/cbb/players/taylor-brown-5.html,Taylor Brown,14,SO,F,6-1,american,2020
https://www.sports-reference.com/cbb/players/laura-graytok-1.html,Laura Graytok,24,SO,G,5-8,american,2020
https://www.sports-reference.com/cbb/players/lauren-stack-1.html,Lauren Stack,23,FR,F,6-2,american,2020
https://www.sports-reference.com/cbb/players/karla-vres-1.html,Karla Vres,15,FR,F,6-3,american,2020
https://www.sports-reference.com/cbb/players/thuraya-abdul-hamid-1.html,Thuraya Abdul Hamid,32,FR,F,5-10,american,2020
https://www.sports-reference.com/cbb/players/taekenya-cleveland-1.html,TaeKenya Cleveland,11,SR,F,6-0,american,2020
