player_sr_link,player_name,number,class,pos,height,school,season
https://www.sports-reference.com/cbb/players/becca-hittner-1.html,Becca Hittner,5,SR,G,6-0,drake,2020
https://www.sports-reference.com/cbb/players/sara-rhine-1.html,Sara Rhine,50,SR,F,6-1,drake,2020
https://www.sports-reference.com/cbb/players/maddie-petersen-1.html,Maddie Petersen,2,JR,G,5-8,drake,2020
https://www.sports-reference.com/cbb/players/kierra-collier-1.html,Kierra Collier,11,SO,G,5-6,drake,2020
https://www.sports-reference.com/cbb/players/brenni-rose-1.html,Brenni Rose,12,SR,G-F,6-0,drake,2020
https://www.sports-reference.com/cbb/players/maggie-negaard-1.html,Maggie Negaard,23,SO,G,5-10,drake,2020
https://www.sports-reference.com/cbb/players/monica-burich-1.html,Monica Burich,31,SR,F,6-2,drake,2020
https://www.sports-reference.com/cbb/players/allie-wooldridge-1.html,Allie Wooldridge,15,SO,F,6-1,drake,2020
https://www.sports-reference.com/cbb/players/sarah-beth-gueldner-1.html,Sarah Beth Gueldner,34,FR,G,5-9,drake,2020
https://www.sports-reference.com/cbb/players/maggie-bair-1.html,Maggie Bair,42,FR,F,6-3,drake,2020
https://www.sports-reference.com/cbb/players/hannah-fuller-1.html,Hannah Fuller,22,JR,G,5-8,drake,2020
https://www.sports-reference.com/cbb/players/taylor-mcaulay-1.html,Taylor McAulay,3,FR,G,5-11,drake,2020
https://www.sports-reference.com/cbb/players/mya-mertz-1.html,Mya Mertz,40,JR,F-C,6-2,drake,2020
