player_sr_link,player_name,number,class,pos,height,school,season
https://www.sports-reference.com/cbb/players/bailey-greenberg-1.html,Bailey Greenberg,23,SR,F,5-11,drexel,2020
https://www.sports-reference.com/cbb/players/keishana-washington-1.html,Keishana Washington,1,SO,G,5-7,drexel,2020
https://www.sports-reference.com/cbb/players/mariah-leonard-1.html,Mariah Leonard,30,JR,F,5-10,drexel,2020
https://www.sports-reference.com/cbb/players/hannah-nihill-1.html,Hannah Nihill,12,JR,G,5-3,drexel,2020
https://www.sports-reference.com/cbb/players/niki-metzel-1.html,Niki Metzel,24,SR,F,6-2,drexel,2020
https://www.sports-reference.com/cbb/players/kate-connolly-1.html,Kate Connolly,20,SO,F,6-1,drexel,2020
https://www.sports-reference.com/cbb/players/aubree-brown-1.html,Aubree Brown,11,SR,G,5-11,drexel,2020
https://www.sports-reference.com/cbb/players/maura-hendrixson-1.html,Maura Hendrixson,22,SO,G,5-9,drexel,2020
https://www.sports-reference.com/cbb/players/kayla-bacon-1.html,Kayla Bacon,4,JR,G,5-8,drexel,2020
https://www.sports-reference.com/cbb/players/ana-ferariu-1.html,Ana Ferariu,50,SR,G,5-9,drexel,2020
https://www.sports-reference.com/cbb/players/aj-davis-3.html,AJ Davis,3,FR,F,6-1,drexel,2020
https://www.sports-reference.com/cbb/players/brianne-borcky-1.html,Brianne Borcky,15,FR,F,6-0,drexel,2020
https://www.sports-reference.com/cbb/players/hetta-saatman-1.html,Hetta Saatman,2,FR,F,6-2,drexel,2020
https://www.sports-reference.com/cbb/players/maria-ferariu-1.html,Maria Ferariu,5,FR,G,6-0,drexel,2020
