player_sr_link,player_name,number,class,pos,height,school,season
https://www.sports-reference.com/cbb/players/nicole-cardano-hillary-1.html,Nicole Cardano-Hillary,14,JR,G,5-6,george-mason,2020
https://www.sports-reference.com/cbb/players/jacy-bolton-1.html,Jacy Bolton,11,SR,G-F,6-0,george-mason,2020
https://www.sports-reference.com/cbb/players/camarie-gatling-1.html,Camarie Gatling,33,JR,F,6-0,george-mason,2020
https://www.sports-reference.com/cbb/players/marika-korpinen-1.html,Marika Korpinen,12,JR,G,5-9,george-mason,2020
https://www.sports-reference.com/cbb/players/tamia-lawhorne-1.html,Tamia Lawhorne,2,FR,F,6-0,george-mason,2020
https://www.sports-reference.com/cbb/players/sarah-kaminski-1.html,Sarah Kaminski,44,SR,G,5-9,george-mason,2020
https://www.sports-reference.com/cbb/players/alexsis-grate-1.html,Alexsis Grate,5,SR,G,5-6,george-mason,2020
https://www.sports-reference.com/cbb/players/jordan-wakefield-1.html,Jordan Wakefield,3,FR,G,6-0,george-mason,2020
https://www.sports-reference.com/cbb/players/jazmyn-doster-1.html,Jazmyn Doster,1,FR,C,6-2,george-mason,2020
https://www.sports-reference.com/cbb/players/allie-mccool-1.html,Allie McCool,35,SR,F,6-2,george-mason,2020
https://www.sports-reference.com/cbb/players/devyn-wilson-2.html,Devyn Wilson,15,SO,F,5-11,george-mason,2020
https://www.sports-reference.com/cbb/players/vita-stam-1.html,Vita Stam,21,FR,F,6-3,george-mason,2020
https://www.sports-reference.com/cbb/players/livija-kaktaite-1.html,Livija Kaktaite,4,SO,G,5-7,george-mason,2020
