player_sr_link,player_name,number,class,pos,height,school,season
https://www.sports-reference.com/cbb/players/jill-townsend-1.html,Jill Townsend,32,JR,G,5-11,gonzaga,2020
https://www.sports-reference.com/cbb/players/jenn-wirth-1.html,Jenn Wirth,3,JR,F,6-3,gonzaga,2020
https://www.sports-reference.com/cbb/players/katie-campbell-1.html,Katie Campbell,24,SR,G,5-10,gonzaga,2020
https://www.sports-reference.com/cbb/players/leeanne-wirth-1.html,LeeAnne Wirth,4,JR,F,6-3,gonzaga,2020
https://www.sports-reference.com/cbb/players/jessie-loera-1.html,Jessie Loera,15,SR,G,5-6,gonzaga,2020
https://www.sports-reference.com/cbb/players/melody-kempton-1.html,Melody Kempton,33,SO,F,6-1,gonzaga,2020
https://www.sports-reference.com/cbb/players/kayleigh-truong-1.html,Kayleigh Truong,11,FR,G,5-9,gonzaga,2020
https://www.sports-reference.com/cbb/players/kaylynne-truong-1.html,Kaylynne Truong,14,FR,G,5-8,gonzaga,2020
https://www.sports-reference.com/cbb/players/louise-forsyth-1.html,Louise Forsyth,5,JR,G,6-1,gonzaga,2020
https://www.sports-reference.com/cbb/players/anamaria-virjoghe-1.html,Anamaria Virjoghe,1,JR,F,6-5,gonzaga,2020
https://www.sports-reference.com/cbb/players/gillian-barfield-1.html,Gillian Barfield,10,JR,F,6-1,gonzaga,2020
