player_sr_link,player_name,number,class,pos,height,school,season
https://www.sports-reference.com/cbb/players/camryn-brown-1.html,Camryn Brown,2,SR,G,5-5,high-point,2020
https://www.sports-reference.com/cbb/players/skyler-curran-1.html,Skyler Curran,21,SO,G,6-0,high-point,2020
https://www.sports-reference.com/cbb/players/zaria-wright-1.html,Zaria Wright,25,SO,G,5-8,high-point,2020
https://www.sports-reference.com/cbb/players/jenson-edwards-1.html,Jenson Edwards,12,FR,G,5-8,high-point,2020
https://www.sports-reference.com/cbb/players/callie-scheier-1.html,Callie Scheier,10,FR,G,5-2,high-point,2020
https://www.sports-reference.com/cbb/players/courtney-meadows-1.html,Courtney Meadows,0,FR,G,5-4,high-point,2020
https://www.sports-reference.com/cbb/players/danielle-deoul-1.html,Danielle Deoul,33,SO,F,6-2,high-point,2020
https://www.sports-reference.com/cbb/players/chyna-mcmichel-1.html,Chyna McMichel,22,JR,G,6-0,high-point,2020
https://www.sports-reference.com/cbb/players/amaria-mcnear-1.html,Amaria McNear,15,FR,C,6-3,high-point,2020
https://www.sports-reference.com/cbb/players/miya-bull-1.html,Miya Bull,23,SR,F,5-11,high-point,2020
https://www.sports-reference.com/cbb/players/olivia-vanslooten-1.html,Olivia VanSlooten,40,SR,F,6-3,high-point,2020
