player_sr_link,player_name,number,class,pos,height,school,season
https://www.sports-reference.com/cbb/players/alisa-fallon-1.html,Alisa Fallon,31,JR,G,5-10,army,2021
https://www.sports-reference.com/cbb/players/lauren-lithgow-1.html,Lauren Lithgow,34,FR,G,5-9,army,2021
https://www.sports-reference.com/cbb/players/kate-murray-2.html,Kate Murray,15,JR,F,6-0,army,2021
https://www.sports-reference.com/cbb/players/sarah-bohn-1.html,Sarah Bohn,10,JR,G,5-7,army,2021
https://www.sports-reference.com/cbb/players/natalie-stralkus-1.html,Natalie Stralkus,24,JR,G,5-11,army,2021
https://www.sports-reference.com/cbb/players/sabria-hunter-1.html,Sabria Hunter,11,SO,F,6-1,army,2021
https://www.sports-reference.com/cbb/players/taylor-sullivan-1.html,Taylor Sullivan,23,JR,F,6-3,army,2021
https://www.sports-reference.com/cbb/players/sam-mcnaughton-1.html,Sam McNaughton,2,FR,G,5-7,army,2021
https://www.sports-reference.com/cbb/players/kaci-helmick-1.html,Kaci Helmick,0,FR,G,5-7,army,2021
https://www.sports-reference.com/cbb/players/liz-layne-1.html,Liz Layne,33,SR,F,6-0,army,2021
https://www.sports-reference.com/cbb/players/jessica-rawls-1.html,Jessica Rawls,25,SR,F,6-0,army,2021
https://www.sports-reference.com/cbb/players/natalie-rhine-1.html,Natalie Rhine,3,SO,G,5-6,army,2021
https://www.sports-reference.com/cbb/players/reagan-warren-1.html,Reagan Warren,22,FR,F,5-10,army,2021
