player_sr_link,player_name,number,class,pos,height,school,season
https://www.sports-reference.com/cbb/players/ally-lassen-1.html,Ally Lassen,31,SR,F,6-1,st-francis-ny,2022
https://www.sports-reference.com/cbb/players/nevena-dimitrijevic-1.html,Nevena Dimitrijevic,1,JR,G,5-3,st-francis-ny,2022
https://www.sports-reference.com/cbb/players/khaleah-edwards-1.html,Khaleah Edwards,5,SR,G,5-9,st-francis-ny,2022
https://www.sports-reference.com/cbb/players/alyssa-fisher-1.html,Alyssa Fisher,3,JR,G,5-7,st-francis-ny,2022
https://www.sports-reference.com/cbb/players/fruzsina-horvath-1.html,Fruzsina Horvath,23,SO,F,5-11,st-francis-ny,2022
https://www.sports-reference.com/cbb/players/isabella-posset-1.html,Isabella Posset,4,SR,G,5-8,st-francis-ny,2022
https://www.sports-reference.com/cbb/players/jaila-lee-1.html,Jaila Lee,2,FR,G,5-10,st-francis-ny,2022
https://www.sports-reference.com/cbb/players/zharia-hutchinson-1.html,Zharia Hutchinson,30,SO,F,5-10,st-francis-ny,2022
https://www.sports-reference.com/cbb/players/eszter-varga-1.html,Eszter Varga,11,SO,G,5-10,st-francis-ny,2022
https://www.sports-reference.com/cbb/players/sarah-bandoma-1.html,Sarah Bandoma,33,FR,C,6-2,st-francis-ny,2022
https://www.sports-reference.com/cbb/players/jada-mcmillan-1.html,Jada McMillan,13,JR,G,5-7,st-francis-ny,2022
https://www.sports-reference.com/cbb/players/sheridan-kavanagh-1.html,Sheridan Kavanagh,22,FR,G-F,5-10,st-francis-ny,2022
