player_sr_link,player_name,number,class,pos,height,school,season
https://www.sports-reference.com/cbb/players/kamaria-mcdaniel-1.html,Kamaria McDaniel,5,SR,G,5-10,michigan-state,2023
https://www.sports-reference.com/cbb/players/matilda-ekh-1.html,Matilda Ekh,11,SO,G-F,6-0,michigan-state,2023
https://www.sports-reference.com/cbb/players/moira-joiner-1.html,Moira Joiner,22,SR,G,5-10,michigan-state,2023
https://www.sports-reference.com/cbb/players/deedee-hagemann-1.html,DeeDee Hagemann,0,SO,G,5-7,michigan-state,2023
https://www.sports-reference.com/cbb/players/taiyier-parks-1.html,Taiyier Parks,14,SR,F,6-3,michigan-state,2023
https://www.sports-reference.com/cbb/players/isaline-alexander-1.html,Isaline Alexander,12,SO,F,6-3,michigan-state,2023
https://www.sports-reference.com/cbb/players/julia-ayrault-1.html,Julia Ayrault,40,SR,G,6-2,michigan-state,2023
https://www.sports-reference.com/cbb/players/gabby-elliott-1.html,Gabby Elliott,3,JR,G,5-10,michigan-state,2023
https://www.sports-reference.com/cbb/players/tory-ozment-1.html,Tory Ozment,1,SR,G-F,6-1,michigan-state,2023
https://www.sports-reference.com/cbb/players/theryn-hallock-1.html,Theryn Hallock,4,FR,G,5-10,michigan-state,2023
https://www.sports-reference.com/cbb/players/stephanie-visscher-1.html,Stephanie Visscher,,SR,G,6-0,michigan-state,2023
https://www.sports-reference.com/cbb/players/abbey-kimball-1.html,Abbey Kimball,2,FR,G,5-10,michigan-state,2023
https://www.sports-reference.com/cbb/players/brooklyn-rewers-1.html,Brooklyn Rewers,21,SO,C,6-4,michigan-state,2023
https://www.sports-reference.com/cbb/players/jayla-james-1.html,Jayla James,20,SR,G,6-1,michigan-state,2023
https://www.sports-reference.com/cbb/players/maddy-skorupski-1.html,Maddy Skorupski,15,FR,G,5-8,michigan-state,2023
https://www.sports-reference.com/cbb/players/olivia-porter-1.html,Olivia Porter,42,FR,G,5-8,michigan-state,2023
