player_sr_link,player_name,number,class,pos,height,school,season
https://www.sports-reference.com/cbb/players/jordyn-jenkins-1.html,Jordyn Jenkins,32,JR,F,6-0,texas-san-antonio,2023
https://www.sports-reference.com/cbb/players/elyssa-coleman-1.html,Elyssa Coleman,0,SO,F,6-3,texas-san-antonio,2023
https://www.sports-reference.com/cbb/players/sidney-love-1.html,Sidney Love,11,FR,G,5-8,texas-san-antonio,2023
https://www.sports-reference.com/cbb/players/kyra-white-1.html,Kyra White,22,JR,G,5-9,texas-san-antonio,2023
https://www.sports-reference.com/cbb/players/hailey-atwood-1.html,Hailey Atwood,1,SR,G,5-8,texas-san-antonio,2023
https://www.sports-reference.com/cbb/players/queen-ulabo-1.html,Queen Ulabo,10,SR,G,5-10,texas-san-antonio,2023
https://www.sports-reference.com/cbb/players/deborah-nwakamma-1.html,Deborah Nwakamma,21,SR,G,5-8,texas-san-antonio,2023
https://www.sports-reference.com/cbb/players/siena-guttadauro-1.html,Siena Guttadauro,4,FR,G,5-6,texas-san-antonio,2023
https://www.sports-reference.com/cbb/players/maya-linton-1.html,Maya Linton,20,FR,F,6-0,texas-san-antonio,2023
https://www.sports-reference.com/cbb/players/madison-cockrell-1.html,Madison Cockrell,5,FR,G,5-4,texas-san-antonio,2023
https://www.sports-reference.com/cbb/players/alexis-parker-1.html,Alexis Parker,2,FR,G,5-9,texas-san-antonio,2023
https://www.sports-reference.com/cbb/players/kyleigh-mcguire-1.html,Kyleigh McGuire,23,JR,F,5-10,texas-san-antonio,2023
https://www.sports-reference.com/cbb/players/kennedy-harrell-1.html,Kennedy Harrell,24,JR,F,6-1,texas-san-antonio,2023
