player_sr_link,player_name,number,class,pos,height,school,season
https://www.sports-reference.com/cbb/players/alejandra-zuniga-1.html,Alejandra Zuniga,34,SO,G,5-6,njit,2024
https://www.sports-reference.com/cbb/players/trinity-williams-1.html,Trinity Williams,21,JR,F,6-1,njit,2024
https://www.sports-reference.com/cbb/players/kenna-squier-1.html,Kenna Squier,4,SR,G,5-9,njit,2024
https://www.sports-reference.com/cbb/players/lyzi-litwinko-1.html,Lyzi Litwinko,14,SR,G,5-8,njit,2024
https://www.sports-reference.com/cbb/players/aria-myers-1.html,Aria Myers,11,SR,G,5-9,njit,2024
https://www.sports-reference.com/cbb/players/madilyn-dogs-1.html,Madilyn Dogs,15,FR,G,6-0,njit,2024
https://www.sports-reference.com/cbb/players/marissa-gingrich-1.html,Marissa Gingrich,10,FR,G,5-7,njit,2024
https://www.sports-reference.com/cbb/players/reese-vaughan-1.html,Reese Vaughan,22,JR,G,5-9,njit,2024
https://www.sports-reference.com/cbb/players/lilly-anderson-1.html,Lilly Anderson,32,SR,F,5-11,njit,2024
https://www.sports-reference.com/cbb/players/kiana-brereton-1.html,Kiana Brereton,13,SR,F,6-1,njit,2024
https://www.sports-reference.com/cbb/players/avery-oroke-1.html,Avery O'Roke,25,SO,G,5-7,njit,2024
https://www.sports-reference.com/cbb/players/audrey-kormann-1.html,Audrey Kormann,5,FR,F,6-2,njit,2024
https://www.sports-reference.com/cbb/players/mackenzie-wright-rawls-1.html,Mackenzie Wright-Rawls,23,FR,F,6-0,njit,2024
https://www.sports-reference.com/cbb/players/angelina-banas-1.html,Angelina Banas,55,FR,F,6-0,njit,2024
https://www.sports-reference.com/cbb/players/kyleigh-welsh-1.html,Kyleigh Welsh,24,SO,F,6-2,njit,2024
