player_sr_link,player_name,number,class,pos,height,school,season
https://www.sports-reference.com/cbb/players/destiny-garrett-1.html,Destiny Garrett,0,SR,G,5-4,georgia-southern,2026
https://www.sports-reference.com/cbb/players/mckenna-eddings-1.html,McKenna Eddings,30,SR,F,6-0,georgia-southern,2026
https://www.sports-reference.com/cbb/players/kishyah-anderson-1.html,Kishyah Anderson,24,SR,G,5-10,georgia-southern,2026
https://www.sports-reference.com/cbb/players/jashanti-simmons-1.html,Jashanti Simmons,4,SR,G,5-8,georgia-southern,2026
https://www.sports-reference.com/cbb/players/kayla-cleaveland-1.html,Kayla Cleaveland,41,FR,F,6-0,georgia-southern,2026
https://www.sports-reference.com/cbb/players/kyla-bryant-1.html,Kyla Bryant,5,JR,G,5-7,georgia-southern,2026
https://www.sports-reference.com/cbb/players/jamiria-jones-1.html,Jamiria Jones,10,SO,F,5-9,georgia-southern,2026
https://www.sports-reference.com/cbb/players/lia-anderson-1.html,Lia Anderson,20,JR,F,6-1,georgia-southern,2026
https://www.sports-reference.com/cbb/players/nevaeh-brown-2.html,Nevaeh Brown,3,JR,G,5-10,georgia-southern,2026
https://www.sports-reference.com/cbb/players/laney-scoggins-1.html,Laney Scoggins,21,JR,G,5-11,georgia-southern,2026
https://www.sports-reference.com/cbb/players/liv-fuller-1.html,Liv Fuller,12,JR,F,5-10,georgia-southern,2026
https://www.sports-reference.com/cbb/players/mckayla-hosley-1.html,McKayla Hosley,23,FR,F,6-0,georgia-southern,2026
https://www.sports-reference.com/cbb/players/courtenay-lee-1.html,Courtenay Lee,13,JR,C,6-4,georgia-southern,2026
https://www.sports-reference.com/cbb/players/armani-cooke-1.html,Armani Cooke,15,JR,G,5-9,georgia-southern,2026
https://www.sports-reference.com/cbb/players/destini-ward-1.html,Destini Ward,22,SR,G,5-8,georgia-southern,2026
