player_sr_link,player_name,number,class,pos,height,school,season
https://www.sports-reference.com/cbb/players/katie-fiso-1.html,Katie Fiso,2,SO,G,5-11,oregon,2026
https://www.sports-reference.com/cbb/players/mia-jacobs-1.html,Mia Jacobs,1,SR,F,6-2,oregon,2026
https://www.sports-reference.com/cbb/players/ehis-etute-1.html,Ehis Etute,35,SO,F,6-0,oregon,2026
https://www.sports-reference.com/cbb/players/sofia-bell-1.html,Sofia Bell,3,JR,G,6-1,oregon,2026
https://www.sports-reference.com/cbb/players/sarah-rambus-1.html,Sarah Rambus,23,JR,F,6-3,oregon,2026
https://www.sports-reference.com/cbb/players/ari-long-1.html,Ari Long,14,JR,G,6-0,oregon,2026
https://www.sports-reference.com/cbb/players/amina-muhammad-1.html,Amina Muhammad,5,SR,F,6-4,oregon,2026
https://www.sports-reference.com/cbb/players/avary-cain-1.html,Avary Cain,42,SO,G,6-1,oregon,2026
https://www.sports-reference.com/cbb/players/astera-tuhina-1.html,Astera Tuhina,0,SR,G,5-9,oregon,2026
https://www.sports-reference.com/cbb/players/janiyah-williams-1.html,Janiyah Williams,22,FR,G,5-9,oregon,2026
https://www.sports-reference.com/cbb/players/elisa-mevius-1.html,Elisa Mevius,8,SR,G,5-10,oregon,2026
https://www.sports-reference.com/cbb/players/sara-barhoum-1.html,Sara Barhoum,25,FR,G,5-10,oregon,2026
https://www.sports-reference.com/cbb/players/filippa-tilliander-1.html,Filippa Tilliander,21,JR,F,6-1,oregon,2026
https://www.sports-reference.com/cbb/players/sammie-wagner-1.html,Sammie Wagner,11,JR,G,6-1,oregon,2026
https://www.sports-reference.com/cbb/players/mallory-heyer-1.html,Mallory Heyer,13,SR,F,6-1,oregon,2026
