player_sr_link,player_name,number,class,pos,height,school,season
https://www.sports-reference.com/cbb/players/grace-oliver-1.html,Grace Oliver,13,SO,F,6-1,wake-forest,2026
https://www.sports-reference.com/cbb/players/mary-carter-1.html,Mary Carter,14,JR,G,6-3,wake-forest,2026
https://www.sports-reference.com/cbb/players/milan-brown-2.html,Milan Brown,0,FR,G,5-8,wake-forest,2026
https://www.sports-reference.com/cbb/players/caitlyn-jones-2.html,Caitlyn Jones,5,FR,G,5-8,wake-forest,2026
https://www.sports-reference.com/cbb/players/aurora-sorbye-1.html,Aurora SÃ¸rbye,2,SO,G,5-9,wake-forest,2026
https://www.sports-reference.com/cbb/players/opal-bird-1.html,Opal Bird,9,FR,F,6-3,wake-forest,2026
https://www.sports-reference.com/cbb/players/kennedy-moore-3.html,Kennedy Moore,15,SO,F,6-2,wake-forest,2026
https://www.sports-reference.com/cbb/players/raven-preston-1.html,Raven Preston,1,JR,G,5-11,wake-forest,2026
https://www.sports-reference.com/cbb/players/madisyn-jordan-1.html,Madisyn Jordan,22,JR,G,6-1,wake-forest,2026
https://www.sports-reference.com/cbb/players/emily-johns-1.html,Emily Johns,44,SR,F,6-1,wake-forest,2026
https://www.sports-reference.com/cbb/players/grace-galbavy-1.html,Grace Galbavy,35,FR,G,6-0,wake-forest,2026
https://www.sports-reference.com/cbb/players/savannah-metcalfe-1.html,Savannah Metcalfe,7,FR,F,6-5,wake-forest,2026
