ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,1,1,2021-11-10,Arkansas,,Tarleton State,REG (Non-Conf),W 85-33,,15,2,4,.500,2,4,.500,0,0,,.750,5,5,1.000,0,2,2,0,1,0,1,2,11,8.8,Elauna Eaton,https://www.sports-reference.com/cbb/players/elauna-eaton-1.html,arkansas,2021-22
2,2,2,2021-11-12,Arkansas,,Arkansas–Pine Bluff,REG (Non-Conf),W 96-53,,20,4,12,.333,4,11,.364,0,1,.000,.500,3,4,.750,1,6,7,1,0,0,0,2,15,10.2,Elauna Eaton,https://www.sports-reference.com/cbb/players/elauna-eaton-1.html,arkansas,2021-22
3,3,3,2021-11-14,Arkansas,@,Connecticut,REG (Non-Conf),L 80-95,,16,1,2,.500,1,2,.500,0,0,,.750,0,0,,0,0,0,0,1,0,0,1,3,2.6,Elauna Eaton,https://www.sports-reference.com/cbb/players/elauna-eaton-1.html,arkansas,2021-22
4,4,4,2021-11-19,Arkansas,@,Arkansas State,REG (Non-Conf),W 94-71,*,17,2,6,.333,1,3,.333,1,3,.333,.417,0,0,,0,1,1,0,2,0,0,0,5,3.9,Elauna Eaton,https://www.sports-reference.com/cbb/players/elauna-eaton-1.html,arkansas,2021-22
5,5,5,2021-11-22,Arkansas,,SMU,REG (Non-Conf),W 65-58,,11,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.1,Elauna Eaton,https://www.sports-reference.com/cbb/players/elauna-eaton-1.html,arkansas,2021-22
6,6,6,2021-11-27,Arkansas,,Sam Houston State,REG (Non-Conf),W 92-66,,15,0,3,.000,0,2,.000,0,1,.000,.000,0,0,,0,0,0,0,0,0,1,2,0,-3.9,Elauna Eaton,https://www.sports-reference.com/cbb/players/elauna-eaton-1.html,arkansas,2021-22
7,7,7,2021-11-28,Arkansas,,Belmont,REG (Non-Conf),W 83-63,,13,1,3,.333,1,2,.500,0,1,.000,.500,3,3,1.000,0,2,2,0,0,0,0,0,6,4.9,Elauna Eaton,https://www.sports-reference.com/cbb/players/elauna-eaton-1.html,arkansas,2021-22
8,8,8,2021-12-02,Arkansas,@,UCF,REG (Non-Conf),L 51-52,,10,1,4,.250,1,4,.250,0,0,,.375,0,0,,0,1,1,0,0,0,0,1,3,0.5,Elauna Eaton,https://www.sports-reference.com/cbb/players/elauna-eaton-1.html,arkansas,2021-22
9,9,9,2021-12-05,Arkansas,,California,REG (Non-Conf),W 84-67,,13,0,2,.000,0,2,.000,0,0,,.000,2,2,1.000,0,1,1,0,0,0,0,2,2,0.1,Elauna Eaton,https://www.sports-reference.com/cbb/players/elauna-eaton-1.html,arkansas,2021-22
10,10,10,2021-12-09,Arkansas,,Jackson State,REG (Non-Conf),W 66-62,,13,1,5,.200,1,5,.200,0,0,,.300,0,0,,0,2,2,1,0,0,0,1,3,0.8,Elauna Eaton,https://www.sports-reference.com/cbb/players/elauna-eaton-1.html,arkansas,2021-22
11,11,11,2021-12-12,Arkansas,,Little Rock,REG (Non-Conf),W 73-39,,23,4,7,.571,3,5,.600,1,2,.500,.786,0,0,,0,2,2,0,1,0,1,0,11,8.3,Elauna Eaton,https://www.sports-reference.com/cbb/players/elauna-eaton-1.html,arkansas,2021-22
12,12,12,2021-12-18,Arkansas,,Central Arkansas,REG (Non-Conf),W 82-44,,26,2,10,.200,2,9,.222,0,1,.000,.300,0,0,,0,2,2,1,0,1,0,0,6,1.8,Elauna Eaton,https://www.sports-reference.com/cbb/players/elauna-eaton-1.html,arkansas,2021-22
13,13,13,2021-12-21,Arkansas,,Creighton,REG (Non-Conf),L 72-81,,28,2,3,.667,2,3,.667,0,0,,1.000,0,0,,0,0,0,1,0,0,0,2,6,4.6,Elauna Eaton,https://www.sports-reference.com/cbb/players/elauna-eaton-1.html,arkansas,2021-22
14,14,14,2022-01-02,Arkansas,,Tennessee,REG (Conf),L 63-70,,21,1,4,.250,1,2,.500,0,2,.000,.375,1,2,.500,1,2,3,0,0,0,1,1,4,1.1,Elauna Eaton,https://www.sports-reference.com/cbb/players/elauna-eaton-1.html,arkansas,2021-22
15,15,15,2022-01-06,Arkansas,@,Vanderbilt,REG (Conf),L 51-54,,15,2,6,.333,2,6,.333,0,0,,.500,0,0,,0,1,1,0,0,0,0,2,6,2.1,Elauna Eaton,https://www.sports-reference.com/cbb/players/elauna-eaton-1.html,arkansas,2021-22
16,16,16,2022-01-09,Arkansas,,Missouri,REG (Conf),W 83-73,,9,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,0,0,1,0,0,0,0,0,0.0,Elauna Eaton,https://www.sports-reference.com/cbb/players/elauna-eaton-1.html,arkansas,2021-22
17,17,17,2022-01-16,Arkansas,,South Carolina,REG (Conf),L 52-61,,2,0,2,.000,0,2,.000,0,0,,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.8,Elauna Eaton,https://www.sports-reference.com/cbb/players/elauna-eaton-1.html,arkansas,2021-22
18,18,18,2022-01-20,Arkansas,@,Alabama,REG (Conf),W 99-71,,8,2,2,1.000,2,2,1.000,0,0,,1.500,0,0,,0,1,1,0,0,0,4,1,6,1.3,Elauna Eaton,https://www.sports-reference.com/cbb/players/elauna-eaton-1.html,arkansas,2021-22
19,19,19,2022-01-23,Arkansas,,Mississippi State,REG (Conf),W 74-54,,2,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,0,0,0,0,0,1,0,0,-1.7,Elauna Eaton,https://www.sports-reference.com/cbb/players/elauna-eaton-1.html,arkansas,2021-22
20,20,20,2022-01-27,Arkansas,,Louisiana State,REG (Conf),W 90-76,,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Elauna Eaton,https://www.sports-reference.com/cbb/players/elauna-eaton-1.html,arkansas,2021-22
21,21,21,2022-01-31,Arkansas,@,Tennessee,REG (Conf),L 83-86 (OT),,15,1,4,.250,1,4,.250,0,0,,.375,0,0,,0,3,3,0,0,0,1,1,3,0.1,Elauna Eaton,https://www.sports-reference.com/cbb/players/elauna-eaton-1.html,arkansas,2021-22
22,22,22,2022-02-03,Arkansas,@,Texas A&M,REG (Conf),L 64-77,,16,0,3,.000,0,3,.000,0,0,,.000,1,2,.500,0,3,3,0,0,0,0,1,1,-1.0,Elauna Eaton,https://www.sports-reference.com/cbb/players/elauna-eaton-1.html,arkansas,2021-22
23,23,23,2022-02-10,Arkansas,,Auburn,REG (Conf),W 68-66,*,34,1,5,.200,1,5,.200,0,0,,.300,0,0,,0,1,1,0,1,0,1,0,3,0.2,Elauna Eaton,https://www.sports-reference.com/cbb/players/elauna-eaton-1.html,arkansas,2021-22
24,24,24,2022-02-13,Arkansas,@,Missouri,REG (Conf),W 88-71,,15,1,1,1.000,1,1,1.000,0,0,,1.500,0,0,,0,0,0,0,0,0,1,1,3,1.3,Elauna Eaton,https://www.sports-reference.com/cbb/players/elauna-eaton-1.html,arkansas,2021-22
25,25,25,2022-02-17,Arkansas,@,Florida,REG (Conf),L 67-76,,5,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0,0,0.3,Elauna Eaton,https://www.sports-reference.com/cbb/players/elauna-eaton-1.html,arkansas,2021-22
26,26,26,2022-02-20,Arkansas,,Kentucky,REG (Conf),L 55-78,,12,0,2,.000,0,1,.000,0,1,.000,.000,0,0,,0,1,1,0,0,0,1,0,0,-2.1,Elauna Eaton,https://www.sports-reference.com/cbb/players/elauna-eaton-1.html,arkansas,2021-22
27,27,29,2022-02-27,Arkansas,@,Mississippi State,REG (Conf),W 87-79,,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Elauna Eaton,https://www.sports-reference.com/cbb/players/elauna-eaton-1.html,arkansas,2021-22
28,28,31,2022-03-04,Arkansas,@,South Carolina,CTOURN,L 54-76,,11,0,2,.000,0,1,.000,0,1,.000,.000,0,0,,0,1,1,0,0,0,0,1,0,-1.5,Elauna Eaton,https://www.sports-reference.com/cbb/players/elauna-eaton-1.html,arkansas,2021-22
