ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,34,1,2021-11-11,UC San Diego,@,Portland,REG (Non-Conf),L 48-91,,22,2,4,.500,0,1,.000,2,3,.667,.500,3,4,.750,0,2,2,0,0,0,2,1,7,2.8,Ula Chamberlin,https://www.sports-reference.com/cbb/players/ula-chamberlin-1.html,california-san-diego,2021-22
2,35,2,2021-11-13,UC San Diego,@,Seattle,REG (Non-Conf),W 60-44,,21,3,7,.429,1,3,.333,2,4,.500,.500,0,0,,0,1,1,1,1,0,2,2,7,2.5,Ula Chamberlin,https://www.sports-reference.com/cbb/players/ula-chamberlin-1.html,california-san-diego,2021-22
3,36,3,2021-11-17,UC San Diego,,Westcliff,REG (Non-Conf),W 91-32,,18,3,4,.750,2,2,1.000,1,2,.500,1.000,2,2,1.000,0,2,2,5,3,0,1,2,10,13.7,Ula Chamberlin,https://www.sports-reference.com/cbb/players/ula-chamberlin-1.html,california-san-diego,2021-22
4,37,4,2021-11-20,UC San Diego,,California,REG (Non-Conf),L 54-64,,19,1,8,.125,0,3,.000,1,5,.200,.125,0,0,,0,2,2,3,0,0,0,3,2,-1.7,Ula Chamberlin,https://www.sports-reference.com/cbb/players/ula-chamberlin-1.html,california-san-diego,2021-22
5,38,5,2021-11-26,UC San Diego,@,Pennsylvania,REG (Non-Conf),L 55-60,,14,0,6,.000,0,4,.000,0,2,.000,.000,0,0,,1,0,1,0,1,0,1,0,0,-3.5,Ula Chamberlin,https://www.sports-reference.com/cbb/players/ula-chamberlin-1.html,california-san-diego,2021-22
6,39,6,2021-11-27,UC San Diego,@,Loyola Marymount,REG (Non-Conf),L 44-51,,10,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,1,2,0,-1.8,Ula Chamberlin,https://www.sports-reference.com/cbb/players/ula-chamberlin-1.html,california-san-diego,2021-22
7,40,7,2021-12-03,UC San Diego,,San Jose State,REG (Non-Conf),W 81-61,,22,3,6,.500,1,2,.500,2,4,.500,.583,2,2,1.000,0,0,0,0,0,0,3,2,9,2.2,Ula Chamberlin,https://www.sports-reference.com/cbb/players/ula-chamberlin-1.html,california-san-diego,2021-22
8,41,8,2021-12-14,UC San Diego,,California Baptist,REG (Non-Conf),L 73-74,,12,0,4,.000,0,3,.000,0,1,.000,.000,0,0,,0,1,1,0,0,0,5,0,0,-7.5,Ula Chamberlin,https://www.sports-reference.com/cbb/players/ula-chamberlin-1.html,california-san-diego,2021-22
9,42,9,2021-12-17,UC San Diego,@,San Diego State,REG (Non-Conf),L 57-65,,10,1,2,.500,0,1,.000,1,1,1.000,.500,0,0,,0,0,0,1,0,0,4,0,2,-2.3,Ula Chamberlin,https://www.sports-reference.com/cbb/players/ula-chamberlin-1.html,california-san-diego,2021-22
10,43,10,2022-01-06,UC San Diego,,UC Riverside,REG (Conf),W 60-57,,23,4,9,.444,1,4,.250,3,5,.600,.500,0,0,,1,2,3,2,1,0,1,1,9,6.6,Ula Chamberlin,https://www.sports-reference.com/cbb/players/ula-chamberlin-1.html,california-san-diego,2021-22
