ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,44,1,2021-11-09,Coastal Carolina,,Agnes Scott,REG (Non-Conf),W 117-25,,16,9,11,.818,0,0,9,11,.818,.818,0,2,.000,1,3,4,0,1,5,0,0,18,19.2,Janeen Camp,https://www.sports-reference.com/cbb/players/janeen-camp-1.html,coastal-carolina,2021-22
2,45,2,2021-11-13,Coastal Carolina,@,South Carolina State,REG (Non-Conf),W 81-57,,7,2,4,.500,0,0,2,4,.500,.500,0,0,,1,0,1,0,0,1,1,3,4,1.2,Janeen Camp,https://www.sports-reference.com/cbb/players/janeen-camp-1.html,coastal-carolina,2021-22
3,46,3,2021-11-16,Coastal Carolina,,Erskine,REG (Non-Conf),W 74-24,,10,3,8,.375,0,0,3,8,.375,.375,1,2,.500,3,0,3,0,0,0,2,1,7,1.9,Janeen Camp,https://www.sports-reference.com/cbb/players/janeen-camp-1.html,coastal-carolina,2021-22
4,47,4,2021-11-20,Coastal Carolina,@,UNC Wilmington,REG (Non-Conf),W 73-62,,18,4,4,1.000,0,0,4,4,1.000,1.000,1,1,1.000,0,3,3,0,0,6,3,4,9,8.3,Janeen Camp,https://www.sports-reference.com/cbb/players/janeen-camp-1.html,coastal-carolina,2021-22
5,48,5,2021-11-26,Coastal Carolina,,UNC Greensboro,REG (Non-Conf),W 53-41,,18,2,5,.400,0,0,2,5,.400,.400,1,2,.500,2,7,9,0,0,2,1,2,5,5.0,Janeen Camp,https://www.sports-reference.com/cbb/players/janeen-camp-1.html,coastal-carolina,2021-22
6,49,6,2021-11-28,Coastal Carolina,,East Tennessee State,REG (Non-Conf),W 55-41,,8,2,2,1.000,0,0,2,2,1.000,1.000,0,0,,0,0,0,0,0,1,1,2,4,2.3,Janeen Camp,https://www.sports-reference.com/cbb/players/janeen-camp-1.html,coastal-carolina,2021-22
7,50,7,2021-12-04,Coastal Carolina,,Wofford,REG (Non-Conf),W 58-46,,26,5,6,.833,0,0,5,6,.833,.833,0,0,,5,10,15,1,0,3,4,4,10,11.5,Janeen Camp,https://www.sports-reference.com/cbb/players/janeen-camp-1.html,coastal-carolina,2021-22
8,51,8,2021-12-07,Coastal Carolina,,Wesleyan (GA),REG (Non-Conf),W 116-39,,16,8,11,.727,0,0,8,11,.727,.727,0,0,,5,4,9,1,1,4,0,1,16,20.3,Janeen Camp,https://www.sports-reference.com/cbb/players/janeen-camp-1.html,coastal-carolina,2021-22
9,52,9,2021-12-15,Coastal Carolina,,St. Mary's (CA),REG (Non-Conf),L 58-61,,11,0,1,.000,0,0,0,1,.000,.000,0,0,,0,3,3,0,0,1,3,3,0,-3.3,Janeen Camp,https://www.sports-reference.com/cbb/players/janeen-camp-1.html,coastal-carolina,2021-22
10,53,10,2021-12-18,Coastal Carolina,,Florida A&M,REG (Non-Conf),W 76-72,,7,1,2,.500,0,0,1,2,.500,.500,1,2,.500,1,1,2,0,1,2,1,2,3,3.2,Janeen Camp,https://www.sports-reference.com/cbb/players/janeen-camp-1.html,coastal-carolina,2021-22
11,54,11,2021-12-19,Coastal Carolina,,Radford,REG (Non-Conf),W 85-64,,7,0,2,.000,0,0,0,2,.000,.000,0,0,,1,1,2,0,0,0,0,1,0,-0.8,Janeen Camp,https://www.sports-reference.com/cbb/players/janeen-camp-1.html,coastal-carolina,2021-22
12,55,12,2021-12-30,Coastal Carolina,@,Troy,REG (Conf),L 80-91,,14,4,6,.667,0,0,4,6,.667,.667,1,2,.500,4,2,6,1,0,0,1,4,9,7.5,Janeen Camp,https://www.sports-reference.com/cbb/players/janeen-camp-1.html,coastal-carolina,2021-22
13,56,13,2022-01-06,Coastal Carolina,,Georgia Southern,REG (Conf),W 72-69,,22,2,4,.500,0,0,2,4,.500,.500,3,7,.429,5,11,16,2,0,2,5,5,7,6.0,Janeen Camp,https://www.sports-reference.com/cbb/players/janeen-camp-1.html,coastal-carolina,2021-22
14,57,14,2022-01-08,Coastal Carolina,,Georgia State,REG (Conf),W 75-51,,17,3,8,.375,0,0,3,8,.375,.375,6,8,.750,6,5,11,3,2,2,4,2,12,13.2,Janeen Camp,https://www.sports-reference.com/cbb/players/janeen-camp-1.html,coastal-carolina,2021-22
15,58,15,2022-01-13,Coastal Carolina,@,Little Rock,REG (Conf),L 50-54,,22,3,8,.375,0,0,3,8,.375,.375,0,0,,6,5,11,1,1,2,1,4,6,7.8,Janeen Camp,https://www.sports-reference.com/cbb/players/janeen-camp-1.html,coastal-carolina,2021-22
16,59,16,2022-01-15,Coastal Carolina,@,Arkansas State,REG (Conf),L 60-81,,12,1,2,.500,0,0,1,2,.500,.500,0,0,,2,0,2,0,0,1,2,2,2,0.3,Janeen Camp,https://www.sports-reference.com/cbb/players/janeen-camp-1.html,coastal-carolina,2021-22
17,60,17,2022-01-26,Coastal Carolina,@,Appalachian State,REG (Conf),L 61-66,*,21,4,7,.571,0,0,4,7,.571,.571,1,4,.250,5,3,8,0,1,0,3,4,9,5.3,Janeen Camp,https://www.sports-reference.com/cbb/players/janeen-camp-1.html,coastal-carolina,2021-22
18,61,18,2022-01-29,Coastal Carolina,,Appalachian State,REG (Conf),L 68-70,*,11,3,4,.750,0,0,3,4,.750,.750,0,0,,0,5,5,0,2,1,1,4,6,6.0,Janeen Camp,https://www.sports-reference.com/cbb/players/janeen-camp-1.html,coastal-carolina,2021-22
