ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,18,1,2021-11-09,Georgetown,@,Navy,REG (Non-Conf),W 73-62,*,28,5,11,.455,0,3,.000,5,8,.625,.455,2,4,.500,0,3,3,4,4,0,0,3,12,12.0,Kelsey Ransom,https://www.sports-reference.com/cbb/players/kelsey-ransom-1.html,georgetown,2021-22
2,19,2,2021-11-12,Georgetown,,Salem Int'l,REG (Non-Conf),W 86-48,*,28,4,8,.500,0,0,,4,8,.500,.500,0,4,.000,0,7,7,11,3,2,5,3,8,10.4,Kelsey Ransom,https://www.sports-reference.com/cbb/players/kelsey-ransom-1.html,georgetown,2021-22
3,20,3,2021-11-17,Georgetown,,Davidson,REG (Non-Conf),L 55-70,*,31,5,10,.500,1,3,.333,4,7,.571,.550,2,4,.500,4,5,9,7,2,1,4,3,13,13.9,Kelsey Ransom,https://www.sports-reference.com/cbb/players/kelsey-ransom-1.html,georgetown,2021-22
4,21,4,2021-11-21,Georgetown,,Columbia,REG (Non-Conf),L 56-66 (2OT),*,48,5,12,.417,0,1,.000,5,11,.455,.417,1,3,.333,0,3,3,6,5,0,7,4,11,5.3,Kelsey Ransom,https://www.sports-reference.com/cbb/players/kelsey-ransom-1.html,georgetown,2021-22
5,22,5,2021-11-24,Georgetown,,Loyola (MD),REG (Non-Conf),W 66-55,*,31,5,10,.500,1,2,.500,4,8,.500,.550,4,5,.800,0,5,5,5,2,0,1,4,15,14.0,Kelsey Ransom,https://www.sports-reference.com/cbb/players/kelsey-ransom-1.html,georgetown,2021-22
6,23,6,2021-11-30,Georgetown,,Temple,REG (Non-Conf),L 47-49,*,40,6,15,.400,0,0,,6,15,.400,.400,3,4,.750,1,3,4,1,2,0,6,2,15,4.0,Kelsey Ransom,https://www.sports-reference.com/cbb/players/kelsey-ransom-1.html,georgetown,2021-22
7,24,7,2021-12-03,Georgetown,@,Creighton,REG (Conf),L 38-64,*,14,1,5,.200,1,1,1.000,0,4,.000,.300,0,0,,0,0,0,0,1,0,5,4,3,-5.7,Kelsey Ransom,https://www.sports-reference.com/cbb/players/kelsey-ransom-1.html,georgetown,2021-22
8,25,8,2021-12-05,Georgetown,@,Providence,REG (Conf),W 55-47,*,39,5,15,.333,0,3,.000,5,12,.417,.333,11,15,.733,2,2,4,4,3,0,2,1,21,16.3,Kelsey Ransom,https://www.sports-reference.com/cbb/players/kelsey-ransom-1.html,georgetown,2021-22
9,26,9,2021-12-09,Georgetown,,George Washington,REG (Non-Conf),W 68-63,*,36,4,9,.444,0,0,,4,9,.444,.444,1,1,1.000,1,1,2,7,2,0,3,3,9,8.0,Kelsey Ransom,https://www.sports-reference.com/cbb/players/kelsey-ransom-1.html,georgetown,2021-22
10,27,10,2021-12-13,Georgetown,,Coppin State,REG (Non-Conf),W 59-53,*,33,5,11,.455,0,0,,5,11,.455,.455,3,3,1.000,1,5,6,6,3,0,2,5,13,12.7,Kelsey Ransom,https://www.sports-reference.com/cbb/players/kelsey-ransom-1.html,georgetown,2021-22
