ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,54,1,2021-11-09,Georgia State,@,Florida,REG (Non-Conf),L 70-84,*,24,3,9,.333,1,1,1.000,2,8,.250,.389,2,5,.400,0,1,1,3,0,0,3,2,9,1.3,Taylor Henderson,https://www.sports-reference.com/cbb/players/taylor-henderson-1.html,georgia-state,2021-22
2,55,2,2021-11-12,Georgia State,,Tennessee State,REG (Non-Conf),L 67-70,,14,0,2,.000,0,2,.000,0,0,,.000,0,0,,0,1,1,4,0,0,5,2,0,-4.1,Taylor Henderson,https://www.sports-reference.com/cbb/players/taylor-henderson-1.html,georgia-state,2021-22
3,56,3,2021-11-14,Georgia State,,Life,REG (Non-Conf),W 69-47,*,13,3,3,1.000,1,1,1.000,2,2,1.000,1.167,0,0,,0,2,2,2,0,0,0,1,7,7.7,Taylor Henderson,https://www.sports-reference.com/cbb/players/taylor-henderson-1.html,georgia-state,2021-22
4,57,4,2021-11-17,Georgia State,,Brewton-Parker,REG (Non-Conf),W 80-40,*,20,2,5,.400,0,2,.000,2,3,.667,.400,1,1,1.000,0,4,4,3,2,0,1,0,5,6.6,Taylor Henderson,https://www.sports-reference.com/cbb/players/taylor-henderson-1.html,georgia-state,2021-22
5,58,5,2021-11-20,Georgia State,@,North Alabama,REG (Non-Conf),L 90-91 (OT),*,38,9,14,.643,2,3,.667,7,11,.636,.714,1,1,1.000,0,5,5,1,0,0,2,3,21,13.8,Taylor Henderson,https://www.sports-reference.com/cbb/players/taylor-henderson-1.html,georgia-state,2021-22
6,59,6,2021-11-22,Georgia State,@,Alabama A&M,REG (Non-Conf),W 62-61,*,32,6,11,.545,1,1,1.000,5,10,.500,.591,2,4,.500,0,1,1,3,1,0,1,1,15,10.9,Taylor Henderson,https://www.sports-reference.com/cbb/players/taylor-henderson-1.html,georgia-state,2021-22
7,60,7,2021-11-27,Georgia State,@,Chattanooga,REG (Non-Conf),W 77-66,*,28,7,12,.583,0,3,.000,7,9,.778,.583,1,2,.500,0,2,2,1,1,0,0,0,15,11.3,Taylor Henderson,https://www.sports-reference.com/cbb/players/taylor-henderson-1.html,georgia-state,2021-22
8,61,9,2021-12-12,Georgia State,@,Tennessee,REG (Non-Conf),L 60-84,,19,3,8,.375,0,1,.000,3,7,.429,.375,0,0,,0,0,0,0,1,0,3,1,6,-0.8,Taylor Henderson,https://www.sports-reference.com/cbb/players/taylor-henderson-1.html,georgia-state,2021-22
9,62,10,2021-12-14,Georgia State,,Florida A&M,REG (Non-Conf),W 61-52,*,26,3,5,.600,0,0,,3,5,.600,.600,0,3,.000,1,4,5,1,1,0,1,1,6,4.7,Taylor Henderson,https://www.sports-reference.com/cbb/players/taylor-henderson-1.html,georgia-state,2021-22
10,63,11,2021-12-18,Georgia State,,Tulsa,REG (Non-Conf),L 55-67,*,29,7,15,.467,0,3,.000,7,12,.583,.467,2,2,1.000,1,1,2,2,0,0,0,1,16,10.3,Taylor Henderson,https://www.sports-reference.com/cbb/players/taylor-henderson-1.html,georgia-state,2021-22
11,64,12,2021-12-19,Georgia State,,Charleston Southern,REG (Non-Conf),W 55-50,*,28,0,4,.000,0,0,,0,4,.000,.000,2,2,1.000,0,10,10,2,2,0,1,2,2,3.8,Taylor Henderson,https://www.sports-reference.com/cbb/players/taylor-henderson-1.html,georgia-state,2021-22
12,65,14,2022-01-13,Georgia State,,UT Arlington,REG (Conf),L 68-82,,23,3,8,.375,0,1,.000,3,7,.429,.375,0,2,.000,1,2,3,7,0,0,3,5,6,2.0,Taylor Henderson,https://www.sports-reference.com/cbb/players/taylor-henderson-1.html,georgia-state,2021-22
13,66,15,2022-01-15,Georgia State,,Texas State,REG (Conf),L 55-73,,26,1,8,.125,0,1,.000,1,7,.143,.125,4,6,.667,0,4,4,2,1,0,2,1,6,1.2,Taylor Henderson,https://www.sports-reference.com/cbb/players/taylor-henderson-1.html,georgia-state,2021-22
