ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,30,1,2021-11-09,High Point,,Elon,REG (Non-Conf),L 66-68,,14,2,4,.500,0,0,,2,4,.500,.500,5,7,.714,0,0,0,0,0,0,0,1,9,5.8,Claire Wyatt,https://www.sports-reference.com/cbb/players/claire-wyatt-1.html,high-point,2021-22
2,31,2,2021-11-12,High Point,,East Carolina,REG (Non-Conf),W 60-50,*,36,3,10,.300,3,8,.375,0,2,.000,.450,1,2,.500,0,5,5,5,3,0,0,2,10,11.0,Claire Wyatt,https://www.sports-reference.com/cbb/players/claire-wyatt-1.html,high-point,2021-22
3,32,3,2021-11-14,High Point,,Mid-Atl Christian,REG (Non-Conf),W 109-38,*,15,3,6,.500,1,4,.250,2,2,1.000,.583,0,2,.000,0,1,1,1,1,0,0,0,7,5.2,Claire Wyatt,https://www.sports-reference.com/cbb/players/claire-wyatt-1.html,high-point,2021-22
4,33,4,2021-11-20,High Point,@,Davidson,REG (Non-Conf),L 54-76,*,25,5,13,.385,2,6,.333,3,7,.429,.462,5,6,.833,0,2,2,1,1,1,0,5,17,10.5,Claire Wyatt,https://www.sports-reference.com/cbb/players/claire-wyatt-1.html,high-point,2021-22
5,34,5,2021-11-24,High Point,,Wake Forest,REG (Non-Conf),L 50-79,*,25,1,7,.143,0,6,.000,1,1,1.000,.143,0,0,,0,5,5,0,0,1,0,4,2,-1.9,Claire Wyatt,https://www.sports-reference.com/cbb/players/claire-wyatt-1.html,high-point,2021-22
6,35,6,2021-11-30,High Point,@,Wofford,REG (Non-Conf),L 52-74,*,20,0,6,.000,0,5,.000,0,1,.000,.000,4,4,1.000,0,2,2,0,0,0,2,4,4,-3.2,Claire Wyatt,https://www.sports-reference.com/cbb/players/claire-wyatt-1.html,high-point,2021-22
7,36,7,2021-12-04,High Point,@,Liberty,REG (Non-Conf),L 47-70,*,25,0,7,.000,0,6,.000,0,1,.000,.000,0,0,,1,2,3,0,0,1,0,0,0,-2.9,Claire Wyatt,https://www.sports-reference.com/cbb/players/claire-wyatt-1.html,high-point,2021-22
8,37,8,2021-12-09,High Point,,King (TN),REG (Non-Conf),W 76-56,*,21,1,5,.200,1,5,.200,0,0,,.300,1,2,.500,0,2,2,1,0,0,1,0,4,0.8,Claire Wyatt,https://www.sports-reference.com/cbb/players/claire-wyatt-1.html,high-point,2021-22
9,38,9,2021-12-17,High Point,@,South Florida,REG (Non-Conf),L 46-62,,7,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Claire Wyatt,https://www.sports-reference.com/cbb/players/claire-wyatt-1.html,high-point,2021-22
10,39,10,2021-12-20,High Point,@,Dayton,REG (Non-Conf),L 64-71,,12,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,2,2,0,1,1,0,0,0,1.6,Claire Wyatt,https://www.sports-reference.com/cbb/players/claire-wyatt-1.html,high-point,2021-22
11,40,11,2021-12-21,High Point,,Florida Gulf Coast,REG (Non-Conf),L 50-86,,13,2,4,.500,2,2,1.000,0,2,.000,.750,0,0,,2,4,6,0,0,2,0,0,6,8.0,Claire Wyatt,https://www.sports-reference.com/cbb/players/claire-wyatt-1.html,high-point,2021-22
12,41,12,2021-12-29,High Point,,Gardner-Webb,REG (Conf),L 50-64,,28,2,10,.200,1,6,.167,1,4,.250,.250,2,2,1.000,1,1,2,1,1,1,1,3,7,2.0,Claire Wyatt,https://www.sports-reference.com/cbb/players/claire-wyatt-1.html,high-point,2021-22
13,42,13,2022-01-12,High Point,@,USC Upstate,REG (Conf),W 83-73,*,22,3,6,.500,2,5,.400,1,1,1.000,.667,1,2,.500,1,10,11,1,0,2,0,0,9,11.4,Claire Wyatt,https://www.sports-reference.com/cbb/players/claire-wyatt-1.html,high-point,2021-22
14,43,14,2022-01-15,High Point,,Campbell,REG (Conf),L 50-58,*,27,1,3,.333,0,1,.000,1,2,.500,.333,2,4,.500,0,4,4,1,0,2,4,1,4,0.4,Claire Wyatt,https://www.sports-reference.com/cbb/players/claire-wyatt-1.html,high-point,2021-22
15,44,15,2022-01-18,High Point,@,UNC Asheville,REG (Conf),W 61-57,*,26,3,10,.300,2,5,.400,1,5,.200,.400,3,4,.750,1,2,3,0,0,0,1,2,11,4.3,Claire Wyatt,https://www.sports-reference.com/cbb/players/claire-wyatt-1.html,high-point,2021-22
16,45,16,2022-01-22,High Point,,Hampton,REG (Conf),W 71-45,*,21,3,5,.600,2,4,.500,1,1,1.000,.800,0,0,,1,1,2,1,2,0,0,2,8,8.6,Claire Wyatt,https://www.sports-reference.com/cbb/players/claire-wyatt-1.html,high-point,2021-22
17,46,17,2022-01-25,High Point,,Longwood,REG (Conf),L 64-77,*,31,6,15,.400,2,5,.400,4,10,.400,.467,1,3,.333,4,2,6,0,1,2,3,2,15,8.1,Claire Wyatt,https://www.sports-reference.com/cbb/players/claire-wyatt-1.html,high-point,2021-22
18,47,18,2022-01-29,High Point,@,Presbyterian,REG (Conf),W 57-47,*,30,3,6,.500,2,4,.500,1,2,.500,.667,1,2,.500,0,3,3,1,4,1,3,3,9,7.7,Claire Wyatt,https://www.sports-reference.com/cbb/players/claire-wyatt-1.html,high-point,2021-22
