ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,16,1,2021-11-09,James Madison,,Virginia,REG (Non-Conf),W 84-69,*,21,2,3,.667,0,0,,2,3,.667,.667,3,6,.500,5,1,6,0,1,0,1,5,7,6.3,Annalicia Goodman,https://www.sports-reference.com/cbb/players/annalicia-goodman-1.html,james-madison,2021-22
2,17,2,2021-11-14,James Madison,,Maryland,REG (Non-Conf),L 45-81,*,24,3,4,.750,0,0,,3,4,.750,.750,0,2,.000,3,4,7,0,0,1,0,0,6,7.6,Annalicia Goodman,https://www.sports-reference.com/cbb/players/annalicia-goodman-1.html,james-madison,2021-22
3,18,3,2021-11-18,James Madison,@,Liberty,REG (Non-Conf),L 61-66 (OT),*,30,3,8,.375,0,0,,3,8,.375,.375,0,1,.000,3,2,5,0,0,0,0,5,6,1.9,Annalicia Goodman,https://www.sports-reference.com/cbb/players/annalicia-goodman-1.html,james-madison,2021-22
4,19,4,2021-11-21,James Madison,,Hampton,REG (Non-Conf),W 78-60,*,30,2,6,.333,0,0,,2,6,.333,.333,1,3,.333,1,4,5,2,1,4,0,1,5,7.5,Annalicia Goodman,https://www.sports-reference.com/cbb/players/annalicia-goodman-1.html,james-madison,2021-22
5,20,5,2021-11-24,James Madison,,North Carolina Central,REG (Non-Conf),W 77-54,*,32,4,5,.800,0,0,,4,5,.800,.800,5,6,.833,3,3,6,0,1,4,1,1,13,16.1,Annalicia Goodman,https://www.sports-reference.com/cbb/players/annalicia-goodman-1.html,james-madison,2021-22
6,21,6,2021-11-27,James Madison,@,Buffalo,REG (Non-Conf),L 45-62,*,21,4,6,.667,0,0,,4,6,.667,.667,0,3,.000,1,6,7,1,1,0,2,2,8,5.6,Annalicia Goodman,https://www.sports-reference.com/cbb/players/annalicia-goodman-1.html,james-madison,2021-22
7,22,7,2021-12-02,James Madison,@,George Washington,REG (Non-Conf),L 50-54,*,31,5,10,.500,0,0,,5,10,.500,.500,0,2,.000,1,5,6,0,0,1,3,2,10,3.3,Annalicia Goodman,https://www.sports-reference.com/cbb/players/annalicia-goodman-1.html,james-madison,2021-22
8,23,8,2021-12-05,James Madison,@,North Carolina,REG (Non-Conf),L 47-93,*,25,0,5,.000,0,0,,0,5,.000,.000,0,0,,1,4,5,0,0,0,1,2,0,-3.4,Annalicia Goodman,https://www.sports-reference.com/cbb/players/annalicia-goodman-1.html,james-madison,2021-22
9,24,9,2021-12-09,James Madison,,Villanova,REG (Non-Conf),L 67-76,*,19,2,3,.667,0,0,,2,3,.667,.667,0,0,,4,2,6,0,0,0,1,1,4,4.7,Annalicia Goodman,https://www.sports-reference.com/cbb/players/annalicia-goodman-1.html,james-madison,2021-22
10,25,10,2021-12-12,James Madison,,West Virginia,REG (Non-Conf),L 68-75 (OT),*,35,1,4,.250,0,0,,1,4,.250,.250,3,4,.750,5,4,9,1,1,0,3,4,5,4.0,Annalicia Goodman,https://www.sports-reference.com/cbb/players/annalicia-goodman-1.html,james-madison,2021-22
11,26,11,2021-12-20,James Madison,@,George Mason,REG (Non-Conf),W 69-61,*,28,4,9,.444,0,0,,4,9,.444,.444,1,4,.250,3,6,9,0,0,1,3,5,9,2.7,Annalicia Goodman,https://www.sports-reference.com/cbb/players/annalicia-goodman-1.html,james-madison,2021-22
12,27,12,2022-01-07,James Madison,,William & Mary,REG (Conf),W 67-39,*,26,8,12,.667,0,0,,8,12,.667,.667,0,0,,3,9,12,0,0,0,0,1,16,15.2,Annalicia Goodman,https://www.sports-reference.com/cbb/players/annalicia-goodman-1.html,james-madison,2021-22
13,28,13,2022-01-09,James Madison,,Elon,REG (Conf),W 59-57,*,33,5,10,.500,0,0,,5,10,.500,.500,0,0,,7,4,11,0,0,0,3,3,10,6.9,Annalicia Goodman,https://www.sports-reference.com/cbb/players/annalicia-goodman-1.html,james-madison,2021-22
14,29,14,2022-01-16,James Madison,@,Towson,REG (Conf),L 70-79,*,26,3,4,.750,0,0,,3,4,.750,.750,1,4,.250,0,2,2,1,0,1,3,3,7,2.0,Annalicia Goodman,https://www.sports-reference.com/cbb/players/annalicia-goodman-1.html,james-madison,2021-22
15,30,15,2022-01-18,James Madison,@,Delaware,REG (Conf),L 57-64,*,32,3,10,.300,0,0,,3,10,.300,.300,0,0,,6,3,9,0,0,0,1,3,6,3.1,Annalicia Goodman,https://www.sports-reference.com/cbb/players/annalicia-goodman-1.html,james-madison,2021-22
16,31,16,2022-01-21,James Madison,@,UNC Wilmington,REG (Conf),W 57-56,*,30,6,9,.667,0,0,,6,9,.667,.667,0,0,,2,2,4,0,0,1,3,4,12,6.2,Annalicia Goodman,https://www.sports-reference.com/cbb/players/annalicia-goodman-1.html,james-madison,2021-22
17,32,17,2022-01-23,James Madison,@,College of Charleston,REG (Conf),W 64-55,*,38,2,7,.286,0,1,.000,2,6,.333,.286,2,2,1.000,6,6,12,2,2,1,1,2,6,10.2,Annalicia Goodman,https://www.sports-reference.com/cbb/players/annalicia-goodman-1.html,james-madison,2021-22
18,33,18,2022-01-28,James Madison,,Hofstra,REG (Conf),W 65-53,*,29,5,8,.625,0,0,,5,8,.625,.625,0,1,.000,4,1,5,1,1,0,2,5,10,6.8,Annalicia Goodman,https://www.sports-reference.com/cbb/players/annalicia-goodman-1.html,james-madison,2021-22
19,34,19,2022-01-30,James Madison,,Northeastern,REG (Conf),L 50-62,*,27,2,6,.333,0,0,,2,6,.333,.333,2,4,.500,5,4,9,0,0,0,3,2,6,2.7,Annalicia Goodman,https://www.sports-reference.com/cbb/players/annalicia-goodman-1.html,james-madison,2021-22
