ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,1,1,2021-11-12,Lafayette,@,Pittsburgh,REG (Non-Conf),L 63-72,,27,5,13,.385,3,8,.375,2,5,.400,.500,0,0,,1,2,3,2,0,0,0,2,13,7.8,Abby Antognoli,https://www.sports-reference.com/cbb/players/abby-antognoli-1.html,lafayette,2021-22
2,2,2,2021-11-14,Lafayette,@,Duquesne,REG (Non-Conf),L 47-60,,23,1,6,.167,0,3,.000,1,3,.333,.167,1,4,.250,0,0,0,0,0,0,0,0,3,-2.0,Abby Antognoli,https://www.sports-reference.com/cbb/players/abby-antognoli-1.html,lafayette,2021-22
3,3,3,2021-11-18,Lafayette,,Columbia,REG (Non-Conf),L 59-72,,31,2,6,.333,2,4,.500,0,2,.000,.500,1,2,.500,0,4,4,2,2,0,3,1,7,4.4,Abby Antognoli,https://www.sports-reference.com/cbb/players/abby-antognoli-1.html,lafayette,2021-22
4,4,4,2021-11-20,Lafayette,,Siena,REG (Non-Conf),W 49-44,,20,0,4,.000,0,2,.000,0,2,.000,.000,1,2,.500,0,1,1,2,1,0,4,2,1,-4.3,Abby Antognoli,https://www.sports-reference.com/cbb/players/abby-antognoli-1.html,lafayette,2021-22
5,5,5,2021-11-23,Lafayette,@,La Salle,REG (Non-Conf),L 52-73,,27,3,6,.500,1,3,.333,2,3,.667,.583,0,0,,0,1,1,4,2,0,2,0,7,7.1,Abby Antognoli,https://www.sports-reference.com/cbb/players/abby-antognoli-1.html,lafayette,2021-22
6,6,7,2021-12-01,Lafayette,,Marist,REG (Non-Conf),W 53-50,,21,1,8,.125,0,5,.000,1,3,.333,.125,0,0,,0,1,1,1,0,0,0,0,2,-2.2,Abby Antognoli,https://www.sports-reference.com/cbb/players/abby-antognoli-1.html,lafayette,2021-22
7,7,8,2021-12-04,Lafayette,,NJIT,REG (Non-Conf),W 71-64,,20,3,7,.429,1,3,.333,2,4,.500,.500,0,0,,2,1,3,3,3,0,1,2,7,8.3,Abby Antognoli,https://www.sports-reference.com/cbb/players/abby-antognoli-1.html,lafayette,2021-22
8,8,9,2021-12-09,Lafayette,@,UMBC,REG (Non-Conf),W 62-55,,31,5,8,.625,3,4,.750,2,4,.500,.813,3,5,.600,0,1,1,2,2,0,0,2,16,14.5,Abby Antognoli,https://www.sports-reference.com/cbb/players/abby-antognoli-1.html,lafayette,2021-22
9,9,10,2021-12-12,Lafayette,@,Fordham,REG (Non-Conf),L 36-71,*,36,2,8,.250,2,6,.333,0,2,.000,.375,0,0,,0,1,1,1,1,0,0,0,6,3.2,Abby Antognoli,https://www.sports-reference.com/cbb/players/abby-antognoli-1.html,lafayette,2021-22
10,10,11,2021-12-29,Lafayette,@,Colgate,REG (Conf),W 59-37,*,31,2,9,.222,1,4,.250,1,5,.200,.278,0,0,,1,2,3,4,0,0,0,0,5,3.6,Abby Antognoli,https://www.sports-reference.com/cbb/players/abby-antognoli-1.html,lafayette,2021-22
