ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,1,1,2021-11-09,Michigan,,IUPUI,REG (Non-Conf),W 67-62 (OT),,13,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,0,1,1,1,1,0,3,1,2,0.3,Ari Wiggins,https://www.sports-reference.com/cbb/players/ari-wiggins-1.html,michigan,2021-22
2,2,2,2021-11-13,Michigan,,St. Francis Brooklyn,REG (Non-Conf),W 82-46,,17,0,7,.000,0,3,.000,0,4,.000,.000,2,2,1.000,0,2,2,0,1,0,3,0,2,-4.3,Ari Wiggins,https://www.sports-reference.com/cbb/players/ari-wiggins-1.html,michigan,2021-22
3,3,3,2021-11-16,Michigan,,UMass Lowell,REG (Non-Conf),W 73-54,,10,1,4,.250,0,0,,1,4,.250,.250,0,1,.000,0,0,0,0,2,0,3,2,2,-2.6,Ari Wiggins,https://www.sports-reference.com/cbb/players/ari-wiggins-1.html,michigan,2021-22
4,4,4,2021-11-20,Michigan,@,Central Michigan,REG (Non-Conf),W 69-45,,16,1,5,.200,0,0,,1,5,.200,.200,0,0,,1,0,1,1,2,0,0,2,2,1.5,Ari Wiggins,https://www.sports-reference.com/cbb/players/ari-wiggins-1.html,michigan,2021-22
5,5,5,2021-11-22,Michigan,,Oakland,REG (Non-Conf),W 69-58,,5,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,2,1,0,-2.4,Ari Wiggins,https://www.sports-reference.com/cbb/players/ari-wiggins-1.html,michigan,2021-22
6,6,6,2021-11-26,Michigan,@,Oregon State,REG (Non-Conf),W 61-52,,6,0,2,.000,0,0,,0,2,.000,.000,0,0,,0,1,1,1,0,0,1,3,0,-2.6,Ari Wiggins,https://www.sports-reference.com/cbb/players/ari-wiggins-1.html,michigan,2021-22
7,7,7,2021-11-27,Michigan,,Mississippi State,REG (Non-Conf),W 64-48,,6,0,0,,0,0,,0,0,,,0,0,,0,2,2,0,0,0,1,2,0,-1.2,Ari Wiggins,https://www.sports-reference.com/cbb/players/ari-wiggins-1.html,michigan,2021-22
8,8,8,2021-12-02,Michigan,@,Louisville,REG (Non-Conf),L 48-70,,9,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,1,1,1,0,0,3,1,0,-3.1,Ari Wiggins,https://www.sports-reference.com/cbb/players/ari-wiggins-1.html,michigan,2021-22
9,9,9,2021-12-05,Michigan,,Akron,REG (Non-Conf),W 93-54,,12,0,3,.000,0,0,,0,3,.000,.000,1,2,.500,0,2,2,0,1,0,1,0,1,-0.9,Ari Wiggins,https://www.sports-reference.com/cbb/players/ari-wiggins-1.html,michigan,2021-22
10,10,10,2021-12-09,Michigan,@,Wisconsin,REG (Conf),W 93-81,,4,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,0,1,0,0,0,1.4,Ari Wiggins,https://www.sports-reference.com/cbb/players/ari-wiggins-1.html,michigan,2021-22
11,11,11,2021-12-12,Michigan,,Minnesota,REG (Conf),W 73-61,,4,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,Ari Wiggins,https://www.sports-reference.com/cbb/players/ari-wiggins-1.html,michigan,2021-22
12,12,13,2021-12-31,Michigan,,Ohio State,REG (Conf),W 90-71,,5,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,1,1,2,0,0,3,2,0,-2.8,Ari Wiggins,https://www.sports-reference.com/cbb/players/ari-wiggins-1.html,michigan,2021-22
13,13,14,2022-01-04,Michigan,@,Nebraska,REG (Conf),L 58-79,,3,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,1,0,0,0,0,1.0,Ari Wiggins,https://www.sports-reference.com/cbb/players/ari-wiggins-1.html,michigan,2021-22
14,14,15,2022-01-09,Michigan,,Rutgers,REG (Conf),W 76-47,,3,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0,0,0.3,Ari Wiggins,https://www.sports-reference.com/cbb/players/ari-wiggins-1.html,michigan,2021-22
15,15,17,2022-01-16,Michigan,@,Maryland,REG (Conf),W 69-49,,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Ari Wiggins,https://www.sports-reference.com/cbb/players/ari-wiggins-1.html,michigan,2021-22
16,16,18,2022-01-20,Michigan,,Wisconsin,REG (Conf),W 83-44,,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Ari Wiggins,https://www.sports-reference.com/cbb/players/ari-wiggins-1.html,michigan,2021-22
