ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,70,1,2021-11-10,Monmouth,@,Syracuse,REG (Non-Conf),L 46-87,,19,1,2,.500,0,0,,1,2,.500,.500,0,0,,1,0,1,2,3,0,2,1,2,3.7,Lucy Thomas,https://www.sports-reference.com/cbb/players/lucy-thomas-1.html,monmouth,2021-22
2,71,2,2021-11-12,Monmouth,,Navy,REG (Non-Conf),W 57-46,,16,1,6,.167,0,2,.000,1,4,.250,.167,3,3,1.000,2,2,4,4,1,2,1,1,5,7.0,Lucy Thomas,https://www.sports-reference.com/cbb/players/lucy-thomas-1.html,monmouth,2021-22
3,72,3,2021-11-17,Monmouth,,Saint Joseph's,REG (Non-Conf),W 57-45,,18,1,3,.333,0,0,,1,3,.333,.333,1,4,.250,3,4,7,0,2,1,0,1,3,5.7,Lucy Thomas,https://www.sports-reference.com/cbb/players/lucy-thomas-1.html,monmouth,2021-22
4,73,4,2021-11-28,Monmouth,@,Providence,REG (Non-Conf),L 34-64,,13,1,6,.167,0,1,.000,1,5,.200,.167,0,0,,1,3,4,0,0,0,0,3,2,-1.4,Lucy Thomas,https://www.sports-reference.com/cbb/players/lucy-thomas-1.html,monmouth,2021-22
5,74,5,2021-12-02,Monmouth,,Sacred Heart,REG (Non-Conf),L 60-63 (OT),,12,2,4,.500,0,0,,2,4,.500,.500,0,0,,1,2,3,1,0,1,2,2,4,1.9,Lucy Thomas,https://www.sports-reference.com/cbb/players/lucy-thomas-1.html,monmouth,2021-22
6,75,6,2021-12-05,Monmouth,@,Dartmouth,REG (Non-Conf),W 55-37,,6,1,1,1.000,1,1,1.000,0,0,,1.500,0,0,,0,4,4,0,0,0,0,0,3,3.9,Lucy Thomas,https://www.sports-reference.com/cbb/players/lucy-thomas-1.html,monmouth,2021-22
7,76,7,2021-12-08,Monmouth,@,NJIT,REG (Non-Conf),W 62-53,,5,1,3,.333,0,1,.000,1,2,.500,.333,0,2,.000,1,0,1,0,0,1,0,0,2,0.9,Lucy Thomas,https://www.sports-reference.com/cbb/players/lucy-thomas-1.html,monmouth,2021-22
8,77,8,2021-12-10,Monmouth,,Oregon State,REG (Non-Conf),L 58-72,,4,0,1,.000,0,0,,0,1,.000,.000,0,0,,1,0,1,0,0,0,0,1,0,-0.4,Lucy Thomas,https://www.sports-reference.com/cbb/players/lucy-thomas-1.html,monmouth,2021-22
9,78,9,2021-12-18,Monmouth,@,Iona,REG (Conf),W 64-55,,8,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,1,1,0,0,0,0,0,0,-0.4,Lucy Thomas,https://www.sports-reference.com/cbb/players/lucy-thomas-1.html,monmouth,2021-22
10,79,11,2022-01-06,Monmouth,@,Quinnipiac,REG (Conf),W 70-60,,15,4,7,.571,1,2,.500,3,5,.600,.643,0,0,,1,2,3,0,1,1,2,1,9,6.3,Lucy Thomas,https://www.sports-reference.com/cbb/players/lucy-thomas-1.html,monmouth,2021-22
11,80,12,2022-01-15,Monmouth,@,Marist,REG (Conf),L 53-71,,17,3,6,.500,1,1,1.000,2,5,.400,.583,1,2,.500,1,1,2,0,1,0,0,2,8,5.8,Lucy Thomas,https://www.sports-reference.com/cbb/players/lucy-thomas-1.html,monmouth,2021-22
12,81,13,2022-01-20,Monmouth,,Niagara,REG (Conf),W 61-56,,21,3,7,.429,1,2,.500,2,5,.400,.500,1,4,.250,3,3,6,1,1,1,3,3,8,4.3,Lucy Thomas,https://www.sports-reference.com/cbb/players/lucy-thomas-1.html,monmouth,2021-22
13,82,14,2022-01-22,Monmouth,,Canisius,REG (Conf),W 60-48,,16,2,4,.500,0,1,.000,2,3,.667,.500,1,2,.500,1,2,3,0,2,1,2,2,5,3.8,Lucy Thomas,https://www.sports-reference.com/cbb/players/lucy-thomas-1.html,monmouth,2021-22
14,83,15,2022-01-24,Monmouth,,Fairfield,REG (Conf),L 54-61,,21,7,9,.778,0,2,.000,7,7,1.000,.778,0,0,,1,5,6,0,0,1,1,3,14,11.2,Lucy Thomas,https://www.sports-reference.com/cbb/players/lucy-thomas-1.html,monmouth,2021-22
15,84,16,2022-01-27,Monmouth,,Rider,REG (Conf),W 63-53,,22,1,6,.167,0,0,,1,6,.167,.167,0,0,,3,3,6,1,1,0,2,1,2,0.5,Lucy Thomas,https://www.sports-reference.com/cbb/players/lucy-thomas-1.html,monmouth,2021-22
