ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,12,1,2021-11-09,New Mexico State,,Western N.M.,REG (Non-Conf),W 94-40,,14,2,2,1.000,1,1,1.000,1,1,1.000,1.250,2,2,1.000,0,2,2,3,2,0,1,1,7,9.7,Taylor Donaldson,https://www.sports-reference.com/cbb/players/taylor-donaldson-1.html,new-mexico-state,2021-22
2,13,2,2021-11-13,New Mexico State,,Incarnate Word,REG (Non-Conf),W 57-48,,24,7,11,.636,0,1,.000,7,10,.700,.636,0,1,.000,6,2,8,3,0,0,0,3,14,14.4,Taylor Donaldson,https://www.sports-reference.com/cbb/players/taylor-donaldson-1.html,new-mexico-state,2021-22
3,14,3,2021-11-17,New Mexico State,@,UTEP,REG (Non-Conf),L 61-76,,23,5,6,.833,2,2,1.000,3,4,.750,1.000,1,2,.500,0,2,2,1,1,0,3,5,13,7.7,Taylor Donaldson,https://www.sports-reference.com/cbb/players/taylor-donaldson-1.html,new-mexico-state,2021-22
4,15,4,2021-11-26,New Mexico State,@,Louisiana State,REG (Non-Conf),L 52-72,,27,2,4,.500,1,3,.333,1,1,1.000,.625,1,2,.500,1,3,4,3,1,0,2,4,6,4.7,Taylor Donaldson,https://www.sports-reference.com/cbb/players/taylor-donaldson-1.html,new-mexico-state,2021-22
5,16,5,2021-11-27,New Mexico State,,Tennessee Tech,REG (Non-Conf),W 66-54,,15,3,7,.429,0,1,.000,3,6,.500,.429,0,0,,0,2,2,2,1,0,0,2,6,4.5,Taylor Donaldson,https://www.sports-reference.com/cbb/players/taylor-donaldson-1.html,new-mexico-state,2021-22
6,17,6,2021-12-03,New Mexico State,@,New Mexico,REG (Non-Conf),L 58-77,*,23,1,8,.125,0,1,.000,1,7,.143,.125,0,2,.000,1,3,4,1,3,1,4,3,2,-3.2,Taylor Donaldson,https://www.sports-reference.com/cbb/players/taylor-donaldson-1.html,new-mexico-state,2021-22
7,18,7,2021-12-05,New Mexico State,,New Mexico,REG (Non-Conf),L 66-73,,22,4,7,.571,2,4,.500,2,3,.667,.714,0,0,,1,1,2,1,0,0,2,3,10,5.2,Taylor Donaldson,https://www.sports-reference.com/cbb/players/taylor-donaldson-1.html,new-mexico-state,2021-22
8,19,8,2021-12-15,New Mexico State,,UTEP,REG (Non-Conf),L 78-82 (OT),,36,9,16,.563,1,4,.250,8,12,.667,.594,6,9,.667,1,1,2,1,2,2,2,3,25,18.1,Taylor Donaldson,https://www.sports-reference.com/cbb/players/taylor-donaldson-1.html,new-mexico-state,2021-22
9,20,9,2021-12-18,New Mexico State,@,Weber State,REG (Non-Conf),L 63-65,,25,5,12,.417,0,0,,5,12,.417,.417,6,6,1.000,2,1,3,1,1,0,1,4,16,10.4,Taylor Donaldson,https://www.sports-reference.com/cbb/players/taylor-donaldson-1.html,new-mexico-state,2021-22
10,21,11,2022-01-10,New Mexico State,,Lamar,REG (Conf),W 57-53,,15,1,5,.200,1,2,.500,0,3,.000,.300,1,2,.500,2,2,4,2,0,0,1,0,4,2.9,Taylor Donaldson,https://www.sports-reference.com/cbb/players/taylor-donaldson-1.html,new-mexico-state,2021-22
