ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,55,1,2021-11-09,Nicholls State,@,Louisiana State,REG (Non-Conf),L 40-82,,14,2,7,.286,0,0,,2,7,.286,.286,1,2,.500,2,1,3,1,1,1,3,3,5,0.4,Chelsea Cain,https://www.sports-reference.com/cbb/players/chelsea-cain-1.html,nicholls-state,2021-22
2,56,2,2021-11-11,Nicholls State,,Tougaloo,REG (Non-Conf),W 63-44,,22,3,8,.375,0,1,.000,3,7,.429,.375,5,6,.833,2,6,8,1,1,1,1,1,11,10.4,Chelsea Cain,https://www.sports-reference.com/cbb/players/chelsea-cain-1.html,nicholls-state,2021-22
3,57,3,2021-11-16,Nicholls State,@,Jackson State,REG (Non-Conf),L 59-75,,29,6,16,.375,0,3,.000,6,13,.462,.375,3,5,.600,1,5,6,2,1,0,5,4,15,3.4,Chelsea Cain,https://www.sports-reference.com/cbb/players/chelsea-cain-1.html,nicholls-state,2021-22
4,58,8,2021-12-04,Nicholls State,,Abilene Christian,REG (Non-Conf),L 71-97,,23,7,15,.467,0,1,.000,7,14,.500,.467,5,7,.714,1,3,4,0,0,0,5,5,19,5.1,Chelsea Cain,https://www.sports-reference.com/cbb/players/chelsea-cain-1.html,nicholls-state,2021-22
5,59,9,2021-12-11,Nicholls State,,South Alabama,REG (Non-Conf),L 63-73,,30,8,16,.500,1,3,.333,7,13,.538,.531,4,6,.667,2,8,10,1,1,3,7,5,21,10.8,Chelsea Cain,https://www.sports-reference.com/cbb/players/chelsea-cain-1.html,nicholls-state,2021-22
6,60,10,2021-12-14,Nicholls State,@,DePaul,REG (Non-Conf),L 72-100,,25,4,9,.444,0,0,,4,9,.444,.444,10,15,.667,1,5,6,2,1,0,5,4,18,9.3,Chelsea Cain,https://www.sports-reference.com/cbb/players/chelsea-cain-1.html,nicholls-state,2021-22
7,61,11,2021-12-20,Nicholls State,@,Memphis,REG (Non-Conf),L 54-71,,22,4,11,.364,0,1,.000,4,10,.400,.364,3,4,.750,1,6,7,2,0,0,5,3,11,2.2,Chelsea Cain,https://www.sports-reference.com/cbb/players/chelsea-cain-1.html,nicholls-state,2021-22
8,62,12,2022-01-15,Nicholls State,@,New Orleans,REG (Conf),W 69-68,*,34,11,21,.524,0,0,,11,21,.524,.524,7,7,1.000,0,8,8,2,3,0,4,4,29,19.9,Chelsea Cain,https://www.sports-reference.com/cbb/players/chelsea-cain-1.html,nicholls-state,2021-22
9,63,13,2022-01-20,Nicholls State,,Northwestern State,REG (Conf),L 64-68,*,34,10,21,.476,3,5,.600,7,16,.438,.548,5,6,.833,4,9,13,3,2,0,4,4,28,20.9,Chelsea Cain,https://www.sports-reference.com/cbb/players/chelsea-cain-1.html,nicholls-state,2021-22
10,64,14,2022-01-22,Nicholls State,,Southeastern Louisiana,REG (Conf),L 58-76,*,37,3,10,.300,0,3,.000,3,7,.429,.300,6,6,1.000,0,9,9,0,1,0,4,3,12,4.7,Chelsea Cain,https://www.sports-reference.com/cbb/players/chelsea-cain-1.html,nicholls-state,2021-22
11,65,15,2022-01-27,Nicholls State,@,McNeese State,REG (Conf),L 65-73,*,22,1,8,.125,0,0,,1,8,.125,.125,6,8,.750,0,2,2,1,2,0,3,4,8,0.7,Chelsea Cain,https://www.sports-reference.com/cbb/players/chelsea-cain-1.html,nicholls-state,2021-22
12,66,16,2022-01-29,Nicholls State,@,Houston Baptist,REG (Conf),L 58-67,,5,1,4,.250,0,2,.000,1,2,.500,.250,4,4,1.000,1,2,3,1,1,0,0,0,6,6.6,Chelsea Cain,https://www.sports-reference.com/cbb/players/chelsea-cain-1.html,nicholls-state,2021-22
