ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,117,1,2021-11-09,NC State,,South Carolina,REG (Non-Conf),L 57-66,*,31,1,5,.200,0,3,.000,1,2,.500,.200,0,0,,1,2,3,1,1,0,0,3,2,0.7,Kai Crutchfield,https://www.sports-reference.com/cbb/players/kai-crutchfield-1.html,north-carolina-state,2021-22
2,118,2,2021-11-12,NC State,,Wofford,REG (Non-Conf),W 90-57,*,23,3,3,1.000,2,2,1.000,1,1,1.000,1.333,0,0,,0,1,1,2,0,0,2,0,8,6.8,Kai Crutchfield,https://www.sports-reference.com/cbb/players/kai-crutchfield-1.html,north-carolina-state,2021-22
3,119,3,2021-11-14,NC State,,Florida,REG (Non-Conf),W 85-52,*,26,5,7,.714,4,4,1.000,1,3,.333,1.000,3,5,.600,1,4,5,1,4,1,1,2,17,18.8,Kai Crutchfield,https://www.sports-reference.com/cbb/players/kai-crutchfield-1.html,north-carolina-state,2021-22
4,120,4,2021-11-15,NC State,,Towson,REG (Non-Conf),W 100-52,*,18,2,4,.500,1,2,.500,1,2,.500,.625,1,1,1.000,0,3,3,2,0,0,0,2,6,5.5,Kai Crutchfield,https://www.sports-reference.com/cbb/players/kai-crutchfield-1.html,north-carolina-state,2021-22
5,121,5,2021-11-19,NC State,,Kansas State,REG (Non-Conf),W 90-69,*,28,3,4,.750,2,2,1.000,1,2,.500,1.000,1,2,.500,0,2,2,2,0,0,0,0,9,9.0,Kai Crutchfield,https://www.sports-reference.com/cbb/players/kai-crutchfield-1.html,north-carolina-state,2021-22
6,122,6,2021-11-25,NC State,,Maryland,REG (Non-Conf),W 78-60,*,16,1,4,.250,1,3,.333,0,1,.000,.375,0,0,,0,2,2,0,0,1,1,3,3,-0.3,Kai Crutchfield,https://www.sports-reference.com/cbb/players/kai-crutchfield-1.html,north-carolina-state,2021-22
7,123,7,2021-11-27,NC State,,Washington State,REG (Non-Conf),W 62-34,*,30,2,7,.286,1,2,.500,1,5,.200,.357,2,2,1.000,1,4,5,3,3,0,0,1,7,9.5,Kai Crutchfield,https://www.sports-reference.com/cbb/players/kai-crutchfield-1.html,north-carolina-state,2021-22
8,124,8,2021-12-02,NC State,@,Indiana,REG (Non-Conf),W 66-58,*,35,1,3,.333,1,1,1.000,0,2,.000,.500,0,0,,1,3,4,1,0,0,3,2,3,-0.2,Kai Crutchfield,https://www.sports-reference.com/cbb/players/kai-crutchfield-1.html,north-carolina-state,2021-22
9,125,9,2021-12-05,NC State,,Elon,REG (Non-Conf),W 78-46,*,18,2,3,.667,0,1,.000,2,2,1.000,.667,0,0,,0,1,1,1,0,0,3,2,4,-0.1,Kai Crutchfield,https://www.sports-reference.com/cbb/players/kai-crutchfield-1.html,north-carolina-state,2021-22
10,126,10,2021-12-10,NC State,@,Pittsburgh,REG (Conf),W 89-54,*,17,1,3,.333,1,2,.500,0,1,.000,.500,0,0,,0,2,2,0,0,0,0,3,3,0.7,Kai Crutchfield,https://www.sports-reference.com/cbb/players/kai-crutchfield-1.html,north-carolina-state,2021-22
11,127,11,2021-12-12,NC State,,St. Mary's (CA),REG (Non-Conf),W 101-73,*,18,1,5,.200,0,1,.000,1,4,.250,.200,0,0,,1,1,2,1,2,0,2,0,2,0.6,Kai Crutchfield,https://www.sports-reference.com/cbb/players/kai-crutchfield-1.html,north-carolina-state,2021-22
12,128,12,2021-12-16,NC State,,Georgia,REG (Non-Conf),L 80-82 (OT),*,42,4,5,.800,0,1,.000,4,4,1.000,.800,2,2,1.000,1,4,5,3,0,0,0,3,10,10.9,Kai Crutchfield,https://www.sports-reference.com/cbb/players/kai-crutchfield-1.html,north-carolina-state,2021-22
