ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,1,1,2021-11-11,North Dakota State,@,Milwaukee,REG (Non-Conf),W 69-58,,5,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,0,0,1,0,0,0,1,0,-0.4,Katie Hildebrandt,https://www.sports-reference.com/cbb/players/katie-hildebrandt-1.html,north-dakota-state,2021-22
2,2,2,2021-11-13,North Dakota State,@,Green Bay,REG (Non-Conf),L 54-71,,11,0,2,.000,0,1,.000,0,1,.000,.000,0,0,,0,2,2,0,0,2,2,3,0,-2.6,Katie Hildebrandt,https://www.sports-reference.com/cbb/players/katie-hildebrandt-1.html,north-dakota-state,2021-22
3,3,3,2021-11-17,North Dakota State,,Northern Iowa,REG (Non-Conf),L 63-76,,11,1,3,.333,1,3,.333,0,0,,.500,0,0,,1,1,2,0,0,0,1,2,3,0.5,Katie Hildebrandt,https://www.sports-reference.com/cbb/players/katie-hildebrandt-1.html,north-dakota-state,2021-22
4,4,5,2021-11-23,North Dakota State,,Dickinson St,REG (Non-Conf),W 95-42,,18,4,8,.500,1,4,.250,3,4,.750,.563,1,2,.500,2,0,2,1,2,0,1,2,10,7.9,Katie Hildebrandt,https://www.sports-reference.com/cbb/players/katie-hildebrandt-1.html,north-dakota-state,2021-22
5,5,6,2021-11-29,North Dakota State,@,Kansas State,REG (Non-Conf),L 57-78,,22,3,7,.429,0,3,.000,3,4,.750,.429,0,0,,2,0,2,0,0,0,1,3,6,1.5,Katie Hildebrandt,https://www.sports-reference.com/cbb/players/katie-hildebrandt-1.html,north-dakota-state,2021-22
6,6,7,2021-12-04,North Dakota State,,Bradley,REG (Non-Conf),W 83-72,,17,3,4,.750,2,3,.667,1,1,1.000,1.000,0,0,,0,0,0,1,0,0,1,3,8,4.9,Katie Hildebrandt,https://www.sports-reference.com/cbb/players/katie-hildebrandt-1.html,north-dakota-state,2021-22
7,7,8,2021-12-09,North Dakota State,@,Arizona,REG (Non-Conf),L 47-59,,11,1,2,.500,1,2,.500,0,0,,.750,0,0,,0,3,3,0,0,0,1,2,3,1.1,Katie Hildebrandt,https://www.sports-reference.com/cbb/players/katie-hildebrandt-1.html,north-dakota-state,2021-22
8,8,9,2021-12-12,North Dakota State,@,Wyoming,REG (Non-Conf),L 45-71,*,13,0,4,.000,0,1,.000,0,3,.000,.000,0,0,,0,3,3,1,0,0,4,2,0,-6.0,Katie Hildebrandt,https://www.sports-reference.com/cbb/players/katie-hildebrandt-1.html,north-dakota-state,2021-22
9,9,16,2022-01-13,North Dakota State,@,St. Thomas,REG (Conf),L 62-73,,8,0,1,.000,0,1,.000,0,0,,.000,1,2,.500,0,1,1,0,0,0,1,1,1,-1.2,Katie Hildebrandt,https://www.sports-reference.com/cbb/players/katie-hildebrandt-1.html,north-dakota-state,2021-22
10,10,17,2022-01-15,North Dakota State,@,Western Illinois,REG (Conf),W 63-55,,9,0,1,.000,0,1,.000,0,0,,.000,0,0,,1,1,2,2,1,0,2,2,0,-0.1,Katie Hildebrandt,https://www.sports-reference.com/cbb/players/katie-hildebrandt-1.html,north-dakota-state,2021-22
11,11,18,2022-01-20,North Dakota State,,Kansas City,REG (Conf),L 62-67,,11,3,5,.600,3,4,.750,0,1,.000,.900,0,0,,0,0,0,1,0,0,1,4,9,4.8,Katie Hildebrandt,https://www.sports-reference.com/cbb/players/katie-hildebrandt-1.html,north-dakota-state,2021-22
12,12,19,2022-01-22,North Dakota State,,Oral Roberts,REG (Conf),W 74-70,,13,2,6,.333,1,5,.200,1,1,1.000,.417,0,0,,0,1,1,0,1,0,1,4,5,0.3,Katie Hildebrandt,https://www.sports-reference.com/cbb/players/katie-hildebrandt-1.html,north-dakota-state,2021-22
13,13,20,2022-01-27,North Dakota State,,South Dakota,REG (Conf),L 59-78,,17,0,0,,0,0,,0,0,,,0,2,.000,4,0,4,0,0,0,0,3,0,0.8,Katie Hildebrandt,https://www.sports-reference.com/cbb/players/katie-hildebrandt-1.html,north-dakota-state,2021-22
14,14,21,2022-01-29,North Dakota State,,South Dakota State,REG (Conf),L 60-76,,20,2,2,1.000,2,2,1.000,0,0,,1.500,0,0,,0,1,1,2,0,0,3,1,6,3.7,Katie Hildebrandt,https://www.sports-reference.com/cbb/players/katie-hildebrandt-1.html,north-dakota-state,2021-22
15,15,22,2022-02-03,North Dakota State,@,Omaha,REG (Conf),W 69-53,,18,3,6,.500,3,6,.500,0,0,,.750,0,0,,0,3,3,1,0,3,1,3,9,7.5,Katie Hildebrandt,https://www.sports-reference.com/cbb/players/katie-hildebrandt-1.html,north-dakota-state,2021-22
16,16,23,2022-02-05,North Dakota State,@,Denver,REG (Conf),L 48-62,,11,0,3,.000,0,1,.000,0,2,.000,.000,0,0,,0,0,0,0,0,0,0,3,0,-3.3,Katie Hildebrandt,https://www.sports-reference.com/cbb/players/katie-hildebrandt-1.html,north-dakota-state,2021-22
17,17,24,2022-02-10,North Dakota State,,Western Illinois,REG (Conf),L 59-61,,16,1,5,.200,0,3,.000,1,2,.500,.200,2,3,.667,1,3,4,1,0,1,2,1,4,1.1,Katie Hildebrandt,https://www.sports-reference.com/cbb/players/katie-hildebrandt-1.html,north-dakota-state,2021-22
18,18,25,2022-02-12,North Dakota State,,St. Thomas,REG (Conf),W 69-60,,19,1,5,.200,0,3,.000,1,2,.500,.200,0,0,,1,1,2,1,0,0,0,1,2,0.2,Katie Hildebrandt,https://www.sports-reference.com/cbb/players/katie-hildebrandt-1.html,north-dakota-state,2021-22
19,19,26,2022-02-17,North Dakota State,@,Oral Roberts,REG (Conf),L 64-68,,6,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,2,3,0,-3.2,Katie Hildebrandt,https://www.sports-reference.com/cbb/players/katie-hildebrandt-1.html,north-dakota-state,2021-22
20,20,27,2022-02-19,North Dakota State,@,Kansas City,REG (Conf),L 67-76,,22,2,3,.667,1,2,.500,1,1,1.000,.833,0,0,,1,3,4,1,0,0,1,2,5,4.2,Katie Hildebrandt,https://www.sports-reference.com/cbb/players/katie-hildebrandt-1.html,north-dakota-state,2021-22
21,21,28,2022-02-26,North Dakota State,,North Dakota,REG (Conf),W 81-64,,13,0,2,.000,0,1,.000,0,1,.000,.000,0,0,,0,1,1,0,2,0,1,1,0,-0.5,Katie Hildebrandt,https://www.sports-reference.com/cbb/players/katie-hildebrandt-1.html,north-dakota-state,2021-22
22,22,29,2022-03-06,North Dakota State,@,Kansas City,CTOURN,L 74-81,,23,3,7,.429,1,5,.200,2,2,1.000,.500,0,0,,1,3,4,1,1,0,1,2,7,4.8,Katie Hildebrandt,https://www.sports-reference.com/cbb/players/katie-hildebrandt-1.html,north-dakota-state,2021-22
