ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,11,1,2021-11-09,North Texas,,USAO,REG (Non-Conf),W 93-58,,12,1,6,.167,1,6,.167,0,0,,.250,1,2,.500,1,1,2,0,0,1,1,2,4,-0.3,Maddie Cleary,https://www.sports-reference.com/cbb/players/maddie-cleary-1.html,north-texas,2021-22
2,12,2,2021-11-11,North Texas,,Howard,REG (Non-Conf),W 94-56,,4,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,1,1,0,0,0,0,0,0,-0.4,Maddie Cleary,https://www.sports-reference.com/cbb/players/maddie-cleary-1.html,north-texas,2021-22
3,13,6,2021-11-27,North Texas,,St. Thomas,REG (Non-Conf),W 81-54,,10,1,3,.333,1,2,.500,0,1,.000,.500,0,0,,1,2,3,0,0,1,1,0,3,2.3,Maddie Cleary,https://www.sports-reference.com/cbb/players/maddie-cleary-1.html,north-texas,2021-22
4,14,7,2021-12-03,North Texas,,SMU,REG (Non-Conf),W 84-58,,4,0,1,.000,0,1,.000,0,0,,.000,1,2,.500,0,1,1,0,0,0,0,0,1,0.2,Maddie Cleary,https://www.sports-reference.com/cbb/players/maddie-cleary-1.html,north-texas,2021-22
5,15,8,2021-12-13,North Texas,,Southern,REG (Non-Conf),W 65-49,,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Maddie Cleary,https://www.sports-reference.com/cbb/players/maddie-cleary-1.html,north-texas,2021-22
6,16,9,2021-12-17,North Texas,,Wichita State,REG (Non-Conf),L 64-67,,5,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Maddie Cleary,https://www.sports-reference.com/cbb/players/maddie-cleary-1.html,north-texas,2021-22
7,17,13,2022-01-15,North Texas,,Western Kentucky,REG (Conf),L 54-61,,0,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,Maddie Cleary,https://www.sports-reference.com/cbb/players/maddie-cleary-1.html,north-texas,2021-22
8,18,18,2022-02-03,North Texas,@,UTEP,REG (Conf),L 62-75,,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,2,0,-0.8,Maddie Cleary,https://www.sports-reference.com/cbb/players/maddie-cleary-1.html,north-texas,2021-22
9,19,22,2022-02-13,North Texas,@,Rice,REG (Conf),W 55-42,,3,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,Maddie Cleary,https://www.sports-reference.com/cbb/players/maddie-cleary-1.html,north-texas,2021-22
10,20,23,2022-02-17,North Texas,,Florida Atlantic,REG (Conf),W 76-45,,10,2,5,.400,1,4,.250,1,1,1.000,.500,0,0,,0,0,0,0,0,0,0,0,5,2.3,Maddie Cleary,https://www.sports-reference.com/cbb/players/maddie-cleary-1.html,north-texas,2021-22
11,21,24,2022-02-19,North Texas,,UAB,REG (Conf),W 67-60,,2,0,2,.000,0,2,.000,0,0,,.000,0,0,,0,0,0,0,0,0,1,0,0,-2.4,Maddie Cleary,https://www.sports-reference.com/cbb/players/maddie-cleary-1.html,north-texas,2021-22
