ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,22,10,2021-12-19,Northeastern,,Harvard,REG (Non-Conf),L 43-75,,18,0,3,.000,0,0,,0,3,.000,.000,0,0,,0,1,1,0,0,0,3,1,0,-5.2,Century McCartney,https://www.sports-reference.com/cbb/players/century-mccartney-1.html,northeastern,2021-22
2,23,11,2022-01-05,Northeastern,,UNC Wilmington,REG (Conf),W 77-67,,12,1,2,.500,0,0,,1,2,.500,.500,2,2,1.000,1,3,4,2,0,0,2,1,4,3.6,Century McCartney,https://www.sports-reference.com/cbb/players/century-mccartney-1.html,northeastern,2021-22
3,24,12,2022-01-09,Northeastern,,Hofstra,REG (Conf),W 64-51,,17,0,1,.000,0,0,,0,1,.000,.000,2,2,1.000,0,3,3,1,1,0,3,1,2,0.5,Century McCartney,https://www.sports-reference.com/cbb/players/century-mccartney-1.html,northeastern,2021-22
4,25,13,2022-01-14,Northeastern,@,Drexel,REG (Conf),L 50-63,,10,1,2,.500,0,1,.000,1,1,1.000,.500,0,0,,2,5,7,0,0,0,0,1,2,3.5,Century McCartney,https://www.sports-reference.com/cbb/players/century-mccartney-1.html,northeastern,2021-22
5,26,14,2022-01-16,Northeastern,@,Delaware,REG (Conf),L 60-79,,11,0,1,.000,0,0,,0,1,.000,.000,0,0,,1,2,3,1,1,1,2,0,0,1.0,Century McCartney,https://www.sports-reference.com/cbb/players/century-mccartney-1.html,northeastern,2021-22
6,27,15,2022-01-21,Northeastern,,Elon,REG (Conf),W 68-52,,21,1,6,.167,0,1,.000,1,5,.200,.167,1,2,.500,2,5,7,2,0,0,4,4,3,-2.5,Century McCartney,https://www.sports-reference.com/cbb/players/century-mccartney-1.html,northeastern,2021-22
7,28,16,2022-01-23,Northeastern,,William & Mary,REG (Conf),W 67-57,,12,0,1,.000,0,0,,0,1,.000,.000,1,2,.500,0,2,2,0,0,0,0,3,1,-0.7,Century McCartney,https://www.sports-reference.com/cbb/players/century-mccartney-1.html,northeastern,2021-22
8,29,17,2022-01-26,Northeastern,,College of Charleston,REG (Conf),W 81-70,,17,3,8,.375,0,1,.000,3,7,.429,.375,2,4,.500,4,3,7,1,2,0,2,0,8,7.2,Century McCartney,https://www.sports-reference.com/cbb/players/century-mccartney-1.html,northeastern,2021-22
9,30,18,2022-01-28,Northeastern,@,Towson,REG (Conf),L 81-86,,14,2,5,.400,0,2,.000,2,3,.667,.400,0,0,,1,3,4,1,1,0,0,0,4,4.6,Century McCartney,https://www.sports-reference.com/cbb/players/century-mccartney-1.html,northeastern,2021-22
10,31,19,2022-01-30,Northeastern,@,James Madison,REG (Conf),W 62-50,,23,2,4,.500,0,0,,2,4,.500,.500,1,2,.500,1,7,8,1,2,0,1,2,5,6.3,Century McCartney,https://www.sports-reference.com/cbb/players/century-mccartney-1.html,northeastern,2021-22
11,32,20,2022-02-06,Northeastern,@,Hofstra,REG (Conf),L 43-56,,6,0,1,.000,0,0,,0,1,.000,.000,0,0,,1,0,1,1,0,1,1,0,0,0.4,Century McCartney,https://www.sports-reference.com/cbb/players/century-mccartney-1.html,northeastern,2021-22
12,33,21,2022-02-11,Northeastern,,Delaware,REG (Conf),L 63-66,,7,0,4,.000,0,0,,0,4,.000,.000,0,0,,2,0,2,0,0,0,0,0,0,-1.4,Century McCartney,https://www.sports-reference.com/cbb/players/century-mccartney-1.html,northeastern,2021-22
13,34,22,2022-02-13,Northeastern,,Drexel,REG (Conf),L 46-61,,6,0,0,,0,0,,0,0,,,0,0,,0,2,2,0,0,0,1,0,0,-0.4,Century McCartney,https://www.sports-reference.com/cbb/players/century-mccartney-1.html,northeastern,2021-22
14,35,23,2022-02-18,Northeastern,@,William & Mary,REG (Conf),L 65-83,,3,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,0,0,0,0,0,0,0,0,2,1.7,Century McCartney,https://www.sports-reference.com/cbb/players/century-mccartney-1.html,northeastern,2021-22
15,36,24,2022-02-20,Northeastern,@,Elon,REG (Conf),L 65-78,,9,0,1,.000,0,0,,0,1,.000,.000,0,0,,1,0,1,1,0,0,0,0,0,0.7,Century McCartney,https://www.sports-reference.com/cbb/players/century-mccartney-1.html,northeastern,2021-22
16,37,25,2022-02-25,Northeastern,,James Madison,REG (Conf),W 65-52,,8,0,0,,0,0,,0,0,,,1,2,.500,0,0,0,0,0,0,1,1,1,-0.8,Century McCartney,https://www.sports-reference.com/cbb/players/century-mccartney-1.html,northeastern,2021-22
17,38,26,2022-02-27,Northeastern,,Towson,REG (Conf),L 56-57,,14,1,3,.333,0,0,,1,3,.333,.333,3,4,.750,0,4,4,0,0,0,1,0,5,3.1,Century McCartney,https://www.sports-reference.com/cbb/players/century-mccartney-1.html,northeastern,2021-22
18,39,27,2022-03-03,Northeastern,@,UNC Wilmington,REG (Conf),W 63-48,,19,2,4,.500,0,0,,2,4,.500,.500,2,4,.500,1,4,5,0,0,1,2,1,6,3.4,Century McCartney,https://www.sports-reference.com/cbb/players/century-mccartney-1.html,northeastern,2021-22
19,40,28,2022-03-05,Northeastern,@,College of Charleston,REG (Conf),L 64-73,,15,0,1,.000,0,0,,0,1,.000,.000,2,2,1.000,2,5,7,0,0,0,1,3,2,2.0,Century McCartney,https://www.sports-reference.com/cbb/players/century-mccartney-1.html,northeastern,2021-22
20,41,29,2022-03-11,Northeastern,@,Towson,CTOURN,L 49-58,,18,0,1,.000,0,0,,0,1,.000,.000,2,4,.500,3,4,7,0,0,0,2,1,2,1.4,Century McCartney,https://www.sports-reference.com/cbb/players/century-mccartney-1.html,northeastern,2021-22
21,42,30,2022-03-18,Northeastern,@,Cleveland State,WBI,L 60-73,*,23,3,6,.500,0,0,,3,6,.500,.500,0,0,,2,3,5,2,2,1,2,2,6,6.6,Century McCartney,https://www.sports-reference.com/cbb/players/century-mccartney-1.html,northeastern,2021-22
22,43,31,2022-03-19,Northeastern,@,Davidson,WBI,L 65-90,*,29,0,4,.000,0,2,.000,0,2,.000,.000,4,4,1.000,4,7,11,1,0,0,3,4,4,2.2,Century McCartney,https://www.sports-reference.com/cbb/players/century-mccartney-1.html,northeastern,2021-22
23,44,32,2022-03-20,Northeastern,@,Furman,WBI,L 61-69,*,27,2,7,.286,0,2,.000,2,5,.400,.286,0,0,,0,4,4,2,1,0,0,1,4,3.1,Century McCartney,https://www.sports-reference.com/cbb/players/century-mccartney-1.html,northeastern,2021-22
