ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,30,1,2021-11-12,Northern Arizona,@,Washington State,REG (Non-Conf),L 54-62,,25,5,10,.500,0,1,.000,5,9,.556,.500,0,1,.000,0,5,5,0,1,0,1,2,10,5.3,Nyah Moran,https://www.sports-reference.com/cbb/players/nyah-moran-1.html,northern-arizona,2021-22
2,31,2,2021-11-14,Northern Arizona,@,Washington,REG (Non-Conf),L 65-72,,20,4,7,.571,1,1,1.000,3,6,.500,.643,0,1,.000,1,2,3,1,1,0,1,5,9,5.3,Nyah Moran,https://www.sports-reference.com/cbb/players/nyah-moran-1.html,northern-arizona,2021-22
3,32,3,2021-11-17,Northern Arizona,,UNLV,REG (Non-Conf),W 84-62,,14,3,6,.500,0,0,,3,6,.500,.500,0,0,,0,2,2,0,0,0,2,1,6,1.2,Nyah Moran,https://www.sports-reference.com/cbb/players/nyah-moran-1.html,northern-arizona,2021-22
4,33,4,2021-11-20,Northern Arizona,@,UTEP,REG (Non-Conf),L 62-72,,20,2,7,.286,0,1,.000,2,6,.333,.286,0,2,.000,0,0,0,1,2,0,2,1,4,-0.6,Nyah Moran,https://www.sports-reference.com/cbb/players/nyah-moran-1.html,northern-arizona,2021-22
5,34,5,2021-12-02,Northern Arizona,,Weber State,REG (Conf),W 83-79,,18,2,6,.333,1,2,.500,1,4,.250,.417,0,0,,0,1,1,0,0,0,1,3,5,-0.3,Nyah Moran,https://www.sports-reference.com/cbb/players/nyah-moran-1.html,northern-arizona,2021-22
6,35,6,2021-12-04,Northern Arizona,,Idaho State,REG (Conf),W 81-74 (OT),,16,2,3,.667,1,2,.500,1,1,1.000,.833,2,3,.667,0,0,0,1,1,0,1,3,7,4.8,Nyah Moran,https://www.sports-reference.com/cbb/players/nyah-moran-1.html,northern-arizona,2021-22
7,36,7,2021-12-09,Northern Arizona,,Grand Canyon,REG (Non-Conf),W 108-77,,17,0,2,.000,0,2,.000,0,0,,.000,2,2,1.000,1,0,1,1,0,0,0,3,2,0.8,Nyah Moran,https://www.sports-reference.com/cbb/players/nyah-moran-1.html,northern-arizona,2021-22
8,37,8,2021-12-11,Northern Arizona,,California Baptist,REG (Non-Conf),L 73-89,,14,1,4,.250,0,1,.000,1,3,.333,.250,0,0,,0,0,0,1,0,0,1,1,2,-1.1,Nyah Moran,https://www.sports-reference.com/cbb/players/nyah-moran-1.html,northern-arizona,2021-22
9,38,9,2021-12-13,Northern Arizona,,Cal Poly,REG (Non-Conf),W 88-73,,14,3,6,.500,0,1,.000,3,5,.600,.500,4,4,1.000,0,0,0,0,1,0,0,3,10,6.8,Nyah Moran,https://www.sports-reference.com/cbb/players/nyah-moran-1.html,northern-arizona,2021-22
10,39,10,2021-12-17,Northern Arizona,,Arizona,REG (Non-Conf),L 55-82,,16,1,6,.167,1,1,1.000,0,5,.000,.250,0,0,,1,1,2,0,1,0,3,1,3,-2.2,Nyah Moran,https://www.sports-reference.com/cbb/players/nyah-moran-1.html,northern-arizona,2021-22
11,40,11,2021-12-30,Northern Arizona,@,Idaho,REG (Conf),W 76-63,*,36,1,13,.077,1,4,.250,0,9,.000,.115,1,2,.500,1,1,2,1,1,0,1,4,4,-5.0,Nyah Moran,https://www.sports-reference.com/cbb/players/nyah-moran-1.html,northern-arizona,2021-22
12,41,12,2022-01-08,Northern Arizona,,Southern Utah,REG (Conf),L 61-70,*,27,4,8,.500,1,3,.333,3,5,.600,.563,0,0,,1,4,5,2,1,2,1,5,9,7.7,Nyah Moran,https://www.sports-reference.com/cbb/players/nyah-moran-1.html,northern-arizona,2021-22
13,42,13,2022-01-10,Northern Arizona,@,Sacramento State,REG (Conf),W 68-57,*,23,5,7,.714,1,1,1.000,4,6,.667,.786,2,2,1.000,0,1,1,2,2,0,2,0,13,11.8,Nyah Moran,https://www.sports-reference.com/cbb/players/nyah-moran-1.html,northern-arizona,2021-22
