ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,83,12,2022-01-15,Northern Illinois,,Toledo,REG (Conf),L 52-73,,10,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,0,0,0,0,0,0.7,Paulina Castro,https://www.sports-reference.com/cbb/players/paulina-castro-1.html,northern-illinois,2021-22
2,84,13,2022-01-19,Northern Illinois,@,Miami (OH),REG (Conf),L 56-61,,8,0,0,,0,0,,0,0,,,2,2,1.000,0,0,0,0,0,0,1,0,2,1.0,Paulina Castro,https://www.sports-reference.com/cbb/players/paulina-castro-1.html,northern-illinois,2021-22
3,85,17,2022-01-29,Northern Illinois,@,Buffalo,REG (Conf),L 61-68,,24,1,6,.167,1,5,.200,0,1,.000,.250,0,0,,0,1,1,1,0,0,2,1,3,-2.2,Paulina Castro,https://www.sports-reference.com/cbb/players/paulina-castro-1.html,northern-illinois,2021-22
4,86,18,2022-01-31,Northern Illinois,@,Western Michigan,REG (Conf),W 61-47,,18,5,6,.833,5,5,1.000,0,1,.000,1.250,0,0,,0,2,2,1,0,0,0,0,15,14.1,Paulina Castro,https://www.sports-reference.com/cbb/players/paulina-castro-1.html,northern-illinois,2021-22
5,87,19,2022-02-02,Northern Illinois,,Bowling Green,REG (Conf),L 54-64,,22,3,8,.375,1,5,.200,2,3,.667,.438,0,0,,0,0,0,1,0,0,2,1,7,0.9,Paulina Castro,https://www.sports-reference.com/cbb/players/paulina-castro-1.html,northern-illinois,2021-22
6,88,20,2022-02-06,Northern Illinois,,Ohio,REG (Conf),W 80-70,,6,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,2,2,0,0,0,2,1,0,-2.5,Paulina Castro,https://www.sports-reference.com/cbb/players/paulina-castro-1.html,northern-illinois,2021-22
7,89,21,2022-02-09,Northern Illinois,@,Bowling Green,REG (Conf),L 52-81,,10,1,2,.500,1,2,.500,0,0,,.750,0,0,,0,1,1,1,0,0,0,1,3,2.6,Paulina Castro,https://www.sports-reference.com/cbb/players/paulina-castro-1.html,northern-illinois,2021-22
8,90,22,2022-02-12,Northern Illinois,,Buffalo,REG (Conf),W 69-64 (OT),,7,0,3,.000,0,3,.000,0,0,,.000,0,0,,0,0,0,0,0,0,0,1,0,-2.5,Paulina Castro,https://www.sports-reference.com/cbb/players/paulina-castro-1.html,northern-illinois,2021-22
9,91,23,2022-02-16,Northern Illinois,@,Kent State,REG (Conf),L 43-67,,8,0,2,.000,0,1,.000,0,1,.000,.000,0,0,,0,0,0,1,0,0,1,2,0,-2.5,Paulina Castro,https://www.sports-reference.com/cbb/players/paulina-castro-1.html,northern-illinois,2021-22
10,92,24,2022-02-19,Northern Illinois,,Western Michigan,REG (Conf),W 73-55,,10,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,0,0,1,0,0,2,0,0,-2.0,Paulina Castro,https://www.sports-reference.com/cbb/players/paulina-castro-1.html,northern-illinois,2021-22
11,93,26,2022-02-26,Northern Illinois,@,Ball State,REG (Conf),W 77-72,,2,1,1,1.000,1,1,1.000,0,0,,1.500,0,0,,0,1,1,0,0,0,0,0,3,3.0,Paulina Castro,https://www.sports-reference.com/cbb/players/paulina-castro-1.html,northern-illinois,2021-22
12,94,27,2022-03-02,Northern Illinois,@,Toledo,REG (Conf),L 56-74,,13,0,3,.000,0,2,.000,0,1,.000,.000,0,0,,0,1,1,0,0,0,1,0,0,-2.8,Paulina Castro,https://www.sports-reference.com/cbb/players/paulina-castro-1.html,northern-illinois,2021-22
13,95,28,2022-03-05,Northern Illinois,,Central Michigan,REG (Conf),W 69-49,*,21,2,2,1.000,2,2,1.000,0,0,,1.500,0,0,,0,0,0,0,1,0,1,2,6,4.6,Paulina Castro,https://www.sports-reference.com/cbb/players/paulina-castro-1.html,northern-illinois,2021-22
14,96,29,2022-03-09,Northern Illinois,,Ball State,CTOURN,L 54-60,,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Paulina Castro,https://www.sports-reference.com/cbb/players/paulina-castro-1.html,northern-illinois,2021-22
