ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,55,1,2021-11-09,Penn State,,LIU,REG (Non-Conf),W 85-66,*,32,7,16,.438,3,8,.375,4,8,.500,.531,2,2,1.000,0,6,6,6,0,0,3,1,19,13.2,Makenna Marisa,https://www.sports-reference.com/cbb/players/makenna-marisa-1.html,penn-state,2021-22
2,56,2,2021-11-11,Penn State,,Rider,REG (Non-Conf),W 83-69,*,32,8,15,.533,4,8,.500,4,7,.571,.667,0,0,,0,2,2,2,1,0,4,0,20,11.7,Makenna Marisa,https://www.sports-reference.com/cbb/players/makenna-marisa-1.html,penn-state,2021-22
3,57,3,2021-11-16,Penn State,,Delaware State,REG (Non-Conf),W 120-51,*,27,12,16,.750,5,8,.625,7,8,.875,.906,1,1,1.000,0,5,5,11,10,0,1,2,30,41.0,Makenna Marisa,https://www.sports-reference.com/cbb/players/makenna-marisa-1.html,penn-state,2021-22
4,58,4,2021-11-21,Penn State,@,Clemson,REG (Non-Conf),L 64-67,*,39,10,23,.435,3,6,.500,7,17,.412,.500,6,7,.857,2,3,5,8,1,0,5,1,29,20.0,Makenna Marisa,https://www.sports-reference.com/cbb/players/makenna-marisa-1.html,penn-state,2021-22
5,59,5,2021-11-26,Penn State,,St. John's (NY),REG (Non-Conf),W 80-75,*,38,10,23,.435,2,6,.333,8,17,.471,.478,3,4,.750,0,6,6,4,0,0,2,1,25,14.7,Makenna Marisa,https://www.sports-reference.com/cbb/players/makenna-marisa-1.html,penn-state,2021-22
6,60,6,2021-11-27,Penn State,@,Iowa State,REG (Non-Conf),L 59-93,*,34,3,10,.300,0,5,.000,3,5,.600,.300,5,7,.714,0,5,5,2,1,0,0,2,11,7.5,Makenna Marisa,https://www.sports-reference.com/cbb/players/makenna-marisa-1.html,penn-state,2021-22
7,61,7,2021-11-28,Penn State,@,Kent State,REG (Non-Conf),L 74-81,*,31,8,21,.381,2,7,.286,6,14,.429,.429,5,6,.833,1,2,3,5,0,0,2,4,23,12.3,Makenna Marisa,https://www.sports-reference.com/cbb/players/makenna-marisa-1.html,penn-state,2021-22
8,62,8,2021-12-02,Penn State,@,Boston College,REG (Non-Conf),L 69-86,*,33,6,15,.400,0,2,.000,6,13,.462,.400,2,2,1.000,0,4,4,6,3,0,3,2,14,10.5,Makenna Marisa,https://www.sports-reference.com/cbb/players/makenna-marisa-1.html,penn-state,2021-22
9,63,9,2021-12-06,Penn State,@,Indiana,REG (Conf),L 40-70,*,37,10,22,.455,1,7,.143,9,15,.600,.477,0,0,,2,3,5,3,0,1,3,1,21,11.3,Makenna Marisa,https://www.sports-reference.com/cbb/players/makenna-marisa-1.html,penn-state,2021-22
10,64,10,2021-12-09,Penn State,,Rutgers,REG (Conf),W 52-48,*,37,6,17,.353,2,7,.286,4,10,.400,.412,2,4,.500,2,1,3,3,2,0,5,1,16,6.1,Makenna Marisa,https://www.sports-reference.com/cbb/players/makenna-marisa-1.html,penn-state,2021-22
11,65,11,2021-12-12,Penn State,,Youngstown State,REG (Non-Conf),W 78-58,*,31,5,10,.500,1,2,.500,4,8,.500,.550,1,2,.500,0,4,4,4,0,0,4,3,12,5.4,Makenna Marisa,https://www.sports-reference.com/cbb/players/makenna-marisa-1.html,penn-state,2021-22
12,66,12,2021-12-18,Penn State,@,Duquesne,REG (Non-Conf),W 68-60,*,39,12,27,.444,3,11,.273,9,16,.563,.500,6,7,.857,0,3,3,4,2,0,4,3,33,19.0,Makenna Marisa,https://www.sports-reference.com/cbb/players/makenna-marisa-1.html,penn-state,2021-22
13,67,13,2022-01-06,Penn State,@,Maryland,REG (Conf),L 78-106,*,33,12,22,.545,4,8,.500,8,14,.571,.636,1,1,1.000,0,2,2,3,1,0,5,2,29,16.3,Makenna Marisa,https://www.sports-reference.com/cbb/players/makenna-marisa-1.html,penn-state,2021-22
14,68,14,2022-01-13,Penn State,,Michigan,REG (Conf),L 57-74,*,38,6,19,.316,2,6,.333,4,13,.308,.368,3,4,.750,5,2,7,2,2,0,5,0,17,8.2,Makenna Marisa,https://www.sports-reference.com/cbb/players/makenna-marisa-1.html,penn-state,2021-22
