ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,52,2,2021-11-14,Pepperdine,,Eastern Washington,REG (Non-Conf),W 67-48,,5,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,1,1,0,0,0.0,Jayda Ruffus-Milner,https://www.sports-reference.com/cbb/players/jayda-ruffus-milner-1.html,pepperdine,2021-22
2,53,3,2021-11-20,Pepperdine,,UC Santa Barbara,REG (Non-Conf),L 63-74,,4,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,0,0,0,0,0,1,2,0,-2.5,Jayda Ruffus-Milner,https://www.sports-reference.com/cbb/players/jayda-ruffus-milner-1.html,pepperdine,2021-22
3,54,4,2021-11-24,Pepperdine,,UAB,REG (Non-Conf),W 66-50,,10,0,0,,0,0,,0,0,,,1,2,.500,0,2,2,0,0,1,0,0,1,1.9,Jayda Ruffus-Milner,https://www.sports-reference.com/cbb/players/jayda-ruffus-milner-1.html,pepperdine,2021-22
4,55,5,2021-11-27,Pepperdine,,Cal State Fullerton,REG (Non-Conf),L 63-68,,0,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Jayda Ruffus-Milner,https://www.sports-reference.com/cbb/players/jayda-ruffus-milner-1.html,pepperdine,2021-22
5,56,6,2021-11-30,Pepperdine,@,Cal State Bakersfield,REG (Non-Conf),W 52-42,,2,0,0,,0,0,,0,0,,,0,2,.000,1,0,1,0,0,0,2,1,0,-2.5,Jayda Ruffus-Milner,https://www.sports-reference.com/cbb/players/jayda-ruffus-milner-1.html,pepperdine,2021-22
6,57,8,2021-12-10,Pepperdine,@,Portland State,REG (Non-Conf),L 71-75,,4,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,Jayda Ruffus-Milner,https://www.sports-reference.com/cbb/players/jayda-ruffus-milner-1.html,pepperdine,2021-22
7,58,10,2022-01-13,Pepperdine,@,Santa Clara,REG (Conf),L 64-74,,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,2,0,0,-2.0,Jayda Ruffus-Milner,https://www.sports-reference.com/cbb/players/jayda-ruffus-milner-1.html,pepperdine,2021-22
8,59,11,2022-01-15,Pepperdine,@,St. Mary's (CA),REG (Conf),L 53-70,,3,0,1,.000,0,0,,0,1,.000,.000,0,0,,1,0,1,0,0,0,0,0,0,0.0,Jayda Ruffus-Milner,https://www.sports-reference.com/cbb/players/jayda-ruffus-milner-1.html,pepperdine,2021-22
9,60,12,2022-01-22,Pepperdine,@,Pacific,REG (Conf),L 58-65,,19,0,1,.000,0,1,.000,0,0,,.000,0,2,.000,1,0,1,2,3,0,0,4,0,2.0,Jayda Ruffus-Milner,https://www.sports-reference.com/cbb/players/jayda-ruffus-milner-1.html,pepperdine,2021-22
10,61,13,2022-01-25,Pepperdine,,Loyola Marymount,REG (Conf),W 61-55,,7,0,1,.000,0,0,,0,1,.000,.000,0,0,,1,1,2,0,1,1,1,1,0,0.6,Jayda Ruffus-Milner,https://www.sports-reference.com/cbb/players/jayda-ruffus-milner-1.html,pepperdine,2021-22
11,62,17,2022-02-05,Pepperdine,@,San Francisco,REG (Conf),L 57-78,,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Jayda Ruffus-Milner,https://www.sports-reference.com/cbb/players/jayda-ruffus-milner-1.html,pepperdine,2021-22
12,63,18,2022-02-10,Pepperdine,@,Brigham Young,REG (Conf),L 53-104,,6,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,0,0,0,0,0,0,1,1,2,0.3,Jayda Ruffus-Milner,https://www.sports-reference.com/cbb/players/jayda-ruffus-milner-1.html,pepperdine,2021-22
