ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,1,1,2021-11-09,Southern Mississippi,,William Carey,REG (Non-Conf),W 72-42,,16,1,2,.500,0,0,,1,2,.500,.500,2,2,1.000,0,3,3,2,1,0,2,1,4,3.9,Morgan Dillard,https://www.sports-reference.com/cbb/players/morgan-dillard-1.html,southern-mississippi,2021-22
2,2,2,2021-11-13,Southern Mississippi,,Louisiana–Monroe,REG (Non-Conf),W 77-60,,1,1,1,1.000,0,0,,1,1,1.000,1.000,0,2,.000,0,0,0,0,0,0,0,0,2,0.9,Morgan Dillard,https://www.sports-reference.com/cbb/players/morgan-dillard-1.html,southern-mississippi,2021-22
3,3,6,2021-11-27,Southern Mississippi,,Mississippi Valley State,REG (Non-Conf),W 72-53,,8,0,1,.000,0,0,,0,1,.000,.000,1,2,.500,0,5,5,0,0,0,1,1,1,0.0,Morgan Dillard,https://www.sports-reference.com/cbb/players/morgan-dillard-1.html,southern-mississippi,2021-22
4,4,8,2021-12-05,Southern Mississippi,@,South Alabama,REG (Non-Conf),W 71-51,,4,0,0,,0,0,,0,0,,,0,0,,0,2,2,0,0,0,2,1,0,-1.8,Morgan Dillard,https://www.sports-reference.com/cbb/players/morgan-dillard-1.html,southern-mississippi,2021-22
5,5,9,2021-12-13,Southern Mississippi,,Blue Mountain,REG (Non-Conf),W 75-50,,16,1,3,.333,0,1,.000,1,2,.500,.333,0,2,.000,1,0,1,2,0,0,2,0,2,-0.4,Morgan Dillard,https://www.sports-reference.com/cbb/players/morgan-dillard-1.html,southern-mississippi,2021-22
6,6,10,2021-12-19,Southern Mississippi,,Alabama A&M,REG (Non-Conf),W 70-55,,3,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Morgan Dillard,https://www.sports-reference.com/cbb/players/morgan-dillard-1.html,southern-mississippi,2021-22
7,7,12,2021-12-30,Southern Mississippi,@,Western Kentucky,REG (Conf),L 88-98,,5,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Morgan Dillard,https://www.sports-reference.com/cbb/players/morgan-dillard-1.html,southern-mississippi,2021-22
8,8,13,2022-01-01,Southern Mississippi,@,Marshall,REG (Conf),L 55-72,,4,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,0,0,0,0,0,1,2,0,-2.5,Morgan Dillard,https://www.sports-reference.com/cbb/players/morgan-dillard-1.html,southern-mississippi,2021-22
9,9,18,2022-01-27,Southern Mississippi,@,North Texas,REG (Conf),L 66-72,,3,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,0,0,0,0,0,1,0,0,-1.7,Morgan Dillard,https://www.sports-reference.com/cbb/players/morgan-dillard-1.html,southern-mississippi,2021-22
10,10,19,2022-01-29,Southern Mississippi,@,Rice,REG (Conf),W 78-55,,1,0,0,,0,0,,0,0,,,2,2,1.000,0,1,1,0,0,0,0,2,2,1.5,Morgan Dillard,https://www.sports-reference.com/cbb/players/morgan-dillard-1.html,southern-mississippi,2021-22
11,11,20,2022-02-03,Southern Mississippi,,Florida International,REG (Conf),W 65-64,,4,1,2,.500,0,0,,1,2,.500,.500,0,0,,0,2,2,0,1,0,0,0,2,2.6,Morgan Dillard,https://www.sports-reference.com/cbb/players/morgan-dillard-1.html,southern-mississippi,2021-22
12,12,21,2022-02-05,Southern Mississippi,,Florida Atlantic,REG (Conf),W 79-60,,13,0,1,.000,0,0,,0,1,.000,.000,2,2,1.000,1,1,2,1,0,0,2,0,2,1.0,Morgan Dillard,https://www.sports-reference.com/cbb/players/morgan-dillard-1.html,southern-mississippi,2021-22
13,13,24,2022-02-17,Southern Mississippi,@,UTSA,REG (Conf),W 66-50,,8,0,2,.000,0,0,,0,2,.000,.000,2,2,1.000,0,0,0,0,0,0,1,1,2,-0.8,Morgan Dillard,https://www.sports-reference.com/cbb/players/morgan-dillard-1.html,southern-mississippi,2021-22
14,14,25,2022-02-19,Southern Mississippi,@,UTEP,REG (Conf),L 79-86 (OT),,3,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,Morgan Dillard,https://www.sports-reference.com/cbb/players/morgan-dillard-1.html,southern-mississippi,2021-22
15,15,26,2022-02-26,Southern Mississippi,,Rice,REG (Conf),L 46-51,,6,1,2,.500,0,0,,1,2,.500,.500,0,0,,1,0,1,2,0,0,2,1,2,0.7,Morgan Dillard,https://www.sports-reference.com/cbb/players/morgan-dillard-1.html,southern-mississippi,2021-22
16,16,28,2022-03-05,Southern Mississippi,@,Charlotte,REG (Conf),L 49-70,,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Morgan Dillard,https://www.sports-reference.com/cbb/players/morgan-dillard-1.html,southern-mississippi,2021-22
17,17,29,2022-03-09,Southern Mississippi,,Florida International,CTOURN,W 78-60,,2,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,1,1,0,0,0,0,1,0,-0.8,Morgan Dillard,https://www.sports-reference.com/cbb/players/morgan-dillard-1.html,southern-mississippi,2021-22
