ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,30,1,2021-11-09,Utah State,,Westminster (UT),REG (Non-Conf),W 83-78,*,31,7,15,.467,1,2,.500,6,13,.462,.500,1,2,.500,7,6,13,2,1,0,1,0,16,16.0,Adryana Quezada,https://www.sports-reference.com/cbb/players/adryana-quezada-1.html,utah-state,2021-22
2,31,2,2021-11-13,Utah State,,Cal State Fullerton,REG (Non-Conf),W 85-75,*,25,2,7,.286,0,0,,2,7,.286,.286,5,6,.833,1,2,3,1,2,1,1,1,9,7.8,Adryana Quezada,https://www.sports-reference.com/cbb/players/adryana-quezada-1.html,utah-state,2021-22
3,32,3,2021-11-16,Utah State,@,California,REG (Non-Conf),L 49-81,*,23,3,11,.273,1,2,.500,2,9,.222,.318,0,0,,3,6,9,2,0,2,2,3,7,4.0,Adryana Quezada,https://www.sports-reference.com/cbb/players/adryana-quezada-1.html,utah-state,2021-22
4,33,4,2021-11-19,Utah State,,Loyola Marymount,REG (Non-Conf),L 66-69,,21,3,6,.500,0,0,,3,6,.500,.500,0,0,,0,1,1,0,1,1,2,0,6,3.0,Adryana Quezada,https://www.sports-reference.com/cbb/players/adryana-quezada-1.html,utah-state,2021-22
5,34,5,2021-11-23,Utah State,@,Brigham Young,REG (Non-Conf),L 74-101,,13,4,4,1.000,1,1,1.000,3,3,1.000,1.125,2,2,1.000,0,3,3,1,0,0,0,3,11,10.2,Adryana Quezada,https://www.sports-reference.com/cbb/players/adryana-quezada-1.html,utah-state,2021-22
6,35,6,2021-11-27,Utah State,@,Southeastern Louisiana,REG (Non-Conf),W 73-71,,29,2,3,.667,0,0,,2,3,.667,.667,2,2,1.000,2,6,8,1,0,1,4,3,6,4.1,Adryana Quezada,https://www.sports-reference.com/cbb/players/adryana-quezada-1.html,utah-state,2021-22
7,36,7,2021-12-01,Utah State,,Dixie State,REG (Non-Conf),W 81-64,,16,3,6,.500,0,0,,3,6,.500,.500,1,2,.500,4,6,10,2,1,0,1,1,7,9.2,Adryana Quezada,https://www.sports-reference.com/cbb/players/adryana-quezada-1.html,utah-state,2021-22
8,37,8,2021-12-08,Utah State,,Arkansas State,REG (Non-Conf),W 66-65,*,36,6,12,.500,0,0,,6,12,.500,.500,5,6,.833,6,4,10,5,1,0,6,4,17,12.9,Adryana Quezada,https://www.sports-reference.com/cbb/players/adryana-quezada-1.html,utah-state,2021-22
9,38,9,2021-12-11,Utah State,@,Ball State,REG (Non-Conf),L 55-81,*,32,7,13,.538,0,0,,7,13,.538,.538,0,0,,4,6,10,0,1,0,2,2,14,10.5,Adryana Quezada,https://www.sports-reference.com/cbb/players/adryana-quezada-1.html,utah-state,2021-22
10,39,10,2021-12-20,Utah State,@,Montana,REG (Non-Conf),L 80-103,*,19,4,9,.444,0,2,.000,4,7,.571,.444,0,0,,4,5,9,2,1,1,1,2,8,8.9,Adryana Quezada,https://www.sports-reference.com/cbb/players/adryana-quezada-1.html,utah-state,2021-22
11,40,11,2021-12-31,Utah State,,Air Force,REG (Conf),L 52-65,*,33,4,9,.444,1,1,1.000,3,8,.375,.500,0,0,,3,4,7,3,3,1,2,1,9,11.0,Adryana Quezada,https://www.sports-reference.com/cbb/players/adryana-quezada-1.html,utah-state,2021-22
12,41,14,2022-01-09,Utah State,@,Boise State,REG (Conf),L 47-71,,28,4,6,.667,0,1,.000,4,5,.800,.667,2,5,.400,2,4,6,1,3,0,3,1,10,9.1,Adryana Quezada,https://www.sports-reference.com/cbb/players/adryana-quezada-1.html,utah-state,2021-22
13,42,15,2022-01-13,Utah State,@,San Diego State,REG (Conf),L 45-66,*,30,4,6,.667,0,0,,4,6,.667,.667,0,1,.000,2,6,8,1,0,0,1,0,8,7.9,Adryana Quezada,https://www.sports-reference.com/cbb/players/adryana-quezada-1.html,utah-state,2021-22
14,43,16,2022-01-15,Utah State,@,UNLV,REG (Conf),L 68-86,*,33,5,13,.385,0,1,.000,5,12,.417,.385,2,2,1.000,5,5,10,2,2,0,2,1,12,10.9,Adryana Quezada,https://www.sports-reference.com/cbb/players/adryana-quezada-1.html,utah-state,2021-22
15,44,17,2022-01-19,Utah State,,Colorado State,REG (Conf),L 72-88,*,26,11,16,.688,0,0,,11,16,.688,.688,8,8,1.000,2,3,5,2,0,0,0,1,30,26.5,Adryana Quezada,https://www.sports-reference.com/cbb/players/adryana-quezada-1.html,utah-state,2021-22
16,45,18,2022-01-22,Utah State,,Wyoming,REG (Conf),W 76-66,*,32,8,18,.444,0,0,,8,18,.444,.444,1,1,1.000,4,11,15,5,0,1,4,4,17,12.3,Adryana Quezada,https://www.sports-reference.com/cbb/players/adryana-quezada-1.html,utah-state,2021-22
17,46,19,2022-01-27,Utah State,@,San Jose State,REG (Conf),W 63-61,*,39,10,20,.500,0,0,,10,20,.500,.500,0,1,.000,3,4,7,3,1,1,1,0,20,15.7,Adryana Quezada,https://www.sports-reference.com/cbb/players/adryana-quezada-1.html,utah-state,2021-22
18,47,20,2022-01-29,Utah State,@,Fresno State,REG (Conf),L 57-71,*,33,9,15,.600,0,0,,9,15,.600,.600,3,7,.429,3,7,10,0,1,0,1,4,21,15.1,Adryana Quezada,https://www.sports-reference.com/cbb/players/adryana-quezada-1.html,utah-state,2021-22
19,48,21,2022-02-02,Utah State,,San Diego State,REG (Conf),L 67-68,*,36,8,14,.571,1,1,1.000,7,13,.538,.607,1,2,.500,1,3,4,2,1,0,3,3,18,10.8,Adryana Quezada,https://www.sports-reference.com/cbb/players/adryana-quezada-1.html,utah-state,2021-22
20,49,22,2022-02-05,Utah State,,UNLV,REG (Conf),L 60-72,*,36,8,14,.571,0,1,.000,8,13,.615,.571,1,2,.500,3,5,8,2,1,2,1,2,17,15.6,Adryana Quezada,https://www.sports-reference.com/cbb/players/adryana-quezada-1.html,utah-state,2021-22
21,50,23,2022-02-09,Utah State,@,Colorado State,REG (Conf),L 83-86,*,33,13,23,.565,0,1,.000,13,22,.591,.565,3,6,.500,5,10,15,3,0,0,2,1,29,23.1,Adryana Quezada,https://www.sports-reference.com/cbb/players/adryana-quezada-1.html,utah-state,2021-22
22,51,24,2022-02-12,Utah State,,Boise State,REG (Conf),W 63-55,*,34,6,12,.500,0,0,,6,12,.500,.500,8,11,.727,2,5,7,2,6,2,1,2,20,22.7,Adryana Quezada,https://www.sports-reference.com/cbb/players/adryana-quezada-1.html,utah-state,2021-22
23,52,25,2022-02-16,Utah State,@,New Mexico,REG (Conf),L 73-93,*,17,2,7,.286,0,0,,2,7,.286,.286,0,0,,1,2,3,0,0,0,2,1,4,-1.2,Adryana Quezada,https://www.sports-reference.com/cbb/players/adryana-quezada-1.html,utah-state,2021-22
24,53,26,2022-02-19,Utah State,@,Air Force,REG (Conf),L 56-67,*,35,11,16,.688,1,1,1.000,10,15,.667,.719,4,5,.800,4,6,10,1,0,0,4,1,27,20.7,Adryana Quezada,https://www.sports-reference.com/cbb/players/adryana-quezada-1.html,utah-state,2021-22
25,54,27,2022-02-26,Utah State,,Nevada,REG (Conf),W 82-80 (2OT),*,41,8,13,.615,0,0,,8,13,.615,.615,2,2,1.000,6,5,11,2,2,1,4,5,18,15.9,Adryana Quezada,https://www.sports-reference.com/cbb/players/adryana-quezada-1.html,utah-state,2021-22
26,55,28,2022-03-02,Utah State,,Fresno State,REG (Conf),W 96-90 (OT),,34,10,17,.588,1,2,.500,9,15,.600,.618,1,1,1.000,2,4,6,4,0,0,2,1,22,17.1,Adryana Quezada,https://www.sports-reference.com/cbb/players/adryana-quezada-1.html,utah-state,2021-22
27,56,29,2022-03-06,Utah State,@,Fresno State,CTOURN,W 80-75,*,29,8,16,.500,0,1,.000,8,15,.533,.500,0,0,,3,3,6,0,3,0,3,3,16,9.8,Adryana Quezada,https://www.sports-reference.com/cbb/players/adryana-quezada-1.html,utah-state,2021-22
28,57,30,2022-03-07,Utah State,@,UNLV,CTOURN,L 69-82,*,31,10,15,.667,1,2,.500,9,13,.692,.700,5,7,.714,3,3,6,1,1,1,0,3,26,22.9,Adryana Quezada,https://www.sports-reference.com/cbb/players/adryana-quezada-1.html,utah-state,2021-22
