ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,1,1,2021-11-09,Wake Forest,@,Mercer,REG (Non-Conf),W 68-55,,10,1,3,.333,0,2,.000,1,1,1.000,.333,0,0,,1,0,1,0,0,0,0,0,2,1.0,Alyssa Andrews,https://www.sports-reference.com/cbb/players/alyssa-andrews-1.html,wake-forest,2021-22
2,2,2,2021-11-12,Wake Forest,,Cornell,REG (Non-Conf),W 64-42,,14,1,7,.143,0,4,.000,1,3,.333,.143,0,0,,1,3,4,0,0,0,0,2,2,-1.7,Alyssa Andrews,https://www.sports-reference.com/cbb/players/alyssa-andrews-1.html,wake-forest,2021-22
3,3,3,2021-11-14,Wake Forest,,UNC Greensboro,REG (Non-Conf),W 56-45,,7,0,2,.000,0,0,,0,2,.000,.000,0,0,,0,0,0,0,0,1,0,0,0,-0.7,Alyssa Andrews,https://www.sports-reference.com/cbb/players/alyssa-andrews-1.html,wake-forest,2021-22
4,4,4,2021-11-18,Wake Forest,,Charlotte,REG (Non-Conf),W 55-49,,1,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0,0,0.3,Alyssa Andrews,https://www.sports-reference.com/cbb/players/alyssa-andrews-1.html,wake-forest,2021-22
5,5,5,2021-11-21,Wake Forest,,East Carolina,REG (Non-Conf),W 73-52,,16,4,4,1.000,2,2,1.000,2,2,1.000,1.250,1,2,.500,0,2,2,0,0,0,0,1,11,9.6,Alyssa Andrews,https://www.sports-reference.com/cbb/players/alyssa-andrews-1.html,wake-forest,2021-22
6,6,6,2021-11-24,Wake Forest,@,High Point,REG (Non-Conf),W 79-50,,13,1,3,.333,1,1,1.000,0,2,.000,.500,0,0,,1,1,2,0,1,0,1,2,3,1.5,Alyssa Andrews,https://www.sports-reference.com/cbb/players/alyssa-andrews-1.html,wake-forest,2021-22
7,7,7,2021-11-27,Wake Forest,,UMBC,REG (Non-Conf),W 94-48,,21,4,9,.444,0,3,.000,4,6,.667,.444,2,2,1.000,0,2,2,1,0,0,0,1,10,6.2,Alyssa Andrews,https://www.sports-reference.com/cbb/players/alyssa-andrews-1.html,wake-forest,2021-22
8,8,8,2021-12-01,Wake Forest,,Nebraska,REG (Non-Conf),L 60-86,,20,4,10,.400,0,3,.000,4,7,.571,.400,0,0,,4,4,8,0,1,1,0,0,8,8.3,Alyssa Andrews,https://www.sports-reference.com/cbb/players/alyssa-andrews-1.html,wake-forest,2021-22
9,9,9,2021-12-04,Wake Forest,,Troy,REG (Non-Conf),W 90-61,,20,2,7,.286,0,0,,2,7,.286,.286,1,1,1.000,2,1,3,0,0,0,1,1,5,1.2,Alyssa Andrews,https://www.sports-reference.com/cbb/players/alyssa-andrews-1.html,wake-forest,2021-22
10,10,10,2021-12-13,Wake Forest,,East Tennessee State,REG (Non-Conf),W 90-58,*,33,0,7,.000,0,1,.000,0,6,.000,.000,2,4,.500,3,8,11,1,0,0,2,0,2,-0.5,Alyssa Andrews,https://www.sports-reference.com/cbb/players/alyssa-andrews-1.html,wake-forest,2021-22
11,11,11,2021-12-15,Wake Forest,,South Carolina State,REG (Non-Conf),W 94-40,*,36,8,16,.500,1,6,.167,7,10,.700,.531,2,4,.500,1,10,11,3,1,1,4,2,19,12.9,Alyssa Andrews,https://www.sports-reference.com/cbb/players/alyssa-andrews-1.html,wake-forest,2021-22
12,12,12,2021-12-19,Wake Forest,@,Georgia Tech,REG (Conf),L 45-62,*,28,3,8,.375,1,3,.333,2,5,.400,.438,2,4,.500,1,2,3,0,0,0,1,0,9,4.1,Alyssa Andrews,https://www.sports-reference.com/cbb/players/alyssa-andrews-1.html,wake-forest,2021-22
13,13,13,2021-12-30,Wake Forest,,Florida State,REG (Conf),W 75-69 (OT),,7,0,1,.000,0,0,,0,1,.000,.000,2,2,1.000,0,0,0,0,0,0,0,0,2,1.3,Alyssa Andrews,https://www.sports-reference.com/cbb/players/alyssa-andrews-1.html,wake-forest,2021-22
14,14,14,2022-01-02,Wake Forest,,Virginia Tech,REG (Conf),L 53-66,,10,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,Alyssa Andrews,https://www.sports-reference.com/cbb/players/alyssa-andrews-1.html,wake-forest,2021-22
15,15,15,2022-01-06,Wake Forest,@,Miami (FL),REG (Conf),W 47-46,,6,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,1,0,0,0,0.7,Alyssa Andrews,https://www.sports-reference.com/cbb/players/alyssa-andrews-1.html,wake-forest,2021-22
16,16,16,2022-01-09,Wake Forest,@,Florida State,REG (Conf),L 46-87,,13,0,4,.000,0,2,.000,0,2,.000,.000,0,0,,0,1,1,0,0,0,0,1,0,-2.9,Alyssa Andrews,https://www.sports-reference.com/cbb/players/alyssa-andrews-1.html,wake-forest,2021-22
17,17,17,2022-01-13,Wake Forest,,Notre Dame,REG (Conf),L 64-74,,5,1,2,.500,0,1,.000,1,1,1.000,.500,0,0,,0,0,0,0,0,0,0,0,2,1.0,Alyssa Andrews,https://www.sports-reference.com/cbb/players/alyssa-andrews-1.html,wake-forest,2021-22
