ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,19,1,2022-11-11,Albany (NY),,Merrimack,REG (Non-Conf),W 67-53,*,26,1,5,.200,0,1,.000,1,4,.250,.200,0,0,,2,3,5,4,0,0,0,1,2,3.6,Abby Ray,https://www.sports-reference.com/cbb/players/abby-ray-1.html,albany-ny,2022-23
2,20,2,2022-11-13,Albany (NY),@,Siena,REG (Non-Conf),W 64-57,,17,0,0,,0,0,,0,0,,,0,0,,0,3,3,1,0,0,0,3,0,0.4,Abby Ray,https://www.sports-reference.com/cbb/players/abby-ray-1.html,albany-ny,2022-23
3,21,3,2022-11-16,Albany (NY),@,Navy,REG (Non-Conf),W 64-50,,20,0,1,.000,0,0,,0,1,.000,.000,0,0,,2,1,3,1,0,0,0,2,0,0.9,Abby Ray,https://www.sports-reference.com/cbb/players/abby-ray-1.html,albany-ny,2022-23
4,22,4,2022-11-19,Albany (NY),,Colgate,REG (Non-Conf),L 41-55,,4,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,Abby Ray,https://www.sports-reference.com/cbb/players/abby-ray-1.html,albany-ny,2022-23
5,23,5,2022-11-25,Albany (NY),@,UNLV,REG (Non-Conf),L 55-78,,16,0,0,,0,0,,0,0,,,1,2,.500,1,2,3,2,3,0,1,3,1,4.1,Abby Ray,https://www.sports-reference.com/cbb/players/abby-ray-1.html,albany-ny,2022-23
6,24,6,2022-11-26,Albany (NY),N,East Tennessee State,REG (Non-Conf),L 44-48,,14,0,2,.000,0,1,.000,0,1,.000,.000,0,0,,0,2,2,0,0,0,0,4,0,-2.4,Abby Ray,https://www.sports-reference.com/cbb/players/abby-ray-1.html,albany-ny,2022-23
7,25,7,2022-11-27,Albany (NY),N,Stetson,REG (Non-Conf),L 40-61,,21,1,3,.333,0,1,.000,1,2,.500,.333,0,0,,1,0,1,2,2,0,0,3,2,3.2,Abby Ray,https://www.sports-reference.com/cbb/players/abby-ray-1.html,albany-ny,2022-23
8,26,8,2022-11-30,Albany (NY),@,Canisius,REG (Non-Conf),W 59-48,,15,1,2,.500,1,1,1.000,0,1,.000,.750,0,0,,1,0,1,0,1,0,1,0,3,2.7,Abby Ray,https://www.sports-reference.com/cbb/players/abby-ray-1.html,albany-ny,2022-23
9,27,9,2022-12-03,Albany (NY),,Cornell,REG (Non-Conf),L 45-53,,15,0,1,.000,0,1,.000,0,0,,.000,0,0,,2,1,3,1,1,0,0,2,0,1.9,Abby Ray,https://www.sports-reference.com/cbb/players/abby-ray-1.html,albany-ny,2022-23
10,28,10,2022-12-06,Albany (NY),@,Dartmouth,REG (Non-Conf),W 73-45,,4,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,0,0,0,0,0,0.7,Abby Ray,https://www.sports-reference.com/cbb/players/abby-ray-1.html,albany-ny,2022-23
11,29,11,2022-12-10,Albany (NY),@,Boston College,REG (Non-Conf),L 62-74,,5,0,0,,0,0,,0,0,,,0,0,,1,0,1,1,1,0,0,0,0,2.4,Abby Ray,https://www.sports-reference.com/cbb/players/abby-ray-1.html,albany-ny,2022-23
12,30,12,2022-12-14,Albany (NY),@,Stonehill,REG (Non-Conf),W 47-46,,0,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,Abby Ray,https://www.sports-reference.com/cbb/players/abby-ray-1.html,albany-ny,2022-23
13,31,13,2022-12-16,Albany (NY),@,Ohio State,REG (Non-Conf),L 57-82,,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,0,0,0,0,0,0.7,Abby Ray,https://www.sports-reference.com/cbb/players/abby-ray-1.html,albany-ny,2022-23
14,32,14,2022-12-20,Albany (NY),@,Syracuse,REG (Non-Conf),L 64-87,,7,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,1,1,0,-1.4,Abby Ray,https://www.sports-reference.com/cbb/players/abby-ray-1.html,albany-ny,2022-23
15,33,16,2023-01-01,Albany (NY),@,New Hampshire,REG (Conf),W 71-46,,6,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,1,0,0,0,0,1.0,Abby Ray,https://www.sports-reference.com/cbb/players/abby-ray-1.html,albany-ny,2022-23
16,34,18,2023-01-07,Albany (NY),@,UMass Lowell,REG (Conf),W 62-38,,3,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0,0,0.3,Abby Ray,https://www.sports-reference.com/cbb/players/abby-ray-1.html,albany-ny,2022-23
