ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,23,1,2022-11-07,Alcorn State,@,Tulsa,REG (Non-Conf),L 33-82,,16,0,10,.000,0,4,.000,0,6,.000,.000,2,2,1.000,0,2,2,0,0,0,2,0,2,-6.4,T'Naye Griffin,https://www.sports-reference.com/cbb/players/tnaye-griffin-1.html,alcorn-state,2022-23
2,24,2,2022-11-09,Alcorn State,@,Wichita State,REG (Non-Conf),L 53-67,*,15,1,9,.111,0,3,.000,1,6,.167,.111,0,0,,0,2,2,1,2,0,3,1,2,-4.0,T'Naye Griffin,https://www.sports-reference.com/cbb/players/tnaye-griffin-1.html,alcorn-state,2022-23
3,25,3,2022-11-13,Alcorn State,@,Illinois,REG (Non-Conf),L 59-90,,23,1,5,.200,1,4,.250,0,1,.000,.300,0,0,,0,3,3,0,0,0,2,0,3,-1.2,T'Naye Griffin,https://www.sports-reference.com/cbb/players/tnaye-griffin-1.html,alcorn-state,2022-23
4,26,4,2022-11-16,Alcorn State,,Arkansas Baptist,REG (Non-Conf),W 100-51,,17,3,6,.500,3,5,.600,0,1,.000,.750,2,4,.500,1,3,4,0,0,1,3,0,11,6.5,T'Naye Griffin,https://www.sports-reference.com/cbb/players/tnaye-griffin-1.html,alcorn-state,2022-23
5,27,5,2022-11-22,Alcorn State,,New Orleans,REG (Non-Conf),W 65-56,,15,0,4,.000,0,4,.000,0,0,,.000,2,4,.500,0,1,1,0,0,0,1,1,2,-2.7,T'Naye Griffin,https://www.sports-reference.com/cbb/players/tnaye-griffin-1.html,alcorn-state,2022-23
6,28,6,2022-12-03,Alcorn State,@,Louisiana Tech,REG (Non-Conf),L 59-70,*,19,1,4,.250,0,3,.000,1,1,1.000,.250,1,2,.500,1,2,3,0,0,0,3,1,3,-1.9,T'Naye Griffin,https://www.sports-reference.com/cbb/players/tnaye-griffin-1.html,alcorn-state,2022-23
7,29,7,2022-12-06,Alcorn State,,Central Arkansas,REG (Non-Conf),W 45-41,,16,1,5,.200,0,3,.000,1,2,.500,.200,1,4,.250,0,1,1,1,0,0,1,0,3,-1.3,T'Naye Griffin,https://www.sports-reference.com/cbb/players/tnaye-griffin-1.html,alcorn-state,2022-23
8,30,8,2022-12-13,Alcorn State,,Tougaloo,REG (Non-Conf),W 88-48,,17,1,4,.250,0,1,.000,1,3,.333,.250,1,2,.500,1,4,5,5,4,0,1,1,3,8.2,T'Naye Griffin,https://www.sports-reference.com/cbb/players/tnaye-griffin-1.html,alcorn-state,2022-23
9,31,9,2022-12-16,Alcorn State,@,Colorado,REG (Non-Conf),L 47-82,,20,2,9,.222,1,8,.125,1,1,1.000,.278,0,0,,0,0,0,1,2,0,1,3,5,0.0,T'Naye Griffin,https://www.sports-reference.com/cbb/players/tnaye-griffin-1.html,alcorn-state,2022-23
10,32,10,2022-12-19,Alcorn State,@,Louisiana–Monroe,REG (Non-Conf),L 65-69,,8,0,2,.000,0,2,.000,0,0,,.000,0,0,,0,2,2,2,0,0,0,0,0,0.6,T'Naye Griffin,https://www.sports-reference.com/cbb/players/tnaye-griffin-1.html,alcorn-state,2022-23
