ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,13,1,2022-11-07,Arkansas,@,Arkansas–Pine Bluff,REG (Non-Conf),W 70-50,*,28,3,14,.214,2,9,.222,1,5,.200,.286,3,6,.500,2,6,8,2,0,1,2,1,11,4.1,Saylor Poffenbarger,https://www.sports-reference.com/cbb/players/saylor-poffenbarger-1.html,arkansas,2022-23
2,14,2,2022-11-11,Arkansas,,Central Arkansas,REG (Non-Conf),W 72-34,*,30,0,5,.000,0,3,.000,0,2,.000,.000,2,4,.500,0,7,7,1,0,2,2,1,2,-0.5,Saylor Poffenbarger,https://www.sports-reference.com/cbb/players/saylor-poffenbarger-1.html,arkansas,2022-23
3,15,3,2022-11-14,Arkansas,,Tulsa,REG (Non-Conf),W 79-70,*,29,1,4,.250,0,2,.000,1,2,.500,.250,0,0,,2,8,10,3,1,0,0,4,2,4.9,Saylor Poffenbarger,https://www.sports-reference.com/cbb/players/saylor-poffenbarger-1.html,arkansas,2022-23
4,16,4,2022-11-17,Arkansas,,Kent State,REG (Non-Conf),W 80-59,*,30,0,7,.000,0,3,.000,0,4,.000,.000,2,2,1.000,1,5,6,1,1,3,1,0,2,2.1,Saylor Poffenbarger,https://www.sports-reference.com/cbb/players/saylor-poffenbarger-1.html,arkansas,2022-23
5,17,5,2022-11-20,Arkansas,@,Little Rock,REG (Non-Conf),W 93-49,*,28,3,4,.750,0,1,.000,3,3,1.000,.750,3,4,.750,0,9,9,1,0,0,3,3,9,6.2,Saylor Poffenbarger,https://www.sports-reference.com/cbb/players/saylor-poffenbarger-1.html,arkansas,2022-23
6,18,6,2022-11-24,Arkansas,N,Northern Arizona,REG (Non-Conf),W 82-73,*,32,4,10,.400,2,6,.333,2,4,.500,.500,3,4,.750,2,3,5,2,1,1,4,3,13,7.4,Saylor Poffenbarger,https://www.sports-reference.com/cbb/players/saylor-poffenbarger-1.html,arkansas,2022-23
7,19,7,2022-11-25,Arkansas,N,Clemson,REG (Non-Conf),W 76-62,*,38,5,8,.625,2,4,.500,3,4,.750,.750,3,4,.750,0,9,9,1,1,0,4,2,15,10.6,Saylor Poffenbarger,https://www.sports-reference.com/cbb/players/saylor-poffenbarger-1.html,arkansas,2022-23
8,20,8,2022-11-26,Arkansas,N,Kansas State,REG (Non-Conf),W 69-53,*,35,3,8,.375,2,4,.500,1,4,.250,.500,1,2,.500,1,5,6,6,1,2,2,2,9,10.2,Saylor Poffenbarger,https://www.sports-reference.com/cbb/players/saylor-poffenbarger-1.html,arkansas,2022-23
9,21,9,2022-12-01,Arkansas,,Troy,REG (Non-Conf),W 87-70,*,24,3,8,.375,1,4,.250,2,4,.500,.438,2,2,1.000,0,3,3,5,0,1,3,1,9,6.3,Saylor Poffenbarger,https://www.sports-reference.com/cbb/players/saylor-poffenbarger-1.html,arkansas,2022-23
10,22,10,2022-12-04,Arkansas,,Oral Roberts,REG (Non-Conf),W 92-58,*,26,5,11,.455,1,3,.333,4,8,.500,.500,3,4,.750,0,13,13,5,0,1,0,4,14,14.4,Saylor Poffenbarger,https://www.sports-reference.com/cbb/players/saylor-poffenbarger-1.html,arkansas,2022-23
11,23,11,2022-12-08,Arkansas,,Lamar,REG (Non-Conf),W 63-50,*,38,7,13,.538,2,5,.400,5,8,.625,.615,1,3,.333,2,10,12,3,2,3,5,3,17,14.3,Saylor Poffenbarger,https://www.sports-reference.com/cbb/players/saylor-poffenbarger-1.html,arkansas,2022-23
12,24,12,2022-12-11,Arkansas,,Arkansas State,REG (Non-Conf),W 77-63,*,37,0,11,.000,0,8,.000,0,3,.000,.000,1,2,.500,0,9,9,5,1,1,1,1,1,-0.6,Saylor Poffenbarger,https://www.sports-reference.com/cbb/players/saylor-poffenbarger-1.html,arkansas,2022-23
