ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,49,1,2022-11-07,Arkansas–Pine Bluff,,Arkansas,REG (Non-Conf),L 50-70,,3,0,0,,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Azaria Robinson,https://www.sports-reference.com/cbb/players/azaria-robinson-1.html,arkansas-pine-bluff,2022-23
2,50,2,2022-11-10,Arkansas–Pine Bluff,@,Little Rock,REG (Non-Conf),L 56-60,,7,1,3,.333,0,0,1,3,.333,.333,1,3,.333,3,1,4,0,0,0,1,1,3,1.5,Azaria Robinson,https://www.sports-reference.com/cbb/players/azaria-robinson-1.html,arkansas-pine-bluff,2022-23
3,51,3,2022-11-15,Arkansas–Pine Bluff,,Philander Smith,REG (Non-Conf),W 84-45,,6,2,4,.500,0,0,2,4,.500,.500,0,0,,3,2,5,0,0,0,2,2,4,1.9,Azaria Robinson,https://www.sports-reference.com/cbb/players/azaria-robinson-1.html,arkansas-pine-bluff,2022-23
4,52,4,2022-11-25,Arkansas–Pine Bluff,N,Columbia,REG (Non-Conf),L 57-95,,21,4,10,.400,0,0,4,10,.400,.400,3,4,.750,4,2,6,0,0,0,0,0,11,8.6,Azaria Robinson,https://www.sports-reference.com/cbb/players/azaria-robinson-1.html,arkansas-pine-bluff,2022-23
5,53,5,2022-11-27,Arkansas–Pine Bluff,N,North Carolina A&T,REG (Non-Conf),L 59-64,,4,0,1,.000,0,0,0,1,.000,.000,0,0,,1,0,1,0,0,0,0,1,0,-0.4,Azaria Robinson,https://www.sports-reference.com/cbb/players/azaria-robinson-1.html,arkansas-pine-bluff,2022-23
6,54,6,2022-11-29,Arkansas–Pine Bluff,@,SMU,REG (Non-Conf),L 45-74,,8,0,1,.000,0,0,0,1,.000,.000,0,0,,1,0,1,0,0,2,1,0,0,0.4,Azaria Robinson,https://www.sports-reference.com/cbb/players/azaria-robinson-1.html,arkansas-pine-bluff,2022-23
7,55,7,2022-12-03,Arkansas–Pine Bluff,@,California,REG (Non-Conf),L 51-84,,19,1,4,.250,0,0,1,4,.250,.250,0,0,,1,1,2,1,0,0,2,5,2,-2.7,Azaria Robinson,https://www.sports-reference.com/cbb/players/azaria-robinson-1.html,arkansas-pine-bluff,2022-23
8,56,8,2022-12-04,Arkansas–Pine Bluff,N,Gardner-Webb,REG (Non-Conf),L 71-81,,14,1,4,.250,0,0,1,4,.250,.250,0,0,,0,1,1,1,0,1,1,2,2,-0.5,Azaria Robinson,https://www.sports-reference.com/cbb/players/azaria-robinson-1.html,arkansas-pine-bluff,2022-23
9,57,9,2022-12-07,Arkansas–Pine Bluff,@,San Francisco,REG (Non-Conf),L 66-94,,5,2,3,.667,0,0,2,3,.667,.667,0,0,,2,0,2,1,0,0,0,0,4,4.8,Azaria Robinson,https://www.sports-reference.com/cbb/players/azaria-robinson-1.html,arkansas-pine-bluff,2022-23
10,58,10,2022-12-19,Arkansas–Pine Bluff,,Central Arkansas,REG (Non-Conf),W 61-57 (OT),,4,0,1,.000,0,0,0,1,.000,.000,0,0,,0,1,1,0,1,0,0,0,0,0.6,Azaria Robinson,https://www.sports-reference.com/cbb/players/azaria-robinson-1.html,arkansas-pine-bluff,2022-23
11,59,15,2023-01-14,Arkansas–Pine Bluff,@,Florida A&M,REG (Conf),W 71-68,,4,2,3,.667,0,0,2,3,.667,.667,0,0,,1,0,1,0,0,1,0,1,4,3.7,Azaria Robinson,https://www.sports-reference.com/cbb/players/azaria-robinson-1.html,arkansas-pine-bluff,2022-23
12,60,16,2023-01-16,Arkansas–Pine Bluff,@,Bethune-Cookman,REG (Conf),L 61-63,,6,1,1,1.000,0,0,1,1,1.000,1.000,2,2,1.000,1,0,1,0,1,1,0,0,4,6.1,Azaria Robinson,https://www.sports-reference.com/cbb/players/azaria-robinson-1.html,arkansas-pine-bluff,2022-23
13,61,18,2023-01-23,Arkansas–Pine Bluff,,Grambling State,REG (Conf),W 64-57,,2,0,1,.000,0,0,0,1,.000,.000,0,0,,0,2,2,0,0,0,1,2,0,-1.9,Azaria Robinson,https://www.sports-reference.com/cbb/players/azaria-robinson-1.html,arkansas-pine-bluff,2022-23
14,62,20,2023-02-04,Arkansas–Pine Bluff,@,Alcorn State,REG (Conf),W 73-61,,5,1,2,.500,0,0,1,2,.500,.500,0,0,,2,2,4,1,0,0,0,2,2,2.9,Azaria Robinson,https://www.sports-reference.com/cbb/players/azaria-robinson-1.html,arkansas-pine-bluff,2022-23
15,63,21,2023-02-06,Arkansas–Pine Bluff,@,Jackson State,REG (Conf),L 53-88,,3,0,0,,0,0,0,0,,,0,0,,0,0,0,0,0,0,1,2,0,-1.8,Azaria Robinson,https://www.sports-reference.com/cbb/players/azaria-robinson-1.html,arkansas-pine-bluff,2022-23
16,64,22,2023-02-11,Arkansas–Pine Bluff,,Alabama State,REG (Conf),L 60-71,,2,0,0,,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,3,0,-1.2,Azaria Robinson,https://www.sports-reference.com/cbb/players/azaria-robinson-1.html,arkansas-pine-bluff,2022-23
17,65,23,2023-02-13,Arkansas–Pine Bluff,,Alabama A&M,REG (Conf),W 60-57,,1,0,0,,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Azaria Robinson,https://www.sports-reference.com/cbb/players/azaria-robinson-1.html,arkansas-pine-bluff,2022-23
18,66,24,2023-02-18,Arkansas–Pine Bluff,@,Prairie View A&M,REG (Conf),L 68-78,,5,0,1,.000,0,0,0,1,.000,.000,0,0,,0,0,0,0,0,0,1,0,0,-1.7,Azaria Robinson,https://www.sports-reference.com/cbb/players/azaria-robinson-1.html,arkansas-pine-bluff,2022-23
19,67,25,2023-02-20,Arkansas–Pine Bluff,@,Texas Southern,REG (Conf),W 83-53,,3,0,2,.000,0,0,0,2,.000,.000,0,0,,1,0,1,0,0,0,1,1,0,-2.1,Azaria Robinson,https://www.sports-reference.com/cbb/players/azaria-robinson-1.html,arkansas-pine-bluff,2022-23
20,68,26,2023-02-25,Arkansas–Pine Bluff,@,Mississippi Valley State,REG (Conf),W 95-60,,4,1,1,1.000,0,0,1,1,1.000,1.000,0,0,,0,0,0,0,0,0,0,1,2,1.3,Azaria Robinson,https://www.sports-reference.com/cbb/players/azaria-robinson-1.html,arkansas-pine-bluff,2022-23
21,69,28,2023-03-04,Arkansas–Pine Bluff,,Alcorn State,REG (Conf),W 74-66,,4,0,0,,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Azaria Robinson,https://www.sports-reference.com/cbb/players/azaria-robinson-1.html,arkansas-pine-bluff,2022-23
22,70,29,2023-03-08,Arkansas–Pine Bluff,N,Alabama A&M,CTOURN,W 62-55,,3,0,0,,0,0,0,0,,,0,0,,0,2,2,0,0,0,0,0,0,0.6,Azaria Robinson,https://www.sports-reference.com/cbb/players/azaria-robinson-1.html,arkansas-pine-bluff,2022-23
23,71,30,2023-03-10,Arkansas–Pine Bluff,N,Alabama State,CTOURN,W 71-66,,0,0,0,,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Azaria Robinson,https://www.sports-reference.com/cbb/players/azaria-robinson-1.html,arkansas-pine-bluff,2022-23
