ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,4,1,2022-11-10,Arkansas State,@,Louisiana Tech,REG (Non-Conf),L 56-59,*,35,3,10,.300,2,5,.400,1,5,.200,.400,1,1,1.000,1,4,5,0,1,0,3,2,9,2.3,Annaliese Griffin,https://www.sports-reference.com/cbb/players/annaliese-griffin-1.html,arkansas-state,2022-23
2,5,2,2022-11-14,Arkansas State,@,UT Martin,REG (Non-Conf),L 54-73,*,37,2,11,.182,0,1,.000,2,10,.200,.182,4,6,.667,3,10,13,4,0,1,1,3,8,6.7,Annaliese Griffin,https://www.sports-reference.com/cbb/players/annaliese-griffin-1.html,arkansas-state,2022-23
3,6,3,2022-11-16,Arkansas State,,Hendrix,REG (Non-Conf),W 95-50,*,26,4,12,.333,0,1,.000,4,11,.364,.333,2,2,1.000,7,6,13,1,1,0,1,2,10,9.8,Annaliese Griffin,https://www.sports-reference.com/cbb/players/annaliese-griffin-1.html,arkansas-state,2022-23
4,7,4,2022-11-19,Arkansas State,,Utah State,REG (Non-Conf),W 63-57,*,30,2,4,.500,0,1,.000,2,3,.667,.500,6,8,.750,4,11,15,1,0,2,3,5,10,10.4,Annaliese Griffin,https://www.sports-reference.com/cbb/players/annaliese-griffin-1.html,arkansas-state,2022-23
5,8,5,2022-11-22,Arkansas State,,Oklahoma,REG (Non-Conf),L 70-95,*,26,4,9,.444,1,3,.333,3,6,.500,.500,2,4,.500,2,7,9,1,1,0,3,4,11,6.1,Annaliese Griffin,https://www.sports-reference.com/cbb/players/annaliese-griffin-1.html,arkansas-state,2022-23
6,9,6,2022-11-26,Arkansas State,,Kansas City,REG (Non-Conf),W 79-68 (OT),*,37,3,7,.429,0,1,.000,3,6,.500,.429,2,2,1.000,4,6,10,3,1,1,2,0,8,10.7,Annaliese Griffin,https://www.sports-reference.com/cbb/players/annaliese-griffin-1.html,arkansas-state,2022-23
7,10,7,2022-11-29,Arkansas State,@,McNeese State,REG (Non-Conf),W 102-83,*,33,5,15,.333,0,2,.000,5,13,.385,.333,0,1,.000,6,3,9,2,2,0,2,3,10,6.4,Annaliese Griffin,https://www.sports-reference.com/cbb/players/annaliese-griffin-1.html,arkansas-state,2022-23
8,11,8,2022-12-08,Arkansas State,@,North Alabama,REG (Non-Conf),L 68-82,*,23,4,9,.444,0,0,,4,9,.444,.444,0,0,,4,9,13,2,1,0,4,5,8,5.2,Annaliese Griffin,https://www.sports-reference.com/cbb/players/annaliese-griffin-1.html,arkansas-state,2022-23
9,12,9,2022-12-11,Arkansas State,@,Arkansas,REG (Non-Conf),L 63-77,*,20,2,5,.400,1,1,1.000,1,4,.250,.500,2,2,1.000,2,1,3,0,1,0,2,4,7,3.4,Annaliese Griffin,https://www.sports-reference.com/cbb/players/annaliese-griffin-1.html,arkansas-state,2022-23
10,13,10,2022-12-15,Arkansas State,,Grambling State,REG (Non-Conf),W 79-66,*,29,3,5,.600,0,2,.000,3,3,1.000,.600,2,3,.667,3,5,8,3,0,1,1,1,8,10.3,Annaliese Griffin,https://www.sports-reference.com/cbb/players/annaliese-griffin-1.html,arkansas-state,2022-23
11,14,11,2022-12-18,Arkansas State,@,Little Rock,REG (Non-Conf),L 44-60,*,17,1,3,.333,0,0,,1,3,.333,.333,0,0,,1,5,6,0,0,0,2,5,2,-1.5,Annaliese Griffin,https://www.sports-reference.com/cbb/players/annaliese-griffin-1.html,arkansas-state,2022-23
12,15,12,2022-12-29,Arkansas State,@,Louisiana–Monroe,REG (Conf),L 66-81,*,36,4,8,.500,0,0,,4,8,.500,.500,5,6,.833,2,6,8,1,1,1,3,3,13,10.0,Annaliese Griffin,https://www.sports-reference.com/cbb/players/annaliese-griffin-1.html,arkansas-state,2022-23
13,16,13,2022-12-31,Arkansas State,@,Georgia Southern,REG (Conf),L 86-99,*,25,2,7,.286,1,5,.200,1,2,.500,.357,2,4,.500,0,3,3,0,1,1,1,4,7,2.1,Annaliese Griffin,https://www.sports-reference.com/cbb/players/annaliese-griffin-1.html,arkansas-state,2022-23
14,17,14,2023-01-05,Arkansas State,,Troy,REG (Conf),L 67-83,*,32,8,12,.667,4,6,.667,4,6,.667,.833,2,2,1.000,3,7,10,0,2,0,2,1,22,20.6,Annaliese Griffin,https://www.sports-reference.com/cbb/players/annaliese-griffin-1.html,arkansas-state,2022-23
15,18,15,2023-01-07,Arkansas State,,Appalachian State,REG (Conf),L 58-59,*,25,1,2,.500,1,2,.500,0,0,,.750,3,4,.750,2,5,7,3,1,0,3,4,6,6.0,Annaliese Griffin,https://www.sports-reference.com/cbb/players/annaliese-griffin-1.html,arkansas-state,2022-23
16,19,16,2023-01-12,Arkansas State,@,Southern Mississippi,REG (Conf),L 36-61,*,25,1,4,.250,0,1,.000,1,3,.333,.250,0,0,,1,2,3,0,2,2,3,2,2,0.5,Annaliese Griffin,https://www.sports-reference.com/cbb/players/annaliese-griffin-1.html,arkansas-state,2022-23
17,20,17,2023-01-14,Arkansas State,@,Texas State,REG (Conf),L 55-89,*,30,4,9,.444,1,4,.250,3,5,.600,.500,4,6,.667,4,3,7,0,0,0,2,3,13,8.0,Annaliese Griffin,https://www.sports-reference.com/cbb/players/annaliese-griffin-1.html,arkansas-state,2022-23
18,21,18,2023-01-19,Arkansas State,@,South Alabama,REG (Conf),W 63-47,*,34,5,10,.500,3,7,.429,2,3,.667,.650,2,4,.500,1,7,8,1,3,0,3,1,15,12.3,Annaliese Griffin,https://www.sports-reference.com/cbb/players/annaliese-griffin-1.html,arkansas-state,2022-23
19,22,19,2023-01-21,Arkansas State,@,Louisiana,REG (Conf),L 48-49 (OT),*,33,2,5,.400,0,2,.000,2,3,.667,.400,0,0,,3,2,5,0,1,0,3,3,4,0.8,Annaliese Griffin,https://www.sports-reference.com/cbb/players/annaliese-griffin-1.html,arkansas-state,2022-23
20,23,20,2023-01-26,Arkansas State,,Southern Mississippi,REG (Conf),L 59-68,*,26,1,6,.167,0,3,.000,1,3,.333,.167,0,0,,0,4,4,0,1,0,0,4,2,-1.2,Annaliese Griffin,https://www.sports-reference.com/cbb/players/annaliese-griffin-1.html,arkansas-state,2022-23
21,24,21,2023-01-28,Arkansas State,,Marshall,REG (Conf),L 59-71,*,19,3,7,.429,0,0,,3,7,.429,.429,3,3,1.000,4,2,6,1,1,0,0,4,9,8.8,Annaliese Griffin,https://www.sports-reference.com/cbb/players/annaliese-griffin-1.html,arkansas-state,2022-23
22,25,22,2023-02-02,Arkansas State,@,Coastal Carolina,REG (Conf),W 69-65,*,30,3,6,.500,1,2,.500,2,4,.500,.583,4,4,1.000,0,4,4,1,3,2,1,1,11,12.9,Annaliese Griffin,https://www.sports-reference.com/cbb/players/annaliese-griffin-1.html,arkansas-state,2022-23
23,26,23,2023-02-04,Arkansas State,,Old Dominion,REG (Conf),L 75-87,*,25,4,12,.333,2,4,.500,2,8,.250,.417,0,2,.000,2,5,7,0,1,0,2,3,10,3.1,Annaliese Griffin,https://www.sports-reference.com/cbb/players/annaliese-griffin-1.html,arkansas-state,2022-23
24,27,24,2023-02-09,Arkansas State,@,Troy,REG (Conf),W 98-92,*,33,5,10,.500,2,5,.400,3,5,.600,.600,4,5,.800,3,4,7,1,1,0,3,1,16,12.2,Annaliese Griffin,https://www.sports-reference.com/cbb/players/annaliese-griffin-1.html,arkansas-state,2022-23
25,28,25,2023-02-11,Arkansas State,@,James Madison,REG (Conf),L 57-70,*,34,10,22,.455,4,8,.500,6,14,.429,.545,0,0,,5,5,10,0,1,0,2,2,24,15.8,Annaliese Griffin,https://www.sports-reference.com/cbb/players/annaliese-griffin-1.html,arkansas-state,2022-23
26,29,26,2023-02-16,Arkansas State,,South Alabama,REG (Conf),W 78-58,*,22,2,8,.250,1,2,.500,1,6,.167,.313,0,0,,1,6,7,0,0,1,0,3,5,2.2,Annaliese Griffin,https://www.sports-reference.com/cbb/players/annaliese-griffin-1.html,arkansas-state,2022-23
