ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,1,1,2022-11-09,Belmont,,Chattanooga,REG (Non-Conf),W 56-54,,3,1,1,1.000,1,1,1.000,0,0,,1.500,0,0,,0,0,0,0,0,0,0,0,3,2.7,Kate Hollifield,https://www.sports-reference.com/cbb/players/kate-hollifield-1.html,belmont,2022-23
2,2,2,2022-11-13,Belmont,,Louisville,REG (Non-Conf),L 70-75,,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,Kate Hollifield,https://www.sports-reference.com/cbb/players/kate-hollifield-1.html,belmont,2022-23
3,3,3,2022-11-16,Belmont,@,Middle Tennessee,REG (Non-Conf),L 62-80,,9,0,0,,0,0,,0,0,,,3,4,.750,1,3,4,0,0,0,1,0,3,3.2,Kate Hollifield,https://www.sports-reference.com/cbb/players/kate-hollifield-1.html,belmont,2022-23
4,4,4,2022-11-20,Belmont,@,Iowa,REG (Non-Conf),L 62-73,,5,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,Kate Hollifield,https://www.sports-reference.com/cbb/players/kate-hollifield-1.html,belmont,2022-23
5,5,5,2022-11-25,Belmont,N,Villanova,REG (Non-Conf),L 80-83,,4,0,0,,0,0,,0,0,,,1,2,.500,0,0,0,0,0,0,0,1,1,0.2,Kate Hollifield,https://www.sports-reference.com/cbb/players/kate-hollifield-1.html,belmont,2022-23
6,6,6,2022-11-26,Belmont,N,Saint Louis,REG (Non-Conf),W 78-68,,2,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,0,0,0,0,0,0,1,0,2,0.7,Kate Hollifield,https://www.sports-reference.com/cbb/players/kate-hollifield-1.html,belmont,2022-23
7,7,7,2022-11-27,Belmont,N,Georgia Tech,REG (Non-Conf),L 52-58,,8,1,1,1.000,1,1,1.000,0,0,,1.500,0,0,,0,0,0,0,0,0,0,0,3,2.7,Kate Hollifield,https://www.sports-reference.com/cbb/players/kate-hollifield-1.html,belmont,2022-23
8,8,8,2022-12-04,Belmont,,Georgia Tech,REG (Non-Conf),L 55-59,,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,1,0,0,0,0,1.0,Kate Hollifield,https://www.sports-reference.com/cbb/players/kate-hollifield-1.html,belmont,2022-23
9,9,9,2022-12-06,Belmont,@,Lipscomb,REG (Non-Conf),W 77-68,,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,1,2,0,-1.8,Kate Hollifield,https://www.sports-reference.com/cbb/players/kate-hollifield-1.html,belmont,2022-23
10,10,10,2022-12-17,Belmont,@,Georgia,REG (Non-Conf),L 55-66,,2,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,1,1,0,0,0,0,0,0,-0.4,Kate Hollifield,https://www.sports-reference.com/cbb/players/kate-hollifield-1.html,belmont,2022-23
