ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,20,1,2022-11-07,Buffalo,@,Canisius,REG (Non-Conf),L 55-57,,9,1,2,.500,0,0,1,2,.500,.500,0,0,,0,1,1,0,0,2,0,3,2,1.5,Kayla Salmons,https://www.sports-reference.com/cbb/players/kayla-salmons-1.html,buffalo,2022-23
2,21,2,2022-11-14,Buffalo,@,Stonehill,REG (Non-Conf),W 62-56,,2,0,0,,0,0,0,0,,,1,2,.500,0,0,0,0,0,0,0,1,1,0.2,Kayla Salmons,https://www.sports-reference.com/cbb/players/kayla-salmons-1.html,buffalo,2022-23
3,22,4,2022-11-22,Buffalo,,Mercyhurst,REG (Non-Conf),L 68-70,*,15,3,3,1.000,0,0,3,3,1.000,1.000,0,2,.000,1,1,2,0,1,3,2,4,6,4.8,Kayla Salmons,https://www.sports-reference.com/cbb/players/kayla-salmons-1.html,buffalo,2022-23
4,23,5,2022-11-27,Buffalo,,Drexel,REG (Non-Conf),L 35-53,*,35,4,6,.667,0,0,4,6,.667,.667,2,6,.333,4,6,10,0,0,2,2,0,10,9.8,Kayla Salmons,https://www.sports-reference.com/cbb/players/kayla-salmons-1.html,buffalo,2022-23
5,24,6,2022-12-01,Buffalo,@,Rhode Island,REG (Non-Conf),L 56-71,*,18,2,3,.667,0,0,2,3,.667,.667,0,0,,2,1,3,0,1,0,1,2,4,3.6,Kayla Salmons,https://www.sports-reference.com/cbb/players/kayla-salmons-1.html,buffalo,2022-23
6,25,7,2022-12-07,Buffalo,@,Niagara,REG (Non-Conf),W 63-58,*,13,1,2,.500,0,0,1,2,.500,.500,1,2,.500,1,2,3,1,0,0,1,3,3,1.4,Kayla Salmons,https://www.sports-reference.com/cbb/players/kayla-salmons-1.html,buffalo,2022-23
7,26,8,2022-12-10,Buffalo,,LIU,REG (Non-Conf),W 91-59,*,12,2,3,.667,0,0,2,3,.667,.667,2,2,1.000,2,0,2,1,0,0,2,0,6,4.8,Kayla Salmons,https://www.sports-reference.com/cbb/players/kayla-salmons-1.html,buffalo,2022-23
8,27,9,2022-12-20,Buffalo,,Bucknell,REG (Non-Conf),W 58-51,*,12,1,2,.500,0,0,1,2,.500,.500,2,2,1.000,0,3,3,0,0,0,0,3,4,2.7,Kayla Salmons,https://www.sports-reference.com/cbb/players/kayla-salmons-1.html,buffalo,2022-23
9,28,10,2022-12-29,Buffalo,@,St. Bonaventure,REG (Non-Conf),W 58-49,*,34,1,5,.200,0,0,1,5,.200,.200,1,2,.500,3,7,10,1,0,2,1,1,3,4.4,Kayla Salmons,https://www.sports-reference.com/cbb/players/kayla-salmons-1.html,buffalo,2022-23
10,29,11,2023-01-04,Buffalo,@,Kent State,REG (Conf),L 63-64,*,17,3,3,1.000,0,0,3,3,1.000,1.000,0,1,.000,0,1,1,0,2,0,1,2,6,5.2,Kayla Salmons,https://www.sports-reference.com/cbb/players/kayla-salmons-1.html,buffalo,2022-23
11,30,12,2023-01-07,Buffalo,,Central Michigan,REG (Conf),W 70-63,*,12,3,3,1.000,0,0,3,3,1.000,1.000,0,0,,1,0,1,0,0,0,0,3,6,4.6,Kayla Salmons,https://www.sports-reference.com/cbb/players/kayla-salmons-1.html,buffalo,2022-23
12,31,13,2023-01-11,Buffalo,@,Ohio,REG (Conf),W 69-64,*,20,4,5,.800,0,0,4,5,.800,.800,0,1,.000,2,3,5,0,0,0,2,2,8,5.2,Kayla Salmons,https://www.sports-reference.com/cbb/players/kayla-salmons-1.html,buffalo,2022-23
13,32,14,2023-01-14,Buffalo,,Eastern Michigan,REG (Conf),W 78-59,*,18,3,4,.750,0,0,3,4,.750,.750,0,1,.000,1,1,2,1,0,1,2,3,6,3.2,Kayla Salmons,https://www.sports-reference.com/cbb/players/kayla-salmons-1.html,buffalo,2022-23
14,33,15,2023-01-18,Buffalo,,Ball State,REG (Conf),L 59-81,*,19,3,4,.750,0,0,3,4,.750,.750,0,0,,0,2,2,2,0,0,2,4,6,2.8,Kayla Salmons,https://www.sports-reference.com/cbb/players/kayla-salmons-1.html,buffalo,2022-23
15,34,17,2023-01-25,Buffalo,,Bowling Green,REG (Conf),L 61-64,,30,2,4,.500,0,0,2,4,.500,.500,0,0,,1,3,4,4,1,2,0,3,4,7.6,Kayla Salmons,https://www.sports-reference.com/cbb/players/kayla-salmons-1.html,buffalo,2022-23
16,35,18,2023-01-28,Buffalo,@,Akron,REG (Conf),L 47-69,,16,0,2,.000,0,0,0,2,.000,.000,0,0,,0,3,3,1,0,0,0,1,0,-0.2,Kayla Salmons,https://www.sports-reference.com/cbb/players/kayla-salmons-1.html,buffalo,2022-23
