ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,76,2,2022-11-10,Cal Poly,,Simpson (CA),REG (Non-Conf),W 81-49,,9,0,2,.000,0,2,.000,0,0,,.000,0,0,,0,1,1,0,0,0,0,1,0,-1.5,Maddie Willett,https://www.sports-reference.com/cbb/players/maddie-willett-1.html,cal-poly,2022-23
2,77,3,2022-11-16,Cal Poly,@,Stanford,REG (Non-Conf),L 43-80,,14,1,2,.500,1,2,.500,0,0,,.750,0,0,,0,0,0,2,0,0,0,1,3,3.0,Maddie Willett,https://www.sports-reference.com/cbb/players/maddie-willett-1.html,cal-poly,2022-23
3,78,4,2022-11-18,Cal Poly,@,Fresno State,REG (Non-Conf),W 48-47,,11,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,0,0,1,0,0,1,0,0,-1.0,Maddie Willett,https://www.sports-reference.com/cbb/players/maddie-willett-1.html,cal-poly,2022-23
4,79,5,2022-11-22,Cal Poly,,South Carolina,REG (Non-Conf),L 36-79,,12,2,4,.500,2,2,1.000,0,2,.000,.750,0,0,,1,0,1,0,0,0,1,0,6,3.7,Maddie Willett,https://www.sports-reference.com/cbb/players/maddie-willett-1.html,cal-poly,2022-23
5,80,6,2022-11-25,Cal Poly,,Sacramento State,REG (Non-Conf),L 62-70,,16,2,6,.333,0,3,.000,2,3,.667,.333,1,1,1.000,1,0,1,1,0,0,2,4,5,-0.6,Maddie Willett,https://www.sports-reference.com/cbb/players/maddie-willett-1.html,cal-poly,2022-23
6,81,7,2022-11-26,Cal Poly,,San Jose State,REG (Non-Conf),W 62-53,,24,2,5,.400,2,3,.667,0,2,.000,.600,3,4,.750,0,4,4,1,1,0,0,1,9,8.4,Maddie Willett,https://www.sports-reference.com/cbb/players/maddie-willett-1.html,cal-poly,2022-23
7,82,8,2022-12-10,Cal Poly,,Northern Arizona,REG (Non-Conf),L 76-79 (OT),,35,2,7,.286,0,1,.000,2,6,.333,.286,2,2,1.000,2,1,3,3,1,0,2,2,6,3.9,Maddie Willett,https://www.sports-reference.com/cbb/players/maddie-willett-1.html,cal-poly,2022-23
8,83,11,2022-12-29,Cal Poly,@,Cal State Northridge,REG (Conf),L 55-65,,28,3,10,.300,2,7,.286,1,3,.333,.400,2,2,1.000,3,3,6,2,1,0,2,0,10,7.6,Maddie Willett,https://www.sports-reference.com/cbb/players/maddie-willett-1.html,cal-poly,2022-23
9,84,12,2022-12-31,Cal Poly,,Hawaii,REG (Conf),L 47-50,,30,3,5,.600,1,2,.500,2,3,.667,.700,0,0,,2,3,5,0,0,0,1,2,7,5.2,Maddie Willett,https://www.sports-reference.com/cbb/players/maddie-willett-1.html,cal-poly,2022-23
10,85,13,2023-01-05,Cal Poly,,Cal State Bakersfield,REG (Conf),W 50-37,*,28,2,6,.333,1,3,.333,1,3,.333,.417,0,0,,2,3,5,1,0,0,2,0,5,2.6,Maddie Willett,https://www.sports-reference.com/cbb/players/maddie-willett-1.html,cal-poly,2022-23
11,86,14,2023-01-07,Cal Poly,@,UC Santa Barbara,REG (Conf),L 59-65,*,35,5,11,.455,2,6,.333,3,5,.600,.545,0,0,,3,5,8,0,1,0,2,2,12,8.1,Maddie Willett,https://www.sports-reference.com/cbb/players/maddie-willett-1.html,cal-poly,2022-23
12,87,15,2023-01-12,Cal Poly,,Long Beach State,REG (Conf),L 42-65,*,32,2,7,.286,2,3,.667,0,4,.000,.429,0,0,,2,4,6,0,3,0,2,2,6,4.7,Maddie Willett,https://www.sports-reference.com/cbb/players/maddie-willett-1.html,cal-poly,2022-23
13,88,16,2023-01-16,Cal Poly,,UC Riverside,REG (Conf),W 49-47,*,34,6,9,.667,2,2,1.000,4,7,.571,.778,2,2,1.000,0,4,4,1,1,0,3,1,16,11.6,Maddie Willett,https://www.sports-reference.com/cbb/players/maddie-willett-1.html,cal-poly,2022-23
14,89,17,2023-01-19,Cal Poly,@,UC San Diego,REG (Conf),L 58-70,*,31,2,7,.286,0,3,.000,2,4,.500,.286,2,2,1.000,0,1,1,0,0,0,3,3,6,-2.0,Maddie Willett,https://www.sports-reference.com/cbb/players/maddie-willett-1.html,cal-poly,2022-23
15,90,18,2023-01-21,Cal Poly,,UC Davis,REG (Conf),L 52-74,*,32,1,12,.083,1,5,.200,0,7,.000,.125,4,4,1.000,4,4,8,0,1,0,2,3,7,0.8,Maddie Willett,https://www.sports-reference.com/cbb/players/maddie-willett-1.html,cal-poly,2022-23
16,91,19,2023-01-26,Cal Poly,@,Long Beach State,REG (Conf),L 54-57,*,27,4,7,.571,2,4,.500,2,3,.667,.714,0,0,,1,1,2,1,1,0,0,1,10,9.0,Maddie Willett,https://www.sports-reference.com/cbb/players/maddie-willett-1.html,cal-poly,2022-23
17,92,20,2023-01-28,Cal Poly,@,Cal State Fullerton,REG (Conf),L 61-69,*,35,4,13,.308,2,5,.400,2,8,.250,.385,0,0,,2,2,4,4,1,0,1,2,10,6.5,Maddie Willett,https://www.sports-reference.com/cbb/players/maddie-willett-1.html,cal-poly,2022-23
18,93,21,2023-02-02,Cal Poly,,UC Santa Barbara,REG (Conf),W 69-64,*,23,3,5,.600,2,2,1.000,1,3,.333,.800,0,0,,2,2,4,0,0,0,2,3,8,4.5,Maddie Willett,https://www.sports-reference.com/cbb/players/maddie-willett-1.html,cal-poly,2022-23
19,94,22,2023-02-05,Cal Poly,@,Hawaii,REG (Conf),L 58-80,*,34,2,7,.286,0,1,.000,2,6,.333,.286,2,2,1.000,0,1,1,2,1,0,1,1,6,3.2,Maddie Willett,https://www.sports-reference.com/cbb/players/maddie-willett-1.html,cal-poly,2022-23
20,95,23,2023-02-09,Cal Poly,,UC Irvine,REG (Conf),L 55-68,*,32,5,11,.455,2,5,.400,3,6,.500,.545,0,0,,1,2,3,3,1,0,1,3,12,8.5,Maddie Willett,https://www.sports-reference.com/cbb/players/maddie-willett-1.html,cal-poly,2022-23
21,96,24,2023-02-11,Cal Poly,,Cal State Northridge,REG (Conf),W 61-50,*,33,3,10,.300,2,5,.400,1,5,.200,.400,0,0,,4,4,8,3,2,1,3,0,8,8.0,Maddie Willett,https://www.sports-reference.com/cbb/players/maddie-willett-1.html,cal-poly,2022-23
