ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,31,1,2022-11-07,California,,Cal State Northridge,REG (Non-Conf),W 86-56,,15,2,5,.400,1,4,.250,1,1,1.000,.500,0,0,,0,3,3,2,0,0,0,0,5,4.6,Mia Mastrov,https://www.sports-reference.com/cbb/players/mia-mastrov-1.html,california,2022-23
2,32,2,2022-11-12,California,N,Notre Dame,REG (Non-Conf),L 79-90,,17,2,4,.500,2,4,.500,0,0,,.750,4,4,1.000,0,0,0,2,0,0,0,2,10,8.6,Mia Mastrov,https://www.sports-reference.com/cbb/players/mia-mastrov-1.html,california,2022-23
3,33,3,2022-11-16,California,,Idaho,REG (Non-Conf),W 84-71,,19,0,3,.000,0,3,.000,0,0,,.000,2,2,1.000,0,1,1,0,0,0,3,2,2,-3.6,Mia Mastrov,https://www.sports-reference.com/cbb/players/mia-mastrov-1.html,california,2022-23
4,34,4,2022-11-20,California,@,St. Mary's (CA),REG (Non-Conf),W 69-66,,12,1,3,.333,1,2,.500,0,1,.000,.500,2,2,1.000,1,1,2,0,0,0,1,1,5,2.9,Mia Mastrov,https://www.sports-reference.com/cbb/players/mia-mastrov-1.html,california,2022-23
5,35,5,2022-11-25,California,@,Loyola Marymount,REG (Non-Conf),W 68-49,,15,1,4,.250,1,3,.333,0,1,.000,.375,0,0,,0,1,1,1,0,0,1,1,3,0.2,Mia Mastrov,https://www.sports-reference.com/cbb/players/mia-mastrov-1.html,california,2022-23
6,36,6,2022-11-26,California,N,Montana,REG (Non-Conf),W 65-44,,19,1,5,.200,1,3,.333,0,2,.000,.300,0,0,,0,0,0,1,2,0,1,2,3,0.8,Mia Mastrov,https://www.sports-reference.com/cbb/players/mia-mastrov-1.html,california,2022-23
7,37,7,2022-12-03,California,,Arkansas–Pine Bluff,REG (Non-Conf),W 84-51,,20,0,5,.000,0,5,.000,0,0,,.000,0,0,,1,0,1,2,0,0,0,1,0,-1.8,Mia Mastrov,https://www.sports-reference.com/cbb/players/mia-mastrov-1.html,california,2022-23
8,38,8,2022-12-04,California,,SMU,REG (Non-Conf),L 56-70,,8,0,3,.000,0,0,,0,3,.000,.000,0,0,,1,1,2,0,0,0,0,1,0,-1.5,Mia Mastrov,https://www.sports-reference.com/cbb/players/mia-mastrov-1.html,california,2022-23
9,39,9,2022-12-10,California,,Pacific,REG (Non-Conf),W 83-66,,11,1,4,.250,0,1,.000,1,3,.333,.250,0,0,,1,0,1,0,0,0,1,3,2,-1.9,Mia Mastrov,https://www.sports-reference.com/cbb/players/mia-mastrov-1.html,california,2022-23
10,40,10,2022-12-16,California,,UC San Diego,REG (Non-Conf),W 75-61,,16,1,3,.333,0,0,,1,3,.333,.333,0,0,,0,1,1,0,0,0,2,2,2,-2.2,Mia Mastrov,https://www.sports-reference.com/cbb/players/mia-mastrov-1.html,california,2022-23
11,41,11,2022-12-18,California,,Florida A&M,REG (Non-Conf),W 88-58,,18,4,7,.571,2,3,.667,2,4,.500,.714,1,2,.500,0,0,0,3,1,0,1,1,11,9.0,Mia Mastrov,https://www.sports-reference.com/cbb/players/mia-mastrov-1.html,california,2022-23
12,42,12,2022-12-23,California,@,Stanford,REG (Conf),L 69-90,,17,1,5,.200,1,4,.250,0,1,.000,.300,0,0,,0,1,1,0,0,1,0,1,3,0.5,Mia Mastrov,https://www.sports-reference.com/cbb/players/mia-mastrov-1.html,california,2022-23
13,43,13,2022-12-31,California,,Arizona,REG (Conf),L 56-63,,5,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,Mia Mastrov,https://www.sports-reference.com/cbb/players/mia-mastrov-1.html,california,2022-23
14,44,14,2023-01-02,California,,Arizona State,REG (Conf),W 74-61,,5,1,4,.250,0,3,.000,1,1,1.000,.250,0,0,,0,0,0,0,1,0,2,1,2,-1.8,Mia Mastrov,https://www.sports-reference.com/cbb/players/mia-mastrov-1.html,california,2022-23
15,45,16,2023-01-13,California,@,Southern California,REG (Conf),L 43-63,,13,0,3,.000,0,2,.000,0,1,.000,.000,0,0,,1,2,3,1,1,0,1,1,0,-0.5,Mia Mastrov,https://www.sports-reference.com/cbb/players/mia-mastrov-1.html,california,2022-23
