ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,25,1,2022-11-07,UC San Diego,@,California Baptist,REG (Non-Conf),L 76-84,,23,5,7,.714,1,1,1.000,4,6,.667,.786,0,0,,1,4,5,1,0,0,0,4,11,9.1,Bridget Mullings,https://www.sports-reference.com/cbb/players/bridget-mullings-1.html,california-san-diego,2022-23
2,26,2,2022-11-13,UC San Diego,@,Northern Arizona,REG (Non-Conf),L 54-87,*,10,0,5,.000,0,1,.000,0,4,.000,.000,0,0,,1,3,4,0,0,1,2,4,0,-4.8,Bridget Mullings,https://www.sports-reference.com/cbb/players/bridget-mullings-1.html,california-san-diego,2022-23
3,27,3,2022-11-20,UC San Diego,,Portland,REG (Non-Conf),W 85-76,*,22,4,7,.571,0,0,,4,7,.571,.571,0,0,,1,3,4,0,1,1,1,4,8,5.4,Bridget Mullings,https://www.sports-reference.com/cbb/players/bridget-mullings-1.html,california-san-diego,2022-23
4,28,4,2022-11-25,UC San Diego,N,Illinois State,REG (Non-Conf),L 62-79,*,22,5,11,.455,0,5,.000,5,6,.833,.455,3,4,.750,2,5,7,3,0,1,3,2,13,8.8,Bridget Mullings,https://www.sports-reference.com/cbb/players/bridget-mullings-1.html,california-san-diego,2022-23
5,29,5,2022-11-26,UC San Diego,N,Stetson,REG (Non-Conf),W 53-48,*,15,1,3,.333,0,0,,1,3,.333,.333,0,0,,0,1,1,0,0,1,0,4,2,-0.3,Bridget Mullings,https://www.sports-reference.com/cbb/players/bridget-mullings-1.html,california-san-diego,2022-23
6,30,6,2022-11-27,UC San Diego,N,East Tennessee State,REG (Non-Conf),L 46-55,*,17,4,9,.444,1,1,1.000,3,8,.375,.500,0,2,.000,3,4,7,0,1,1,4,1,9,4.1,Bridget Mullings,https://www.sports-reference.com/cbb/players/bridget-mullings-1.html,california-san-diego,2022-23
7,31,7,2022-12-01,UC San Diego,,San Diego State,REG (Non-Conf),L 60-72,*,17,2,3,.667,0,1,.000,2,2,1.000,.667,3,3,1.000,1,1,2,0,0,1,2,2,7,4.6,Bridget Mullings,https://www.sports-reference.com/cbb/players/bridget-mullings-1.html,california-san-diego,2022-23
8,32,8,2022-12-16,UC San Diego,@,California,REG (Non-Conf),L 61-75,*,13,1,2,.500,0,0,,1,2,.500,.500,0,0,,0,1,1,0,0,0,0,3,2,0.1,Bridget Mullings,https://www.sports-reference.com/cbb/players/bridget-mullings-1.html,california-san-diego,2022-23
9,33,9,2022-12-18,UC San Diego,@,San Jose State,REG (Non-Conf),L 56-70,,18,4,8,.500,1,3,.333,3,5,.600,.563,1,2,.500,1,0,1,0,0,0,2,1,10,3.9,Bridget Mullings,https://www.sports-reference.com/cbb/players/bridget-mullings-1.html,california-san-diego,2022-23
10,34,10,2022-12-21,UC San Diego,,Seattle,REG (Non-Conf),W 61-56,,11,1,2,.500,0,0,,1,2,.500,.500,0,0,,0,1,1,0,0,0,2,1,2,-1.1,Bridget Mullings,https://www.sports-reference.com/cbb/players/bridget-mullings-1.html,california-san-diego,2022-23
