ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,13,1,2022-11-07,UC Santa Barbara,@,Santa Clara,REG (Non-Conf),W 73-61,,16,2,3,.667,0,0,,2,3,.667,.667,2,2,1.000,1,4,5,4,2,0,2,4,6,7.8,Callie Cooper,https://www.sports-reference.com/cbb/players/callie-cooper-1.html,california-santa-barbara,2022-23
2,14,2,2022-11-10,UC Santa Barbara,,Pepperdine,REG (Non-Conf),W 71-63,,23,0,3,.000,0,1,.000,0,2,.000,.000,2,4,.500,1,2,3,4,2,0,3,1,2,1.8,Callie Cooper,https://www.sports-reference.com/cbb/players/callie-cooper-1.html,california-santa-barbara,2022-23
3,15,3,2022-11-15,UC Santa Barbara,,Idaho State,REG (Non-Conf),W 54-52,,14,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,1,0,1,0,0,0,4,0,2,-1.6,Callie Cooper,https://www.sports-reference.com/cbb/players/callie-cooper-1.html,california-santa-barbara,2022-23
4,16,4,2022-11-19,UC Santa Barbara,@,Sacramento State,REG (Non-Conf),L 68-70 (OT),,16,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,2,2,2,0,0,1,1,0,-0.1,Callie Cooper,https://www.sports-reference.com/cbb/players/callie-cooper-1.html,california-santa-barbara,2022-23
5,17,5,2022-11-26,UC Santa Barbara,@,Southern Utah,REG (Non-Conf),W 102-96 (3OT),,24,1,5,.200,1,3,.333,0,2,.000,.300,1,2,.500,3,2,5,2,1,1,0,2,4,5.5,Callie Cooper,https://www.sports-reference.com/cbb/players/callie-cooper-1.html,california-santa-barbara,2022-23
6,18,6,2022-11-30,UC Santa Barbara,@,Loyola Marymount,REG (Non-Conf),W 64-49,,18,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,0,0,2,2,0,7,3,0,-5.5,Callie Cooper,https://www.sports-reference.com/cbb/players/callie-cooper-1.html,california-santa-barbara,2022-23
7,19,7,2022-12-03,UC Santa Barbara,,UCLA,REG (Non-Conf),L 57-68,,5,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,1,0,1,2,0,-0.8,Callie Cooper,https://www.sports-reference.com/cbb/players/callie-cooper-1.html,california-santa-barbara,2022-23
8,20,8,2022-12-10,UC Santa Barbara,@,California Baptist,REG (Non-Conf),L 63-69,,9,1,3,.333,0,1,.000,1,2,.500,.333,0,0,,1,1,2,0,1,0,5,1,2,-3.1,Callie Cooper,https://www.sports-reference.com/cbb/players/callie-cooper-1.html,california-santa-barbara,2022-23
9,21,9,2022-12-15,UC Santa Barbara,,Cal St Stanislaus,REG (Non-Conf),W 71-45,,18,1,3,.333,0,0,,1,3,.333,.333,1,2,.500,0,2,2,6,2,0,2,3,3,4.5,Callie Cooper,https://www.sports-reference.com/cbb/players/callie-cooper-1.html,california-santa-barbara,2022-23
10,22,10,2022-12-21,UC Santa Barbara,,Cal Lutheran,REG (Non-Conf),W 102-42,,22,1,4,.250,0,1,.000,1,3,.333,.250,0,3,.000,1,2,3,4,1,0,3,2,2,-0.3,Callie Cooper,https://www.sports-reference.com/cbb/players/callie-cooper-1.html,california-santa-barbara,2022-23
11,23,11,2022-12-29,UC Santa Barbara,,Cal State Fullerton,REG (Conf),W 66-59,,18,1,4,.250,0,1,.000,1,3,.333,.250,1,1,1.000,1,1,2,3,1,0,1,0,3,3.7,Callie Cooper,https://www.sports-reference.com/cbb/players/callie-cooper-1.html,california-santa-barbara,2022-23
12,24,12,2022-12-31,UC Santa Barbara,@,UC San Diego,REG (Conf),L 58-68,,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Callie Cooper,https://www.sports-reference.com/cbb/players/callie-cooper-1.html,california-santa-barbara,2022-23
13,25,13,2023-01-07,UC Santa Barbara,,Cal Poly,REG (Conf),W 65-59,,18,1,2,.500,1,1,1.000,0,1,.000,.750,0,0,,0,0,0,4,1,0,0,2,3,5.0,Callie Cooper,https://www.sports-reference.com/cbb/players/callie-cooper-1.html,california-santa-barbara,2022-23
14,26,14,2023-01-11,UC Santa Barbara,,Cal State Bakersfield,REG (Conf),W 63-62,,17,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,0,0,3,2,0,2,4,0,-0.2,Callie Cooper,https://www.sports-reference.com/cbb/players/callie-cooper-1.html,california-santa-barbara,2022-23
15,27,15,2023-01-14,UC Santa Barbara,@,UC Riverside,REG (Conf),W 64-60,,31,1,3,.333,0,0,,1,3,.333,.333,2,2,1.000,0,2,2,3,4,0,2,0,4,7.0,Callie Cooper,https://www.sports-reference.com/cbb/players/callie-cooper-1.html,california-santa-barbara,2022-23
16,28,16,2023-01-16,UC Santa Barbara,,UC Irvine,REG (Conf),L 60-70,,30,2,5,.400,0,1,.000,2,4,.500,.400,0,0,,2,1,3,3,1,0,3,4,4,1.5,Callie Cooper,https://www.sports-reference.com/cbb/players/callie-cooper-1.html,california-santa-barbara,2022-23
17,29,17,2023-01-19,UC Santa Barbara,@,Cal State Northridge,REG (Conf),W 70-45,,30,3,4,.750,0,0,,3,4,.750,.750,0,0,,1,6,7,7,4,0,2,4,6,12.2,Callie Cooper,https://www.sports-reference.com/cbb/players/callie-cooper-1.html,california-santa-barbara,2022-23
18,30,18,2023-01-21,UC Santa Barbara,@,Cal State Bakersfield,REG (Conf),W 56-52,,30,1,5,.200,0,2,.000,1,3,.333,.200,0,0,,1,3,4,6,4,0,1,2,2,6.9,Callie Cooper,https://www.sports-reference.com/cbb/players/callie-cooper-1.html,california-santa-barbara,2022-23
