ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,22,1,2022-11-07,Central Arkansas,@,Kansas State,REG (Non-Conf),L 43-83,*,22,1,5,.200,1,3,.333,0,2,.000,.300,0,0,,0,2,2,1,1,0,2,2,3,-0.6,Kinley Fisher,https://www.sports-reference.com/cbb/players/kinley-fisher-1.html,central-arkansas,2022-23
2,23,2,2022-11-11,Central Arkansas,@,Arkansas,REG (Non-Conf),L 34-72,*,24,3,9,.333,1,5,.200,2,4,.500,.389,0,0,,0,3,3,0,1,0,2,0,7,1.8,Kinley Fisher,https://www.sports-reference.com/cbb/players/kinley-fisher-1.html,central-arkansas,2022-23
3,24,3,2022-11-15,Central Arkansas,,Lindenwood,REG (Non-Conf),W 55-43,*,7,1,2,.500,0,1,.000,1,1,1.000,.500,0,0,,0,0,0,0,0,0,0,0,2,1.0,Kinley Fisher,https://www.sports-reference.com/cbb/players/kinley-fisher-1.html,central-arkansas,2022-23
4,25,4,2022-11-19,Central Arkansas,@,Louisiana–Monroe,REG (Non-Conf),W 60-53,,14,0,3,.000,0,2,.000,0,1,.000,.000,0,0,,0,1,1,1,0,0,0,2,0,-1.9,Kinley Fisher,https://www.sports-reference.com/cbb/players/kinley-fisher-1.html,central-arkansas,2022-23
5,26,5,2022-11-26,Central Arkansas,,Hendrix,REG (Non-Conf),W 65-54,,18,4,10,.400,2,8,.250,2,2,1.000,.500,0,0,,0,0,0,0,1,1,0,1,10,5.9,Kinley Fisher,https://www.sports-reference.com/cbb/players/kinley-fisher-1.html,central-arkansas,2022-23
6,27,6,2022-12-03,Central Arkansas,,Little Rock,REG (Non-Conf),W 53-49 (OT),,18,2,5,.400,2,4,.500,0,1,.000,.600,0,0,,0,1,1,0,0,0,2,0,6,1.6,Kinley Fisher,https://www.sports-reference.com/cbb/players/kinley-fisher-1.html,central-arkansas,2022-23
7,28,7,2022-12-06,Central Arkansas,@,Alcorn State,REG (Non-Conf),L 41-45,,12,0,3,.000,0,3,.000,0,0,,.000,0,0,,0,1,1,1,0,0,0,3,0,-2.3,Kinley Fisher,https://www.sports-reference.com/cbb/players/kinley-fisher-1.html,central-arkansas,2022-23
8,29,8,2022-12-11,Central Arkansas,@,Tulsa,REG (Non-Conf),L 51-95,,32,4,13,.308,1,6,.167,3,7,.429,.346,0,0,,2,0,2,2,0,0,2,1,9,1.9,Kinley Fisher,https://www.sports-reference.com/cbb/players/kinley-fisher-1.html,central-arkansas,2022-23
9,30,9,2022-12-19,Central Arkansas,@,Arkansas–Pine Bluff,REG (Non-Conf),L 57-61 (OT),,16,1,5,.200,1,5,.200,0,0,,.300,0,0,,0,1,1,0,0,0,0,0,3,0.2,Kinley Fisher,https://www.sports-reference.com/cbb/players/kinley-fisher-1.html,central-arkansas,2022-23
10,31,10,2022-12-21,Central Arkansas,,Champion Christian,REG (Non-Conf),W 68-48,,26,4,11,.364,3,9,.333,1,2,.500,.500,0,0,,0,3,3,2,1,0,1,1,11,6.8,Kinley Fisher,https://www.sports-reference.com/cbb/players/kinley-fisher-1.html,central-arkansas,2022-23
