ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,40,3,2022-11-16,Colgate,,Niagara,REG (Non-Conf),W 78-68 (OT),,14,1,4,.250,0,1,.000,1,3,.333,.250,0,0,,0,3,3,0,1,2,3,2,2,-0.9,Tiasia McMillan,https://www.sports-reference.com/cbb/players/tiasia-mcmillan-1.html,colgate,2022-23
2,41,4,2022-11-19,Colgate,@,Albany (NY),REG (Non-Conf),W 55-41,,18,2,2,1.000,0,0,,2,2,1.000,1.000,0,0,,1,1,2,1,0,0,2,4,4,1.5,Tiasia McMillan,https://www.sports-reference.com/cbb/players/tiasia-mcmillan-1.html,colgate,2022-23
3,42,5,2022-11-22,Colgate,,Canisius,REG (Non-Conf),L 58-64,,26,3,4,.750,0,0,,3,4,.750,.750,0,0,,1,5,6,0,0,2,3,2,6,4.2,Tiasia McMillan,https://www.sports-reference.com/cbb/players/tiasia-mcmillan-1.html,colgate,2022-23
4,43,6,2022-11-27,Colgate,@,Merrimack,REG (Non-Conf),L 56-65,,22,1,5,.200,0,0,,1,5,.200,.200,0,0,,2,0,2,1,0,0,1,1,2,-0.4,Tiasia McMillan,https://www.sports-reference.com/cbb/players/tiasia-mcmillan-1.html,colgate,2022-23
5,44,7,2022-12-03,Colgate,@,Harvard,REG (Non-Conf),L 48-62,*,19,3,6,.500,0,0,,3,6,.500,.500,0,0,,1,2,3,0,0,0,0,1,6,3.9,Tiasia McMillan,https://www.sports-reference.com/cbb/players/tiasia-mcmillan-1.html,colgate,2022-23
6,45,8,2022-12-07,Colgate,@,NJIT,REG (Non-Conf),W 69-51,*,21,6,11,.545,0,0,,6,11,.545,.545,0,0,,2,1,3,1,0,0,0,1,12,8.7,Tiasia McMillan,https://www.sports-reference.com/cbb/players/tiasia-mcmillan-1.html,colgate,2022-23
7,46,9,2022-12-10,Colgate,,Siena,REG (Non-Conf),L 58-62,*,26,3,7,.429,0,0,,3,7,.429,.429,0,0,,1,1,2,0,2,0,1,1,6,3.9,Tiasia McMillan,https://www.sports-reference.com/cbb/players/tiasia-mcmillan-1.html,colgate,2022-23
8,47,10,2022-12-17,Colgate,,SUNY Oswego,REG (Non-Conf),W 87-30,*,14,2,4,.500,0,0,,2,4,.500,.500,0,0,,1,0,1,2,0,1,0,0,4,4.8,Tiasia McMillan,https://www.sports-reference.com/cbb/players/tiasia-mcmillan-1.html,colgate,2022-23
9,48,11,2022-12-21,Colgate,@,St. Bonaventure,REG (Non-Conf),W 66-52,*,24,5,9,.556,0,0,,5,9,.556,.556,2,4,.500,2,3,5,0,0,1,3,0,12,6.9,Tiasia McMillan,https://www.sports-reference.com/cbb/players/tiasia-mcmillan-1.html,colgate,2022-23
10,49,12,2022-12-30,Colgate,,Loyola (MD),REG (Conf),L 56-61 (OT),*,34,6,8,.750,0,0,,6,8,.750,.750,0,0,,4,3,7,0,0,0,5,2,12,6.7,Tiasia McMillan,https://www.sports-reference.com/cbb/players/tiasia-mcmillan-1.html,colgate,2022-23
11,50,13,2023-01-02,Colgate,,Lehigh,REG (Conf),W 69-59,*,26,3,8,.375,0,0,,3,8,.375,.375,0,0,,2,2,4,1,2,0,3,2,6,2.5,Tiasia McMillan,https://www.sports-reference.com/cbb/players/tiasia-mcmillan-1.html,colgate,2022-23
12,51,14,2023-01-05,Colgate,@,Navy,REG (Conf),W 64-34,*,27,2,5,.400,0,0,,2,5,.400,.400,0,0,,1,5,6,2,1,0,1,1,4,4.5,Tiasia McMillan,https://www.sports-reference.com/cbb/players/tiasia-mcmillan-1.html,colgate,2022-23
13,52,15,2023-01-08,Colgate,,Army,REG (Conf),W 65-52,*,26,3,7,.429,0,0,,3,7,.429,.429,2,2,1.000,1,2,3,5,0,2,2,1,8,8.1,Tiasia McMillan,https://www.sports-reference.com/cbb/players/tiasia-mcmillan-1.html,colgate,2022-23
14,53,16,2023-01-11,Colgate,@,Boston University,REG (Conf),L 51-72,*,31,4,7,.571,0,0,,4,7,.571,.571,2,4,.500,1,1,2,0,0,0,3,2,10,3.1,Tiasia McMillan,https://www.sports-reference.com/cbb/players/tiasia-mcmillan-1.html,colgate,2022-23
15,54,17,2023-01-14,Colgate,@,Bucknell,REG (Conf),W 64-57 (OT),*,30,4,10,.400,0,0,,4,10,.400,.400,0,2,.000,1,0,1,0,1,1,1,3,8,2.0,Tiasia McMillan,https://www.sports-reference.com/cbb/players/tiasia-mcmillan-1.html,colgate,2022-23
16,55,18,2023-01-18,Colgate,,Holy Cross,REG (Conf),L 49-59,*,22,2,7,.286,0,0,,2,7,.286,.286,0,0,,4,4,8,4,0,0,1,4,4,4.1,Tiasia McMillan,https://www.sports-reference.com/cbb/players/tiasia-mcmillan-1.html,colgate,2022-23
17,56,19,2023-01-21,Colgate,@,American,REG (Conf),L 57-59,*,36,3,9,.333,0,0,,3,9,.333,.333,0,0,,1,6,7,0,1,3,3,1,6,3.1,Tiasia McMillan,https://www.sports-reference.com/cbb/players/tiasia-mcmillan-1.html,colgate,2022-23
