ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,22,1,2022-11-07,Denver,,Air Force,REG (Non-Conf),L 63-67,,25,2,8,.250,2,7,.286,0,1,.000,.375,0,0,,0,2,2,0,0,0,0,1,6,1.4,Mary Wilson,https://www.sports-reference.com/cbb/players/mary-wilson-1.html,denver,2022-23
2,23,2,2022-11-11,Denver,,Northern Colorado,REG (Non-Conf),L 68-77,*,30,4,10,.400,4,9,.444,0,1,.000,.600,0,0,,0,3,3,2,0,1,2,4,12,6.0,Mary Wilson,https://www.sports-reference.com/cbb/players/mary-wilson-1.html,denver,2022-23
3,24,3,2022-11-15,Denver,,Loyola Marymount,REG (Non-Conf),W 73-70 (OT),,21,3,7,.429,1,5,.200,2,2,1.000,.500,0,0,,0,1,1,0,1,0,1,1,7,3.2,Mary Wilson,https://www.sports-reference.com/cbb/players/mary-wilson-1.html,denver,2022-23
4,25,4,2022-11-18,Denver,@,Wyoming,REG (Non-Conf),L 45-68,,21,1,3,.333,1,3,.333,0,0,,.500,0,0,,0,1,1,0,0,0,1,1,3,0.2,Mary Wilson,https://www.sports-reference.com/cbb/players/mary-wilson-1.html,denver,2022-23
5,26,5,2022-11-25,Denver,,Houston Christian,REG (Non-Conf),L 58-63,,14,3,5,.600,3,5,.600,0,0,,.900,0,0,,0,1,1,0,0,0,4,4,9,1.4,Mary Wilson,https://www.sports-reference.com/cbb/players/mary-wilson-1.html,denver,2022-23
6,27,6,2022-11-26,Denver,,New Mexico State,REG (Non-Conf),W 60-51,,16,1,4,.250,1,4,.250,0,0,,.375,0,0,,0,0,0,1,0,0,0,0,3,1.3,Mary Wilson,https://www.sports-reference.com/cbb/players/mary-wilson-1.html,denver,2022-23
7,28,7,2022-11-30,Denver,@,Wichita State,REG (Non-Conf),L 54-61,,20,3,8,.375,3,8,.375,0,0,,.563,0,0,,1,1,2,0,0,0,0,1,9,5.2,Mary Wilson,https://www.sports-reference.com/cbb/players/mary-wilson-1.html,denver,2022-23
8,29,8,2022-12-02,Denver,@,Stetson,REG (Non-Conf),W 62-59,,11,1,4,.250,1,4,.250,0,0,,.375,0,0,,0,0,0,0,0,0,1,0,3,-0.4,Mary Wilson,https://www.sports-reference.com/cbb/players/mary-wilson-1.html,denver,2022-23
9,30,9,2022-12-06,Denver,@,Colorado State,REG (Non-Conf),L 54-85,,7,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Mary Wilson,https://www.sports-reference.com/cbb/players/mary-wilson-1.html,denver,2022-23
10,31,10,2022-12-12,Denver,,Colo. Christian,REG (Non-Conf),W 104-74,,10,1,2,.500,1,2,.500,0,0,,.750,0,0,,0,0,0,0,0,0,0,0,3,2.0,Mary Wilson,https://www.sports-reference.com/cbb/players/mary-wilson-1.html,denver,2022-23
11,32,11,2022-12-15,Denver,@,Idaho,REG (Non-Conf),L 83-91,,6,1,2,.500,1,2,.500,0,0,,.750,0,0,,0,1,1,1,0,0,1,0,3,2.0,Mary Wilson,https://www.sports-reference.com/cbb/players/mary-wilson-1.html,denver,2022-23
12,33,12,2022-12-29,Denver,@,Kansas City,REG (Conf),W 73-60,,23,7,10,.700,7,10,.700,0,0,,1.050,4,5,.800,0,0,0,1,0,0,1,4,25,18.5,Mary Wilson,https://www.sports-reference.com/cbb/players/mary-wilson-1.html,denver,2022-23
13,34,13,2022-12-31,Denver,@,Oral Roberts,REG (Conf),L 70-88,*,36,4,13,.308,4,12,.333,0,1,.000,.462,0,0,,0,2,2,1,0,0,2,0,12,3.8,Mary Wilson,https://www.sports-reference.com/cbb/players/mary-wilson-1.html,denver,2022-23
14,35,14,2023-01-05,Denver,,St. Thomas,REG (Conf),W 66-60,*,36,3,7,.429,3,7,.429,0,0,,.643,0,0,,0,0,0,0,0,0,0,1,9,4.9,Mary Wilson,https://www.sports-reference.com/cbb/players/mary-wilson-1.html,denver,2022-23
15,36,15,2023-01-07,Denver,,Western Illinois,REG (Conf),W 70-58,*,30,1,7,.143,0,5,.000,1,2,.500,.143,0,0,,2,1,3,1,0,0,1,2,2,-1.9,Mary Wilson,https://www.sports-reference.com/cbb/players/mary-wilson-1.html,denver,2022-23
16,37,16,2023-01-12,Denver,@,North Dakota State,REG (Conf),L 43-71,*,25,0,2,.000,0,2,.000,0,0,,.000,0,0,,0,1,1,1,0,0,0,0,0,-0.4,Mary Wilson,https://www.sports-reference.com/cbb/players/mary-wilson-1.html,denver,2022-23
17,38,17,2023-01-14,Denver,@,North Dakota,REG (Conf),L 57-68,*,26,0,2,.000,0,2,.000,0,0,,.000,0,0,,0,1,1,0,0,0,0,1,0,-1.5,Mary Wilson,https://www.sports-reference.com/cbb/players/mary-wilson-1.html,denver,2022-23
18,39,18,2023-01-16,Denver,,Omaha,REG (Conf),L 64-75,*,29,3,7,.429,2,5,.400,1,2,.500,.571,0,0,,0,6,6,0,0,1,1,1,8,5.4,Mary Wilson,https://www.sports-reference.com/cbb/players/mary-wilson-1.html,denver,2022-23
19,40,19,2023-01-21,Denver,,South Dakota State,REG (Conf),L 64-74,*,14,0,2,.000,0,2,.000,0,0,,.000,0,0,,0,0,0,0,0,0,0,0,0,-1.4,Mary Wilson,https://www.sports-reference.com/cbb/players/mary-wilson-1.html,denver,2022-23
20,41,20,2023-01-23,Denver,,South Dakota,REG (Conf),L 50-59,*,9,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,0,0,0,0,0,1,0,0,-1.7,Mary Wilson,https://www.sports-reference.com/cbb/players/mary-wilson-1.html,denver,2022-23
21,42,21,2023-01-26,Denver,,Oral Roberts,REG (Conf),L 83-93,,19,4,7,.571,4,7,.571,0,0,,.857,0,0,,0,0,0,0,1,0,2,0,12,7.7,Mary Wilson,https://www.sports-reference.com/cbb/players/mary-wilson-1.html,denver,2022-23
22,43,22,2023-01-28,Denver,,Kansas City,REG (Conf),W 69-60,,11,0,4,.000,0,4,.000,0,0,,.000,0,0,,0,0,0,0,0,0,0,0,0,-2.8,Mary Wilson,https://www.sports-reference.com/cbb/players/mary-wilson-1.html,denver,2022-23
23,44,23,2023-02-02,Denver,@,Western Illinois,REG (Conf),W 72-61,,11,0,4,.000,0,4,.000,0,0,,.000,0,0,,1,0,1,0,0,0,0,0,0,-2.1,Mary Wilson,https://www.sports-reference.com/cbb/players/mary-wilson-1.html,denver,2022-23
24,45,24,2023-02-04,Denver,@,St. Thomas,REG (Conf),W 62-51,,6,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,Mary Wilson,https://www.sports-reference.com/cbb/players/mary-wilson-1.html,denver,2022-23
25,46,25,2023-02-09,Denver,,North Dakota,REG (Conf),L 67-82,,9,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,Mary Wilson,https://www.sports-reference.com/cbb/players/mary-wilson-1.html,denver,2022-23
26,47,26,2023-02-11,Denver,,North Dakota State,REG (Conf),W 83-71,,3,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Mary Wilson,https://www.sports-reference.com/cbb/players/mary-wilson-1.html,denver,2022-23
27,48,27,2023-02-16,Denver,@,South Dakota State,REG (Conf),L 34-82,,6,1,2,.500,1,2,.500,0,0,,.750,0,0,,1,0,1,0,0,0,0,0,3,2.7,Mary Wilson,https://www.sports-reference.com/cbb/players/mary-wilson-1.html,denver,2022-23
28,49,30,2023-03-03,Denver,N,Kansas City,CTOURN,L 65-66,,4,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,Mary Wilson,https://www.sports-reference.com/cbb/players/mary-wilson-1.html,denver,2022-23
