ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,1,2,2022-11-11,Denver,,Northern Colorado,REG (Non-Conf),L 68-77,,10,3,4,.750,0,0,,3,4,.750,.750,2,2,1.000,0,2,2,2,0,0,1,1,8,7.0,Mikenzie Jones,https://www.sports-reference.com/cbb/players/mikenzie-jones-1.html,denver,2022-23
2,2,3,2022-11-15,Denver,,Loyola Marymount,REG (Non-Conf),W 73-70 (OT),,3,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,0,0,0,0,0,0,0,0,2,1.7,Mikenzie Jones,https://www.sports-reference.com/cbb/players/mikenzie-jones-1.html,denver,2022-23
3,3,4,2022-11-18,Denver,@,Wyoming,REG (Non-Conf),L 45-68,,5,0,2,.000,0,0,,0,2,.000,.000,0,0,,0,1,1,0,1,0,0,0,0,-0.1,Mikenzie Jones,https://www.sports-reference.com/cbb/players/mikenzie-jones-1.html,denver,2022-23
4,4,6,2022-11-26,Denver,,New Mexico State,REG (Non-Conf),W 60-51,,7,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,0,1,1,0,0,0,1,3,2,-0.2,Mikenzie Jones,https://www.sports-reference.com/cbb/players/mikenzie-jones-1.html,denver,2022-23
5,5,7,2022-11-30,Denver,@,Wichita State,REG (Non-Conf),L 54-61,,1,0,1,.000,0,0,,0,1,.000,.000,0,0,,1,0,1,0,0,0,0,0,0,0.0,Mikenzie Jones,https://www.sports-reference.com/cbb/players/mikenzie-jones-1.html,denver,2022-23
6,6,8,2022-12-02,Denver,@,Stetson,REG (Non-Conf),W 62-59,,6,1,2,.500,0,0,,1,2,.500,.500,0,0,,0,1,1,1,0,0,0,0,2,2.0,Mikenzie Jones,https://www.sports-reference.com/cbb/players/mikenzie-jones-1.html,denver,2022-23
7,7,9,2022-12-06,Denver,@,Colorado State,REG (Non-Conf),L 54-85,,7,0,2,.000,0,0,,0,2,.000,.000,0,0,,1,2,3,0,0,1,0,0,0,0.6,Mikenzie Jones,https://www.sports-reference.com/cbb/players/mikenzie-jones-1.html,denver,2022-23
8,8,10,2022-12-12,Denver,,Colo. Christian,REG (Non-Conf),W 104-74,,14,5,6,.833,0,0,,5,6,.833,.833,0,0,,1,1,2,1,1,2,1,4,10,9.3,Mikenzie Jones,https://www.sports-reference.com/cbb/players/mikenzie-jones-1.html,denver,2022-23
9,9,11,2022-12-15,Denver,@,Idaho,REG (Non-Conf),L 83-91,,3,0,2,.000,0,0,,0,2,.000,.000,0,0,,0,0,0,0,0,0,0,0,0,-1.4,Mikenzie Jones,https://www.sports-reference.com/cbb/players/mikenzie-jones-1.html,denver,2022-23
10,10,12,2022-12-29,Denver,@,Kansas City,REG (Conf),W 73-60,,5,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,0,0,0,0,1,0,0,0,2,2.7,Mikenzie Jones,https://www.sports-reference.com/cbb/players/mikenzie-jones-1.html,denver,2022-23
