ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,54,1,2022-11-07,Duke,,North Carolina A&T,REG (Non-Conf),W 77-57,*,18,6,6,1.000,0,0,,6,6,1.000,1.000,1,2,.500,0,3,3,0,0,2,1,5,13,10.1,Kennedy Brown,https://www.sports-reference.com/cbb/players/kennedy-brown-2.html,duke,2022-23
2,55,2,2022-11-10,Duke,,Charleston Southern,REG (Non-Conf),W 111-50,*,14,3,6,.500,0,0,,3,6,.500,.500,4,4,1.000,2,1,3,1,2,0,1,1,10,10.0,Kennedy Brown,https://www.sports-reference.com/cbb/players/kennedy-brown-2.html,duke,2022-23
3,56,3,2022-11-12,Duke,@,Davidson,REG (Non-Conf),W 60-37,*,32,4,8,.500,0,0,,4,8,.500,.500,0,0,,5,2,7,2,0,1,1,1,8,8.8,Kennedy Brown,https://www.sports-reference.com/cbb/players/kennedy-brown-2.html,duke,2022-23
4,57,4,2022-11-17,Duke,,Texas A&M,REG (Non-Conf),W 71-52,*,27,4,5,.800,0,0,,4,5,.800,.800,3,4,.750,1,3,4,1,0,1,4,2,11,6.9,Kennedy Brown,https://www.sports-reference.com/cbb/players/kennedy-brown-2.html,duke,2022-23
5,58,5,2022-11-20,Duke,@,Toledo,REG (Non-Conf),W 58-41,*,23,6,10,.600,0,2,.000,6,8,.750,.600,0,0,,2,7,9,3,1,1,6,4,12,7.1,Kennedy Brown,https://www.sports-reference.com/cbb/players/kennedy-brown-2.html,duke,2022-23
6,59,6,2022-11-25,Duke,N,Connecticut,REG (Non-Conf),L 50-78,*,28,1,2,.500,0,0,,1,2,.500,.500,1,2,.500,1,2,3,1,0,1,1,3,3,2.1,Kennedy Brown,https://www.sports-reference.com/cbb/players/kennedy-brown-2.html,duke,2022-23
7,60,7,2022-11-27,Duke,N,Oregon State,REG (Non-Conf),W 54-41,*,25,4,9,.444,0,0,,4,9,.444,.444,0,0,,4,4,8,0,1,2,1,2,8,7.9,Kennedy Brown,https://www.sports-reference.com/cbb/players/kennedy-brown-2.html,duke,2022-23
8,61,8,2022-12-01,Duke,,Northwestern,REG (Non-Conf),W 66-50,*,14,3,5,.600,0,0,,3,5,.600,.600,2,2,1.000,0,7,7,0,0,0,3,3,8,3.6,Kennedy Brown,https://www.sports-reference.com/cbb/players/kennedy-brown-2.html,duke,2022-23
9,62,9,2022-12-04,Duke,@,Richmond,REG (Non-Conf),W 100-49,*,19,6,7,.857,0,0,,6,7,.857,.857,3,3,1.000,1,4,5,2,0,0,1,2,15,14.0,Kennedy Brown,https://www.sports-reference.com/cbb/players/kennedy-brown-2.html,duke,2022-23
10,63,10,2022-12-08,Duke,,Austin Peay,REG (Non-Conf),W 74-31,*,19,3,8,.375,0,0,,3,8,.375,.375,0,0,,0,3,3,0,0,2,0,0,6,3.9,Kennedy Brown,https://www.sports-reference.com/cbb/players/kennedy-brown-2.html,duke,2022-23
11,64,11,2022-12-11,Duke,@,Florida Gulf Coast,REG (Non-Conf),W 71-48,*,21,1,5,.200,0,0,,1,5,.200,.200,2,2,1.000,2,0,2,0,0,0,2,2,4,-0.5,Kennedy Brown,https://www.sports-reference.com/cbb/players/kennedy-brown-2.html,duke,2022-23
12,65,12,2022-12-21,Duke,,Virginia,REG (Conf),W 70-56,*,32,5,11,.455,0,0,,5,11,.455,.455,2,4,.500,1,1,2,4,0,5,2,1,12,10.4,Kennedy Brown,https://www.sports-reference.com/cbb/players/kennedy-brown-2.html,duke,2022-23
13,66,13,2022-12-29,Duke,@,NC State,REG (Conf),W 72-58,*,32,4,9,.444,0,0,,4,9,.444,.444,2,2,1.000,2,3,5,2,2,2,0,2,10,11.6,Kennedy Brown,https://www.sports-reference.com/cbb/players/kennedy-brown-2.html,duke,2022-23
14,67,14,2023-01-01,Duke,,Louisville,REG (Conf),W 63-56,*,29,1,6,.167,0,0,,1,6,.167,.167,1,2,.500,3,3,6,2,0,0,1,2,3,1.4,Kennedy Brown,https://www.sports-reference.com/cbb/players/kennedy-brown-2.html,duke,2022-23
15,68,15,2023-01-05,Duke,@,Wake Forest,REG (Conf),W 60-50,*,31,3,8,.375,0,0,,3,8,.375,.375,0,0,,1,4,5,0,1,0,3,4,6,-0.1,Kennedy Brown,https://www.sports-reference.com/cbb/players/kennedy-brown-2.html,duke,2022-23
16,69,16,2023-01-12,Duke,,Clemson,REG (Conf),W 66-56,*,21,0,3,.000,0,0,,0,3,.000,.000,1,2,.500,1,3,4,2,1,5,3,4,1,1.4,Kennedy Brown,https://www.sports-reference.com/cbb/players/kennedy-brown-2.html,duke,2022-23
