ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,1,1,2022-11-07,East Carolina,,South Carolina State,REG (Non-Conf),W 71-35,*,19,5,13,.385,0,6,.000,5,7,.714,.385,2,5,.400,5,3,8,3,2,0,4,3,12,7.0,Amiya Joyner,https://www.sports-reference.com/cbb/players/amiya-joyner-1.html,east-carolina,2022-23
2,2,2,2022-11-10,East Carolina,,Wake Forest,REG (Non-Conf),L 46-57,*,31,3,10,.300,0,4,.000,3,6,.500,.300,4,8,.500,2,5,7,0,0,1,3,2,10,2.4,Amiya Joyner,https://www.sports-reference.com/cbb/players/amiya-joyner-1.html,east-carolina,2022-23
3,3,5,2022-11-20,East Carolina,,Charleston Southern,REG (Non-Conf),W 64-31,,14,2,7,.286,0,1,.000,2,6,.333,.286,0,0,,5,5,10,0,1,1,1,3,4,4.4,Amiya Joyner,https://www.sports-reference.com/cbb/players/amiya-joyner-1.html,east-carolina,2022-23
4,4,6,2022-11-26,East Carolina,N,Liberty,REG (Non-Conf),W 72-64,,20,1,2,.500,0,1,.000,1,1,1.000,.500,3,4,.750,4,0,4,2,1,3,1,0,5,9.9,Amiya Joyner,https://www.sports-reference.com/cbb/players/amiya-joyner-1.html,east-carolina,2022-23
5,5,7,2022-11-27,East Carolina,@,Virginia,REG (Non-Conf),L 50-72,,17,1,2,.500,0,1,.000,1,1,1.000,.500,0,0,,0,0,0,0,1,0,3,1,2,-1.4,Amiya Joyner,https://www.sports-reference.com/cbb/players/amiya-joyner-1.html,east-carolina,2022-23
6,6,8,2022-12-01,East Carolina,@,George Mason,REG (Non-Conf),L 41-54,,10,0,2,.000,0,1,.000,0,1,.000,.000,2,2,1.000,0,2,2,0,0,1,3,2,2,-1.9,Amiya Joyner,https://www.sports-reference.com/cbb/players/amiya-joyner-1.html,east-carolina,2022-23
7,7,9,2022-12-04,East Carolina,,VCU,REG (Non-Conf),W 69-51,,17,0,1,.000,0,0,,0,1,.000,.000,2,2,1.000,1,1,2,1,2,1,2,3,2,2.5,Amiya Joyner,https://www.sports-reference.com/cbb/players/amiya-joyner-1.html,east-carolina,2022-23
8,8,10,2022-12-06,East Carolina,,Maryland Eastern Shore,REG (Non-Conf),W 67-41,,22,3,6,.500,0,2,.000,3,4,.750,.500,1,4,.250,0,3,3,2,0,1,3,3,7,1.6,Amiya Joyner,https://www.sports-reference.com/cbb/players/amiya-joyner-1.html,east-carolina,2022-23
9,9,11,2022-12-15,East Carolina,@,Gardner-Webb,REG (Non-Conf),L 59-67,,22,5,9,.556,0,0,,5,9,.556,.556,0,0,,3,3,6,2,1,1,3,3,10,7.6,Amiya Joyner,https://www.sports-reference.com/cbb/players/amiya-joyner-1.html,east-carolina,2022-23
10,10,12,2022-12-19,East Carolina,,North Carolina A&T,REG (Non-Conf),W 79-49,*,30,4,8,.500,2,2,1.000,2,6,.333,.625,1,3,.333,5,6,11,2,2,2,5,1,11,10.9,Amiya Joyner,https://www.sports-reference.com/cbb/players/amiya-joyner-1.html,east-carolina,2022-23
