ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,108,1,2022-11-07,Evansville,@,Eastern Kentucky,REG (Non-Conf),W 89-81,*,36,3,12,.250,2,5,.400,1,7,.143,.333,7,9,.778,1,2,3,8,2,0,4,5,15,9.9,Anna Newman,https://www.sports-reference.com/cbb/players/anna-newman-1.html,evansville,2022-23
2,109,2,2022-11-10,Evansville,@,Iowa,REG (Non-Conf),L 62-115,*,28,0,5,.000,0,1,.000,0,4,.000,.000,1,2,.500,0,0,0,5,1,0,3,2,1,-2.2,Anna Newman,https://www.sports-reference.com/cbb/players/anna-newman-1.html,evansville,2022-23
3,110,3,2022-11-16,Evansville,,Chicago State,REG (Non-Conf),W 82-57,*,21,1,6,.167,0,3,.000,1,3,.333,.167,1,2,.500,0,3,3,4,1,0,2,3,3,0.3,Anna Newman,https://www.sports-reference.com/cbb/players/anna-newman-1.html,evansville,2022-23
4,111,4,2022-11-19,Evansville,@,Illinois,REG (Non-Conf),L 54-93,*,27,2,10,.200,0,1,.000,2,9,.222,.200,0,0,,2,3,5,2,0,0,0,2,4,0.7,Anna Newman,https://www.sports-reference.com/cbb/players/anna-newman-1.html,evansville,2022-23
5,112,6,2022-12-02,Evansville,@,Morehead State,REG (Non-Conf),W 75-65,*,24,1,5,.200,0,2,.000,1,3,.333,.200,2,4,.500,3,3,6,5,0,0,2,2,4,3.8,Anna Newman,https://www.sports-reference.com/cbb/players/anna-newman-1.html,evansville,2022-23
6,113,7,2022-12-08,Evansville,@,Bellarmine,REG (Non-Conf),L 40-60,*,23,2,4,.500,0,0,,2,4,.500,.500,1,4,.250,0,4,4,2,0,0,1,2,5,2.6,Anna Newman,https://www.sports-reference.com/cbb/players/anna-newman-1.html,evansville,2022-23
7,114,8,2022-12-18,Evansville,,Southeast Missouri State,REG (Non-Conf),W 64-53,*,28,1,5,.200,0,3,.000,1,2,.500,.200,5,6,.833,0,1,1,1,2,0,7,4,7,-2.1,Anna Newman,https://www.sports-reference.com/cbb/players/anna-newman-1.html,evansville,2022-23
8,115,9,2022-12-29,Evansville,,Southern Illinois,REG (Conf),L 77-86,*,39,6,8,.750,1,3,.333,5,5,1.000,.813,4,5,.800,0,4,4,7,1,0,5,1,17,15.1,Anna Newman,https://www.sports-reference.com/cbb/players/anna-newman-1.html,evansville,2022-23
9,116,10,2022-12-31,Evansville,,Missouri State,REG (Conf),L 61-73,*,29,1,5,.200,0,1,.000,1,4,.250,.200,0,0,,1,1,2,3,0,0,3,3,2,-2.2,Anna Newman,https://www.sports-reference.com/cbb/players/anna-newman-1.html,evansville,2022-23
10,117,11,2023-01-05,Evansville,@,Valparaiso,REG (Conf),W 57-45,*,22,2,8,.250,0,1,.000,2,7,.286,.250,2,2,1.000,0,1,1,4,2,0,1,1,6,4.9,Anna Newman,https://www.sports-reference.com/cbb/players/anna-newman-1.html,evansville,2022-23
