ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,12,1,2022-11-10,Georgia Tech,,Georgia State,REG (Non-Conf),W 60-42,,13,0,0,,0,0,0,0,,,2,2,1.000,1,6,7,1,0,2,2,0,2,4.6,Carmyn Harrison,https://www.sports-reference.com/cbb/players/carmyn-harrison-1.html,georgia-tech,2022-23
2,13,2,2022-11-13,Georgia Tech,,Kennesaw State,REG (Non-Conf),W 65-39,,7,0,0,,0,0,0,0,,,0,0,,1,1,2,0,0,0,0,0,0,1.0,Carmyn Harrison,https://www.sports-reference.com/cbb/players/carmyn-harrison-1.html,georgia-tech,2022-23
3,14,3,2022-11-16,Georgia Tech,@,Auburn,REG (Non-Conf),W 57-51,,4,0,0,,0,0,0,0,,,0,0,,0,2,2,0,0,0,0,2,0,-0.2,Carmyn Harrison,https://www.sports-reference.com/cbb/players/carmyn-harrison-1.html,georgia-tech,2022-23
4,15,4,2022-11-20,Georgia Tech,,Georgia,REG (Non-Conf),L 52-66,,12,0,0,,0,0,0,0,,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,Carmyn Harrison,https://www.sports-reference.com/cbb/players/carmyn-harrison-1.html,georgia-tech,2022-23
5,16,5,2022-11-25,Georgia Tech,N,South Florida,REG (Non-Conf),L 50-63,,1,0,0,,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,Carmyn Harrison,https://www.sports-reference.com/cbb/players/carmyn-harrison-1.html,georgia-tech,2022-23
6,17,7,2022-11-27,Georgia Tech,N,Belmont,REG (Non-Conf),W 58-52,,5,0,0,,0,0,0,0,,,0,0,,0,1,1,0,0,0,0,3,0,-0.9,Carmyn Harrison,https://www.sports-reference.com/cbb/players/carmyn-harrison-1.html,georgia-tech,2022-23
7,18,8,2022-12-01,Georgia Tech,@,Michigan State,REG (Non-Conf),W 66-63,,1,0,0,,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,Carmyn Harrison,https://www.sports-reference.com/cbb/players/carmyn-harrison-1.html,georgia-tech,2022-23
8,19,9,2022-12-04,Georgia Tech,@,Belmont,REG (Non-Conf),W 59-55,,2,0,0,,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,Carmyn Harrison,https://www.sports-reference.com/cbb/players/carmyn-harrison-1.html,georgia-tech,2022-23
9,20,10,2022-12-11,Georgia Tech,,Central Michigan,REG (Non-Conf),W 71-45,,7,1,1,1.000,0,0,1,1,1.000,1.000,0,0,,1,1,2,0,0,0,1,0,2,1.7,Carmyn Harrison,https://www.sports-reference.com/cbb/players/carmyn-harrison-1.html,georgia-tech,2022-23
10,21,12,2022-12-21,Georgia Tech,,Furman,REG (Non-Conf),W 82-41,,8,1,1,1.000,0,0,1,1,1.000,1.000,0,0,,1,1,2,0,0,1,0,0,2,3.4,Carmyn Harrison,https://www.sports-reference.com/cbb/players/carmyn-harrison-1.html,georgia-tech,2022-23
11,22,15,2023-01-05,Georgia Tech,@,Louisville,REG (Conf),L 55-63,,6,0,1,.000,0,0,0,1,.000,.000,0,0,,0,1,1,0,0,0,0,0,0,-0.4,Carmyn Harrison,https://www.sports-reference.com/cbb/players/carmyn-harrison-1.html,georgia-tech,2022-23
12,23,17,2023-01-12,Georgia Tech,,Miami (FL),REG (Conf),L 60-69,,2,0,0,,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,Carmyn Harrison,https://www.sports-reference.com/cbb/players/carmyn-harrison-1.html,georgia-tech,2022-23
13,24,20,2023-01-22,Georgia Tech,@,North Carolina,REG (Conf),L 57-70,,11,1,1,1.000,0,0,1,1,1.000,1.000,2,4,.500,1,3,4,0,2,1,1,2,4,5.4,Carmyn Harrison,https://www.sports-reference.com/cbb/players/carmyn-harrison-1.html,georgia-tech,2022-23
14,25,21,2023-01-26,Georgia Tech,,Clemson,REG (Conf),W 85-74,,5,0,0,,0,0,0,0,,,0,0,,0,2,2,1,0,0,0,1,0,0.9,Carmyn Harrison,https://www.sports-reference.com/cbb/players/carmyn-harrison-1.html,georgia-tech,2022-23
15,26,22,2023-02-02,Georgia Tech,,NC State,REG (Conf),W 68-62,,3,0,0,,0,0,0,0,,,0,0,,0,1,1,0,0,0,0,0,0,0.3,Carmyn Harrison,https://www.sports-reference.com/cbb/players/carmyn-harrison-1.html,georgia-tech,2022-23
16,27,23,2023-02-05,Georgia Tech,@,Miami (FL),REG (Conf),L 58-64,,2,0,0,,0,0,0,0,,,0,0,,0,1,1,0,0,0,0,0,0,0.3,Carmyn Harrison,https://www.sports-reference.com/cbb/players/carmyn-harrison-1.html,georgia-tech,2022-23
17,28,24,2023-02-09,Georgia Tech,@,Clemson,REG (Conf),L 41-57,,4,1,2,.500,0,0,1,2,.500,.500,0,0,,2,0,2,0,0,0,0,1,2,2.0,Carmyn Harrison,https://www.sports-reference.com/cbb/players/carmyn-harrison-1.html,georgia-tech,2022-23
18,29,25,2023-02-12,Georgia Tech,,Pittsburgh,REG (Conf),L 79-85 (2OT),,3,1,1,1.000,0,0,1,1,1.000,1.000,0,0,,0,0,0,0,0,0,0,0,2,1.7,Carmyn Harrison,https://www.sports-reference.com/cbb/players/carmyn-harrison-1.html,georgia-tech,2022-23
19,30,26,2023-02-16,Georgia Tech,,Wake Forest,REG (Conf),W 63-55,,0,0,0,,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,Carmyn Harrison,https://www.sports-reference.com/cbb/players/carmyn-harrison-1.html,georgia-tech,2022-23
20,31,28,2023-02-23,Georgia Tech,@,Notre Dame,REG (Conf),L 53-76,,7,0,0,,0,0,0,0,,,0,0,,0,2,2,1,0,0,0,0,0,1.3,Carmyn Harrison,https://www.sports-reference.com/cbb/players/carmyn-harrison-1.html,georgia-tech,2022-23
21,32,29,2023-02-26,Georgia Tech,,Virginia Tech,REG (Conf),L 52-65,,2,0,0,,0,0,0,0,,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,Carmyn Harrison,https://www.sports-reference.com/cbb/players/carmyn-harrison-1.html,georgia-tech,2022-23
22,33,30,2023-03-01,Georgia Tech,N,Boston College,CTOURN,L 57-62,,6,0,1,.000,0,0,0,1,.000,.000,0,0,,1,0,1,0,0,0,0,0,0,0.0,Carmyn Harrison,https://www.sports-reference.com/cbb/players/carmyn-harrison-1.html,georgia-tech,2022-23
