ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,43,1,2022-11-07,Hampton,,Mid-Atl Christian,REG (Non-Conf),W 110-26,*,18,10,13,.769,1,4,.250,9,9,1.000,.808,0,0,,1,1,2,1,8,0,4,3,21,20.4,Victoria Mason,https://www.sports-reference.com/cbb/players/victoria-mason-1.html,hampton,2022-23
2,44,2,2022-11-12,Hampton,,Delaware State,REG (Non-Conf),W 67-48,*,29,3,4,.750,1,2,.500,2,2,1.000,.875,0,0,,0,2,2,4,4,0,2,0,7,10.8,Victoria Mason,https://www.sports-reference.com/cbb/players/victoria-mason-1.html,hampton,2022-23
3,45,3,2022-11-17,Hampton,@,Liberty,REG (Non-Conf),L 48-79,*,32,1,5,.200,0,2,.000,1,3,.333,.200,3,4,.750,0,1,1,6,3,0,3,3,5,4.8,Victoria Mason,https://www.sports-reference.com/cbb/players/victoria-mason-1.html,hampton,2022-23
4,46,4,2022-11-20,Hampton,@,Richmond,REG (Non-Conf),L 65-68 (OT),*,43,3,6,.500,0,3,.000,3,3,1.000,.500,0,0,,1,2,3,7,4,0,2,3,6,10.0,Victoria Mason,https://www.sports-reference.com/cbb/players/victoria-mason-1.html,hampton,2022-23
5,47,5,2022-11-27,Hampton,@,South Carolina,REG (Non-Conf),L 38-85,*,27,1,3,.333,0,2,.000,1,1,1.000,.333,0,0,,0,0,0,1,0,0,1,4,2,-1.6,Victoria Mason,https://www.sports-reference.com/cbb/players/victoria-mason-1.html,hampton,2022-23
6,48,6,2022-12-01,Hampton,@,Norfolk State,REG (Non-Conf),L 56-65,*,22,0,6,.000,0,2,.000,0,4,.000,.000,0,0,,0,1,1,4,2,0,4,2,0,-3.9,Victoria Mason,https://www.sports-reference.com/cbb/players/victoria-mason-1.html,hampton,2022-23
7,49,7,2022-12-07,Hampton,@,Saint Peter's,REG (Non-Conf),W 66-57,*,29,2,6,.333,0,2,.000,2,4,.500,.333,1,2,.500,2,1,3,4,3,0,0,5,5,6.7,Victoria Mason,https://www.sports-reference.com/cbb/players/victoria-mason-1.html,hampton,2022-23
8,50,8,2022-12-10,Hampton,@,Rutgers,REG (Non-Conf),L 68-76,*,38,2,8,.250,0,2,.000,2,6,.333,.250,1,2,.500,1,3,4,8,3,0,0,5,5,8.0,Victoria Mason,https://www.sports-reference.com/cbb/players/victoria-mason-1.html,hampton,2022-23
9,51,9,2022-12-17,Hampton,,James Madison,REG (Non-Conf),L 52-57,*,36,1,6,.167,0,2,.000,1,4,.250,.167,3,8,.375,1,2,3,5,1,0,4,1,5,0.6,Victoria Mason,https://www.sports-reference.com/cbb/players/victoria-mason-1.html,hampton,2022-23
10,52,10,2022-12-21,Hampton,,East Carolina,REG (Non-Conf),L 60-64,*,35,3,6,.500,0,1,.000,3,5,.600,.500,1,2,.500,0,0,0,3,5,1,7,2,7,3.6,Victoria Mason,https://www.sports-reference.com/cbb/players/victoria-mason-1.html,hampton,2022-23
11,53,11,2023-01-01,Hampton,@,Elon,REG (Conf),W 57-54,*,38,5,10,.500,1,1,1.000,4,9,.444,.550,3,4,.750,1,0,1,2,5,0,5,3,14,9.5,Victoria Mason,https://www.sports-reference.com/cbb/players/victoria-mason-1.html,hampton,2022-23
12,54,12,2023-01-06,Hampton,,College of Charleston,REG (Conf),W 56-50,*,30,3,7,.429,0,3,.000,3,4,.750,.429,1,2,.500,0,2,2,3,6,0,0,2,7,10.8,Victoria Mason,https://www.sports-reference.com/cbb/players/victoria-mason-1.html,hampton,2022-23
13,55,13,2023-01-08,Hampton,@,Towson,REG (Conf),L 47-86,*,29,2,8,.250,0,0,,2,8,.250,.250,4,6,.667,0,3,3,4,2,0,3,2,8,4.3,Victoria Mason,https://www.sports-reference.com/cbb/players/victoria-mason-1.html,hampton,2022-23
14,56,14,2023-01-13,Hampton,,Drexel,REG (Conf),L 51-67,*,26,0,4,.000,0,1,.000,0,3,.000,.000,3,4,.750,0,0,0,0,1,0,3,4,3,-3.8,Victoria Mason,https://www.sports-reference.com/cbb/players/victoria-mason-1.html,hampton,2022-23
