ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,44,1,2022-11-07,Hawaii,@,Oregon State,REG (Non-Conf),L 60-61,*,15,2,4,.500,1,1,1.000,1,3,.333,.625,0,0,,0,2,2,0,1,0,1,1,5,3.2,Nnenna Orji,https://www.sports-reference.com/cbb/players/nnenna-orji-1.html,hawaii,2022-23
2,45,2,2022-11-09,Hawaii,@,Portland,REG (Non-Conf),L 54-70,*,10,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,0,0,1,0,1,0,4,0,-0.9,Nnenna Orji,https://www.sports-reference.com/cbb/players/nnenna-orji-1.html,hawaii,2022-23
3,46,3,2022-11-18,Hawaii,,Florida Gulf Coast,REG (Non-Conf),L 45-65,,10,1,3,.333,0,0,,1,3,.333,.333,1,4,.250,1,4,5,1,0,0,4,0,3,-1.3,Nnenna Orji,https://www.sports-reference.com/cbb/players/nnenna-orji-1.html,hawaii,2022-23
4,47,4,2022-11-20,Hawaii,,Lipscomb,REG (Non-Conf),L 69-73 (OT),,17,1,6,.167,0,2,.000,1,4,.250,.167,0,0,,0,2,2,0,0,0,1,3,2,-3.4,Nnenna Orji,https://www.sports-reference.com/cbb/players/nnenna-orji-1.html,hawaii,2022-23
5,48,5,2022-11-25,Hawaii,,Grambling State,REG (Non-Conf),W 63-47,,3,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,1,1,0,0,0,1,1,0,-1.8,Nnenna Orji,https://www.sports-reference.com/cbb/players/nnenna-orji-1.html,hawaii,2022-23
6,49,7,2022-11-27,Hawaii,,Stanford,REG (Non-Conf),L 39-68,,13,0,3,.000,0,1,.000,0,2,.000,.000,0,0,,0,0,0,0,0,0,0,3,0,-3.3,Nnenna Orji,https://www.sports-reference.com/cbb/players/nnenna-orji-1.html,hawaii,2022-23
7,50,8,2022-12-11,Hawaii,,UNLV,REG (Non-Conf),L 66-76,,12,1,4,.250,1,1,1.000,0,3,.000,.375,0,0,,0,1,1,1,0,0,1,1,3,0.2,Nnenna Orji,https://www.sports-reference.com/cbb/players/nnenna-orji-1.html,hawaii,2022-23
8,51,9,2022-12-21,Hawaii,@,San Jose State,REG (Non-Conf),W 54-43,,7,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,0,1,1,0,0,0,0,1,2,1.6,Nnenna Orji,https://www.sports-reference.com/cbb/players/nnenna-orji-1.html,hawaii,2022-23
9,52,10,2022-12-29,Hawaii,@,UC Davis,REG (Conf),W 70-62,,14,3,4,.750,0,0,,3,4,.750,.750,4,6,.667,0,1,1,1,0,0,2,2,10,5.8,Nnenna Orji,https://www.sports-reference.com/cbb/players/nnenna-orji-1.html,hawaii,2022-23
10,53,11,2022-12-31,Hawaii,@,Cal Poly,REG (Conf),W 50-47,,5,0,0,,0,0,,0,0,,,1,2,.500,1,1,2,0,0,0,2,0,1,-0.4,Nnenna Orji,https://www.sports-reference.com/cbb/players/nnenna-orji-1.html,hawaii,2022-23
11,54,12,2023-01-06,Hawaii,,UC San Diego,REG (Conf),L 57-60,,3,0,3,.000,0,2,.000,0,1,.000,.000,0,0,,0,0,0,0,0,0,0,1,0,-2.5,Nnenna Orji,https://www.sports-reference.com/cbb/players/nnenna-orji-1.html,hawaii,2022-23
12,55,14,2023-01-14,Hawaii,@,Long Beach State,REG (Conf),L 48-62,,17,0,1,.000,0,0,,0,1,.000,.000,5,6,.833,3,4,7,2,0,1,2,1,5,6.9,Nnenna Orji,https://www.sports-reference.com/cbb/players/nnenna-orji-1.html,hawaii,2022-23
13,56,16,2023-01-20,Hawaii,,UC Irvine,REG (Conf),L 67-71 (OT),,20,5,8,.625,0,0,,5,8,.625,.625,2,4,.500,0,1,1,2,0,0,3,4,12,4.7,Nnenna Orji,https://www.sports-reference.com/cbb/players/nnenna-orji-1.html,hawaii,2022-23
14,57,18,2023-01-26,Hawaii,@,UC Santa Barbara,REG (Conf),L 69-72,,9,2,3,.667,0,1,.000,2,2,1.000,.667,0,0,,0,0,0,0,0,0,0,3,4,1.5,Nnenna Orji,https://www.sports-reference.com/cbb/players/nnenna-orji-1.html,hawaii,2022-23
15,58,19,2023-01-28,Hawaii,@,Cal State Bakersfield,REG (Conf),W 51-47,,8,2,2,1.000,0,0,,2,2,1.000,1.000,1,1,1.000,1,0,1,0,0,0,1,2,5,3.3,Nnenna Orji,https://www.sports-reference.com/cbb/players/nnenna-orji-1.html,hawaii,2022-23
16,59,20,2023-02-03,Hawaii,,UC Davis,REG (Conf),L 47-57,,22,2,4,.500,0,0,,2,4,.500,.500,2,5,.400,2,6,8,0,1,1,1,0,6,6.7,Nnenna Orji,https://www.sports-reference.com/cbb/players/nnenna-orji-1.html,hawaii,2022-23
17,60,21,2023-02-05,Hawaii,,Cal Poly,REG (Conf),W 80-58,,17,1,3,.333,0,0,,1,3,.333,.333,2,2,1.000,3,1,4,1,0,1,1,1,4,4.7,Nnenna Orji,https://www.sports-reference.com/cbb/players/nnenna-orji-1.html,hawaii,2022-23
18,61,22,2023-02-09,Hawaii,@,UC San Diego,REG (Conf),W 61-58,,11,2,4,.500,0,0,,2,4,.500,.500,0,0,,0,1,1,2,0,1,3,3,4,0.2,Nnenna Orji,https://www.sports-reference.com/cbb/players/nnenna-orji-1.html,hawaii,2022-23
19,62,23,2023-02-11,Hawaii,@,Cal State Fullerton,REG (Conf),W 60-54,,20,5,9,.556,0,0,,5,9,.556,.556,0,0,,1,5,6,0,0,1,3,0,10,5.6,Nnenna Orji,https://www.sports-reference.com/cbb/players/nnenna-orji-1.html,hawaii,2022-23
20,63,24,2023-02-18,Hawaii,,Long Beach State,REG (Conf),L 47-48,,18,1,3,.333,0,0,,1,3,.333,.333,0,0,,0,5,5,2,1,0,4,3,2,-1.0,Nnenna Orji,https://www.sports-reference.com/cbb/players/nnenna-orji-1.html,hawaii,2022-23
21,64,25,2023-02-20,Hawaii,,Cal State Bakersfield,REG (Conf),W 65-52,,13,1,2,.500,0,0,,1,2,.500,.500,6,6,1.000,0,2,2,0,0,0,1,5,8,4.6,Nnenna Orji,https://www.sports-reference.com/cbb/players/nnenna-orji-1.html,hawaii,2022-23
22,65,26,2023-02-23,Hawaii,@,UC Riverside,REG (Conf),W 60-49,,11,1,5,.200,0,0,,1,5,.200,.200,0,0,,1,3,4,1,0,0,2,1,2,-1.2,Nnenna Orji,https://www.sports-reference.com/cbb/players/nnenna-orji-1.html,hawaii,2022-23
23,66,27,2023-02-25,Hawaii,@,UC Irvine,REG (Conf),L 66-68 (OT),,7,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,1,1,1,0,0,0,2,0,-0.5,Nnenna Orji,https://www.sports-reference.com/cbb/players/nnenna-orji-1.html,hawaii,2022-23
24,67,28,2023-03-03,Hawaii,,Cal State Northridge,REG (Conf),W 66-58,,11,0,3,.000,0,1,.000,0,2,.000,.000,0,0,,0,4,4,0,0,0,2,3,0,-4.1,Nnenna Orji,https://www.sports-reference.com/cbb/players/nnenna-orji-1.html,hawaii,2022-23
