ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,1,1,2022-11-07,Idaho,@,Utah,REG (Non-Conf),L 63-88,,7,0,1,.000,0,0,,0,1,.000,.000,1,2,.500,0,1,1,1,0,0,0,0,1,0.9,Asha Phillips,https://www.sports-reference.com/cbb/players/asha-phillips-1.html,idaho,2022-23
2,2,2,2022-11-16,Idaho,@,California,REG (Non-Conf),L 71-84,,9,2,3,.667,0,0,,2,3,.667,.667,1,2,.500,0,0,0,1,1,0,1,0,5,4.0,Asha Phillips,https://www.sports-reference.com/cbb/players/asha-phillips-1.html,idaho,2022-23
3,3,3,2022-11-26,Idaho,N,Richmond,REG (Non-Conf),L 49-80,*,19,1,6,.167,1,3,.333,0,3,.000,.250,0,0,,0,3,3,0,0,0,0,0,3,0.1,Asha Phillips,https://www.sports-reference.com/cbb/players/asha-phillips-1.html,idaho,2022-23
4,4,4,2022-11-27,Idaho,@,Navy,REG (Non-Conf),W 90-84,*,18,2,2,1.000,0,0,,2,2,1.000,1.000,2,4,.500,0,4,4,1,3,0,2,3,6,6.3,Asha Phillips,https://www.sports-reference.com/cbb/players/asha-phillips-1.html,idaho,2022-23
5,5,5,2022-12-03,Idaho,N,Nevada,REG (Non-Conf),L 80-84 (OT),*,17,4,5,.800,1,2,.500,3,3,1.000,.900,0,1,.000,0,2,2,1,1,0,2,0,9,7.0,Asha Phillips,https://www.sports-reference.com/cbb/players/asha-phillips-1.html,idaho,2022-23
6,6,6,2022-12-04,Idaho,N,New Mexico State,REG (Non-Conf),W 68-62,*,13,1,2,.500,0,0,,1,2,.500,.500,3,4,.750,0,1,1,0,1,0,0,1,5,4.5,Asha Phillips,https://www.sports-reference.com/cbb/players/asha-phillips-1.html,idaho,2022-23
7,7,9,2022-12-15,Idaho,,Denver,REG (Non-Conf),W 91-83,*,9,0,2,.000,0,0,,0,2,.000,.000,2,2,1.000,0,2,2,0,0,0,1,3,2,-1.0,Asha Phillips,https://www.sports-reference.com/cbb/players/asha-phillips-1.html,idaho,2022-23
8,8,10,2022-12-18,Idaho,@,Grand Canyon,REG (Non-Conf),W 81-78 (OT),*,30,4,7,.571,0,0,,4,7,.571,.571,3,5,.600,1,2,3,2,1,0,1,2,11,8.8,Asha Phillips,https://www.sports-reference.com/cbb/players/asha-phillips-1.html,idaho,2022-23
9,9,11,2022-12-21,Idaho,@,Utah Valley,REG (Non-Conf),L 57-59,*,31,3,5,.600,3,4,.750,0,1,.000,.900,0,0,,1,2,3,1,2,1,1,0,9,10.4,Asha Phillips,https://www.sports-reference.com/cbb/players/asha-phillips-1.html,idaho,2022-23
10,10,12,2022-12-29,Idaho,,Montana State,REG (Conf),W 72-53,*,23,3,6,.500,0,1,.000,3,5,.600,.500,2,2,1.000,1,2,3,1,0,0,0,0,8,7.0,Asha Phillips,https://www.sports-reference.com/cbb/players/asha-phillips-1.html,idaho,2022-23
