ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,21,1,2022-11-09,Jackson State,@,North Carolina,REG (Non-Conf),L 59-91,,4,0,0,,0,0,0,0,,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,Alexis Roberts,https://www.sports-reference.com/cbb/players/alexis-roberts-1.html,jackson-state,2022-23
2,22,4,2022-11-16,Jackson State,N,Louisiana,WNIT,W 70-41,,3,1,1,1.000,0,0,1,1,1.000,1.000,0,2,.000,0,0,0,0,1,0,0,0,2,1.9,Alexis Roberts,https://www.sports-reference.com/cbb/players/alexis-roberts-1.html,jackson-state,2022-23
3,23,5,2022-11-25,Jackson State,@,UCLA,REG (Non-Conf),L 60-72,,3,0,0,,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Alexis Roberts,https://www.sports-reference.com/cbb/players/alexis-roberts-1.html,jackson-state,2022-23
4,24,6,2022-12-03,Jackson State,@,Oregon State,REG (Non-Conf),L 53-63,,2,0,0,,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Alexis Roberts,https://www.sports-reference.com/cbb/players/alexis-roberts-1.html,jackson-state,2022-23
5,25,9,2022-12-17,Jackson State,@,Washington State,REG (Non-Conf),L 56-83,,8,0,0,,0,0,0,0,,,0,0,,0,0,0,1,0,0,0,1,0,0.3,Alexis Roberts,https://www.sports-reference.com/cbb/players/alexis-roberts-1.html,jackson-state,2022-23
6,26,10,2022-12-23,Jackson State,,Southeastern Louisiana,REG (Non-Conf),W 60-51,,4,0,0,,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,Alexis Roberts,https://www.sports-reference.com/cbb/players/alexis-roberts-1.html,jackson-state,2022-23
7,27,11,2023-01-02,Jackson State,@,Alcorn State,REG (Conf),W 59-49,,1,0,0,,0,0,0,0,,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,Alexis Roberts,https://www.sports-reference.com/cbb/players/alexis-roberts-1.html,jackson-state,2022-23
8,28,12,2023-01-07,Jackson State,,Alabama State,REG (Conf),W 90-48,,5,1,1,1.000,0,0,1,1,1.000,1.000,0,0,,1,0,1,0,0,0,1,0,2,1.4,Alexis Roberts,https://www.sports-reference.com/cbb/players/alexis-roberts-1.html,jackson-state,2022-23
9,29,13,2023-01-09,Jackson State,,Alabama A&M,REG (Conf),W 63-35,,3,0,0,,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Alexis Roberts,https://www.sports-reference.com/cbb/players/alexis-roberts-1.html,jackson-state,2022-23
10,30,15,2023-01-16,Jackson State,@,Texas Southern,REG (Conf),W 87-58,,3,0,0,,0,0,0,0,,,0,0,,0,1,1,0,0,0,0,0,0,0.3,Alexis Roberts,https://www.sports-reference.com/cbb/players/alexis-roberts-1.html,jackson-state,2022-23
11,31,17,2023-01-23,Jackson State,,Florida A&M,REG (Conf),W 72-51,,2,0,0,,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Alexis Roberts,https://www.sports-reference.com/cbb/players/alexis-roberts-1.html,jackson-state,2022-23
12,32,20,2023-02-04,Jackson State,,Mississippi Valley State,REG (Conf),W 85-63,,5,1,3,.333,0,0,1,3,.333,.333,0,0,,3,0,3,0,0,0,0,3,2,1.2,Alexis Roberts,https://www.sports-reference.com/cbb/players/alexis-roberts-1.html,jackson-state,2022-23
13,33,21,2023-02-06,Jackson State,,Arkansas–Pine Bluff,REG (Conf),W 88-53,,4,0,0,,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,Alexis Roberts,https://www.sports-reference.com/cbb/players/alexis-roberts-1.html,jackson-state,2022-23
14,34,23,2023-02-13,Jackson State,@,Bethune-Cookman,REG (Conf),W 77-52,,4,1,3,.333,0,0,1,3,.333,.333,0,0,,3,0,3,0,0,0,0,1,2,2.0,Alexis Roberts,https://www.sports-reference.com/cbb/players/alexis-roberts-1.html,jackson-state,2022-23
15,35,24,2023-02-18,Jackson State,,Alcorn State,REG (Conf),W 81-49,,3,0,1,.000,0,0,0,1,.000,.000,1,2,.500,1,0,1,0,1,0,0,2,1,0.8,Alexis Roberts,https://www.sports-reference.com/cbb/players/alexis-roberts-1.html,jackson-state,2022-23
16,36,25,2023-02-25,Jackson State,,Texas Southern,REG (Conf),W 66-43,,4,0,0,,0,0,0,0,,,0,0,,0,2,2,0,0,0,1,0,0,-0.4,Alexis Roberts,https://www.sports-reference.com/cbb/players/alexis-roberts-1.html,jackson-state,2022-23
17,37,26,2023-02-27,Jackson State,,Prairie View A&M,REG (Conf),W 90-65,,5,1,2,.500,0,0,1,2,.500,.500,0,0,,1,0,1,0,0,0,0,1,2,1.3,Alexis Roberts,https://www.sports-reference.com/cbb/players/alexis-roberts-1.html,jackson-state,2022-23
18,38,28,2023-03-04,Jackson State,@,Mississippi Valley State,REG (Conf),W 84-65,,11,2,3,.667,0,0,2,3,.667,.667,0,0,,1,1,2,0,1,0,0,0,4,4.7,Alexis Roberts,https://www.sports-reference.com/cbb/players/alexis-roberts-1.html,jackson-state,2022-23
