ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,49,1,2022-11-07,Jacksonville State,,Shorter,REG (Non-Conf),W 114-33,*,19,6,8,.750,1,3,.333,5,5,1.000,.813,1,1,1.000,0,2,2,2,3,0,1,0,14,14.8,Kyra Williams,https://www.sports-reference.com/cbb/players/kyra-williams-1.html,jacksonville-state,2022-23
2,50,2,2022-11-13,Jacksonville State,@,Georgia,REG (Non-Conf),L 44-52,*,32,2,7,.286,2,5,.400,0,2,.000,.429,3,3,1.000,0,1,1,2,1,0,3,0,9,4.6,Kyra Williams,https://www.sports-reference.com/cbb/players/kyra-williams-1.html,jacksonville-state,2022-23
3,51,3,2022-11-17,Jacksonville State,@,East Tennessee State,REG (Non-Conf),L 54-55,*,24,1,4,.250,1,3,.333,0,1,.000,.375,0,0,,1,1,2,1,0,0,0,1,3,1.9,Kyra Williams,https://www.sports-reference.com/cbb/players/kyra-williams-1.html,jacksonville-state,2022-23
4,52,6,2022-12-04,Jacksonville State,,Davidson,REG (Non-Conf),L 56-71,*,32,4,10,.400,1,3,.333,3,7,.429,.450,9,11,.818,2,1,3,1,1,0,1,0,18,14.2,Kyra Williams,https://www.sports-reference.com/cbb/players/kyra-williams-1.html,jacksonville-state,2022-23
5,53,7,2022-12-11,Jacksonville State,@,Ole Miss,REG (Non-Conf),L 54-74,*,35,4,8,.500,2,3,.667,2,5,.400,.625,0,0,,0,1,1,2,1,0,3,0,10,5.7,Kyra Williams,https://www.sports-reference.com/cbb/players/kyra-williams-1.html,jacksonville-state,2022-23
6,54,8,2022-12-14,Jacksonville State,,Alabama State,REG (Non-Conf),W 71-60,*,28,3,7,.429,3,7,.429,0,0,,.643,0,0,,0,0,0,0,0,0,3,4,9,0.7,Kyra Williams,https://www.sports-reference.com/cbb/players/kyra-williams-1.html,jacksonville-state,2022-23
7,55,9,2022-12-20,Jacksonville State,N,Utah Tech,REG (Non-Conf),W 68-50,*,27,4,18,.222,2,11,.182,2,7,.286,.278,2,3,.667,1,2,3,2,1,0,0,2,12,3.5,Kyra Williams,https://www.sports-reference.com/cbb/players/kyra-williams-1.html,jacksonville-state,2022-23
8,56,10,2022-12-21,Jacksonville State,N,Campbell,REG (Non-Conf),W 59-47,*,16,1,3,.333,1,1,1.000,0,2,.000,.500,0,0,,0,2,2,0,0,0,0,1,3,1.5,Kyra Williams,https://www.sports-reference.com/cbb/players/kyra-williams-1.html,jacksonville-state,2022-23
9,57,12,2022-12-29,Jacksonville State,@,Chattanooga,REG (Non-Conf),W 59-51,*,31,1,9,.111,0,2,.000,1,7,.143,.111,0,0,,1,1,2,1,1,0,1,0,2,-2.2,Kyra Williams,https://www.sports-reference.com/cbb/players/kyra-williams-1.html,jacksonville-state,2022-23
10,58,13,2023-01-02,Jacksonville State,@,Central Arkansas,REG (Conf),W 65-45,*,13,1,4,.250,0,2,.000,1,2,.500,.250,1,4,.250,0,2,2,0,0,0,0,2,3,-0.8,Kyra Williams,https://www.sports-reference.com/cbb/players/kyra-williams-1.html,jacksonville-state,2022-23
11,59,14,2023-01-05,Jacksonville State,,Lipscomb,REG (Conf),L 81-83 (OT),*,37,3,11,.273,0,3,.000,3,8,.375,.273,0,1,.000,1,0,1,0,0,0,0,2,6,-1.0,Kyra Williams,https://www.sports-reference.com/cbb/players/kyra-williams-1.html,jacksonville-state,2022-23
12,60,15,2023-01-07,Jacksonville State,,Queens (NC),REG (Conf),W 59-39,*,32,8,15,.533,5,7,.714,3,8,.375,.700,1,1,1.000,1,2,3,0,1,0,4,1,22,12.6,Kyra Williams,https://www.sports-reference.com/cbb/players/kyra-williams-1.html,jacksonville-state,2022-23
13,61,16,2023-01-12,Jacksonville State,@,Austin Peay,REG (Conf),L 43-47,*,25,1,8,.125,0,4,.000,1,4,.250,.125,1,2,.500,2,0,2,2,0,0,0,0,3,0.2,Kyra Williams,https://www.sports-reference.com/cbb/players/kyra-williams-1.html,jacksonville-state,2022-23
14,62,17,2023-01-14,Jacksonville State,@,Lipscomb,REG (Conf),L 55-62,*,31,3,8,.375,2,6,.333,1,2,.500,.500,0,0,,0,1,1,0,1,0,1,3,8,2.7,Kyra Williams,https://www.sports-reference.com/cbb/players/kyra-williams-1.html,jacksonville-state,2022-23
15,63,18,2023-01-19,Jacksonville State,@,Kennesaw State,REG (Conf),L 61-71,*,26,0,3,.000,0,2,.000,0,1,.000,.000,0,0,,0,2,2,2,1,1,2,1,0,-0.8,Kyra Williams,https://www.sports-reference.com/cbb/players/kyra-williams-1.html,jacksonville-state,2022-23
16,64,19,2023-01-21,Jacksonville State,,Kennesaw State,REG (Conf),L 60-65,*,36,1,4,.250,0,3,.000,1,1,1.000,.250,2,3,.667,1,2,3,1,2,0,2,3,4,2.0,Kyra Williams,https://www.sports-reference.com/cbb/players/kyra-williams-1.html,jacksonville-state,2022-23
17,65,20,2023-01-26,Jacksonville State,,Central Arkansas,REG (Conf),W 43-41,*,21,1,6,.167,0,4,.000,1,2,.500,.167,2,2,1.000,1,0,1,1,1,0,3,2,4,-1.2,Kyra Williams,https://www.sports-reference.com/cbb/players/kyra-williams-1.html,jacksonville-state,2022-23
18,66,21,2023-01-28,Jacksonville State,,North Alabama,REG (Conf),W 60-50,*,25,0,4,.000,0,2,.000,0,2,.000,.000,1,2,.500,0,2,2,1,0,0,0,1,1,-1.3,Kyra Williams,https://www.sports-reference.com/cbb/players/kyra-williams-1.html,jacksonville-state,2022-23
19,67,22,2023-02-02,Jacksonville State,@,Liberty,REG (Conf),L 62-72 (OT),*,27,1,6,.167,1,2,.500,0,4,.000,.250,0,0,,0,2,2,0,2,0,0,0,3,1.8,Kyra Williams,https://www.sports-reference.com/cbb/players/kyra-williams-1.html,jacksonville-state,2022-23
20,68,23,2023-02-04,Jacksonville State,@,Queens (NC),REG (Conf),W 87-63,*,22,2,4,.500,0,0,,2,4,.500,.500,0,2,.000,1,2,3,1,0,0,0,3,4,2.0,Kyra Williams,https://www.sports-reference.com/cbb/players/kyra-williams-1.html,jacksonville-state,2022-23
21,69,24,2023-02-09,Jacksonville State,,Bellarmine,REG (Conf),W 59-54,*,10,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,0,0,0,0,0,2,0,0,-2.7,Kyra Williams,https://www.sports-reference.com/cbb/players/kyra-williams-1.html,jacksonville-state,2022-23
22,70,25,2023-02-11,Jacksonville State,,Eastern Kentucky,REG (Conf),L 58-64,*,22,4,9,.444,1,5,.200,3,4,.750,.500,0,0,,0,2,2,2,0,0,1,4,9,3.7,Kyra Williams,https://www.sports-reference.com/cbb/players/kyra-williams-1.html,jacksonville-state,2022-23
23,71,26,2023-02-16,Jacksonville State,@,North Florida,REG (Conf),W 68-61,*,32,5,12,.417,3,5,.600,2,7,.286,.542,2,3,.667,1,1,2,1,1,0,2,3,15,7.7,Kyra Williams,https://www.sports-reference.com/cbb/players/kyra-williams-1.html,jacksonville-state,2022-23
24,72,27,2023-02-18,Jacksonville State,@,Jacksonville,REG (Conf),L 53-59 (OT),*,42,6,14,.429,4,8,.500,2,6,.333,.571,4,9,.444,0,0,0,1,1,0,2,2,20,9.5,Kyra Williams,https://www.sports-reference.com/cbb/players/kyra-williams-1.html,jacksonville-state,2022-23
25,73,28,2023-02-23,Jacksonville State,,Stetson,REG (Conf),W 69-62,*,36,9,13,.692,5,7,.714,4,6,.667,.885,2,2,1.000,0,0,0,1,3,0,2,3,25,20.0,Kyra Williams,https://www.sports-reference.com/cbb/players/kyra-williams-1.html,jacksonville-state,2022-23
26,74,29,2023-02-25,Jacksonville State,,Florida Gulf Coast,REG (Conf),L 46-76,*,30,4,13,.308,2,3,.667,2,10,.200,.385,0,0,,1,3,4,1,2,0,0,1,10,6.4,Kyra Williams,https://www.sports-reference.com/cbb/players/kyra-williams-1.html,jacksonville-state,2022-23
27,75,30,2023-03-01,Jacksonville State,@,Stetson,REG (Conf),W 57-50,*,27,1,7,.143,0,4,.000,1,3,.333,.143,1,2,.500,2,1,3,0,1,0,2,0,3,-1.2,Kyra Williams,https://www.sports-reference.com/cbb/players/kyra-williams-1.html,jacksonville-state,2022-23
28,76,31,2023-03-04,Jacksonville State,N,Kennesaw State,CTOURN,L 73-82,*,33,2,7,.286,1,3,.333,1,4,.250,.357,5,7,.714,0,3,3,3,2,0,3,2,10,6.3,Kyra Williams,https://www.sports-reference.com/cbb/players/kyra-williams-1.html,jacksonville-state,2022-23
