ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,44,1,2022-11-07,Lafayette,@,VCU,REG (Non-Conf),L 42-65,*,28,3,5,.600,0,0,,3,5,.600,.600,1,2,.500,0,4,4,2,0,0,2,4,7,3.3,Makayla Andrews,https://www.sports-reference.com/cbb/players/makayla-andrews-1.html,lafayette,2022-23
2,45,2,2022-11-11,Lafayette,@,NJIT,REG (Non-Conf),W 62-58,*,31,8,13,.615,1,2,.500,7,11,.636,.654,3,4,.750,1,6,7,0,0,0,3,2,20,12.4,Makayla Andrews,https://www.sports-reference.com/cbb/players/makayla-andrews-1.html,lafayette,2022-23
3,46,3,2022-11-13,Lafayette,,East Tennessee State,REG (Non-Conf),L 45-65,*,29,5,13,.385,1,4,.250,4,9,.444,.423,2,4,.500,2,3,5,1,1,0,5,3,13,2.9,Makayla Andrews,https://www.sports-reference.com/cbb/players/makayla-andrews-1.html,lafayette,2022-23
4,47,4,2022-11-16,Lafayette,@,Cornell,REG (Non-Conf),L 60-62,*,26,5,7,.714,2,2,1.000,3,5,.600,.857,2,3,.667,0,5,5,0,0,1,2,5,14,8.9,Makayla Andrews,https://www.sports-reference.com/cbb/players/makayla-andrews-1.html,lafayette,2022-23
5,48,5,2022-11-19,Lafayette,@,Siena,REG (Non-Conf),L 55-63,*,37,7,13,.538,0,1,.000,7,12,.583,.538,4,5,.800,3,9,12,2,0,0,4,4,18,11.9,Makayla Andrews,https://www.sports-reference.com/cbb/players/makayla-andrews-1.html,lafayette,2022-23
6,49,6,2022-11-22,Lafayette,,La Salle,REG (Non-Conf),L 54-71,*,26,4,11,.364,0,1,.000,4,10,.400,.364,1,1,1.000,1,7,8,1,1,0,4,5,9,1.4,Makayla Andrews,https://www.sports-reference.com/cbb/players/makayla-andrews-1.html,lafayette,2022-23
7,50,7,2022-11-27,Lafayette,@,Marist,REG (Non-Conf),L 42-52,*,32,5,13,.385,0,1,.000,5,12,.417,.385,0,0,,5,8,13,1,1,0,6,3,10,3.3,Makayla Andrews,https://www.sports-reference.com/cbb/players/makayla-andrews-1.html,lafayette,2022-23
8,51,8,2022-11-30,Lafayette,,UMBC,REG (Non-Conf),W 72-38,*,32,7,14,.500,0,2,.000,7,12,.583,.500,1,1,1.000,2,7,9,3,0,1,4,1,15,9.9,Makayla Andrews,https://www.sports-reference.com/cbb/players/makayla-andrews-1.html,lafayette,2022-23
9,52,9,2022-12-03,Lafayette,@,Columbia,REG (Non-Conf),L 43-91,*,22,4,7,.571,0,1,.000,4,6,.667,.571,3,4,.750,1,2,3,1,0,0,5,4,11,2.7,Makayla Andrews,https://www.sports-reference.com/cbb/players/makayla-andrews-1.html,lafayette,2022-23
10,53,11,2022-12-21,Lafayette,,St. Francis Brooklyn,REG (Non-Conf),W 53-52,*,23,4,12,.333,0,0,,4,12,.333,.333,0,0,,0,1,1,2,3,0,6,4,8,-1.7,Makayla Andrews,https://www.sports-reference.com/cbb/players/makayla-andrews-1.html,lafayette,2022-23
11,54,12,2022-12-30,Lafayette,@,American,REG (Conf),L 65-75,*,33,9,18,.500,1,5,.200,8,13,.615,.528,4,4,1.000,2,5,7,0,2,1,6,3,23,12.4,Makayla Andrews,https://www.sports-reference.com/cbb/players/makayla-andrews-1.html,lafayette,2022-23
