ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,26,1,2022-11-07,Lamar,@,Baylor,REG (Non-Conf),L 50-88,*,33,3,10,.300,2,5,.400,1,5,.200,.400,2,2,1.000,0,4,4,2,1,1,2,2,10,5.7,Anaya Bernard,https://www.sports-reference.com/cbb/players/anaya-bernard-1.html,lamar,2022-23
2,27,2,2022-11-11,Lamar,,Jarvis Christian,REG (Non-Conf),W 78-55,*,25,3,6,.500,0,0,,3,6,.500,.500,0,0,,0,1,1,0,1,0,1,1,6,2.9,Anaya Bernard,https://www.sports-reference.com/cbb/players/anaya-bernard-1.html,lamar,2022-23
3,28,3,2022-11-16,Lamar,@,Prairie View A&M,REG (Non-Conf),W 66-63 (OT),*,19,0,2,.000,0,0,,0,2,.000,.000,0,0,,0,2,2,1,0,0,1,1,0,-1.5,Anaya Bernard,https://www.sports-reference.com/cbb/players/anaya-bernard-1.html,lamar,2022-23
4,29,4,2022-11-25,Lamar,N,Mississippi Valley State,REG (Non-Conf),W 85-49,,14,1,2,.500,1,1,1.000,0,1,.000,.750,2,2,1.000,0,2,2,0,0,1,1,2,5,3.5,Anaya Bernard,https://www.sports-reference.com/cbb/players/anaya-bernard-1.html,lamar,2022-23
5,30,5,2022-11-26,Lamar,@,Southern Mississippi,REG (Non-Conf),L 48-56,,3,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,Anaya Bernard,https://www.sports-reference.com/cbb/players/anaya-bernard-1.html,lamar,2022-23
6,31,6,2022-12-03,Lamar,,UT Arlington,REG (Non-Conf),L 56-60,,2,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,0,0,0,0,0,0,2,0,-1.5,Anaya Bernard,https://www.sports-reference.com/cbb/players/anaya-bernard-1.html,lamar,2022-23
7,32,7,2022-12-06,Lamar,,Loyola (LA),REG (Non-Conf),W 76-63,,14,0,1,.000,0,0,,0,1,.000,.000,2,2,1.000,0,3,3,0,0,0,3,1,2,-1.2,Anaya Bernard,https://www.sports-reference.com/cbb/players/anaya-bernard-1.html,lamar,2022-23
8,33,8,2022-12-08,Lamar,@,Arkansas,REG (Non-Conf),L 50-63,,25,0,2,.000,0,0,,0,2,.000,.000,0,0,,1,6,7,0,2,0,0,3,0,1.9,Anaya Bernard,https://www.sports-reference.com/cbb/players/anaya-bernard-1.html,lamar,2022-23
9,34,9,2022-12-14,Lamar,@,Louisiana State,REG (Non-Conf),L 42-88,,9,0,3,.000,0,1,.000,0,2,.000,.000,0,0,,1,0,1,0,0,0,1,0,0,-2.4,Anaya Bernard,https://www.sports-reference.com/cbb/players/anaya-bernard-1.html,lamar,2022-23
10,35,10,2022-12-17,Lamar,,Louisiana,REG (Non-Conf),W 65-50,,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,2,1,0,-2.4,Anaya Bernard,https://www.sports-reference.com/cbb/players/anaya-bernard-1.html,lamar,2022-23
